platform_id	note
geo:GPL570	
geo:GPL887	
geo:GPL885	
geo:GPL1390	
geo:GPL1708	
geo:GPL1998	
geo:GPL1999	
geo:GPL2012	
geo:GPL2013	
geo:GPL4611	
geo:GPL4910	
geo:GPL4911	
geo:GPL4912	
geo:GPL4913	
geo:GPL4914	
geo:GPL4915	
geo:GPL4916	
geo:GPL5055	only chr1
geo:GPL5790	
geo:GPL7298	mostly chr8 and chr11
geo:GPL6444	
geo:GPL6445	
geo:GPL6446	
geo:GPL6447	
geo:GPL6448	
geo:GPL6449	
geo:GPL6450	
geo:GPL6254	
geo:GPL5790	
geo:GPL8490	
geo:GPL4126	
geo:GPL9816	
geo:GPL13821	
geo:GPL13534	
geo:GPL18053
