CVCL	label
cellosaurus:CVCL_8030	1102-mel
cellosaurus:CVCL_DI59	1174
cellosaurus:CVCL_8032	1182-mel
cellosaurus:CVCL_8033	1195-mel
cellosaurus:CVCL_7943	1290-mel
cellosaurus:CVCL_7943	1290-mel
cellosaurus:CVCL_DI11	1858-mel.a
cellosaurus:CVCL_DI12	1858-mel.b
cellosaurus:CVCL_DI13	1858-mel.c
cellosaurus:CVCL_DI14	1936-mel
cellosaurus:CVCL_DI15	1962-mel
cellosaurus:CVCL_X481	201T
cellosaurus:CVCL_7933	21NT
cellosaurus:CVCL_1046	23132/87
cellosaurus:CVCL_1046	23132/87
cellosaurus:CVCL_X482	273T
cellosaurus:CVCL_X482	273T
cellosaurus:CVCL_1047	380
cellosaurus:CVCL_1798	42-MG-BA
cellosaurus:CVCL_1798	42-MG-BA
cellosaurus:CVCL_4633	501-mel
cellosaurus:CVCL_4633	501-mel
cellosaurus:CVCL_4633	501-mel
cellosaurus:CVCL_4633	501-mel
cellosaurus:CVCL_4633	501-mel
cellosaurus:CVCL_8051	526-mel
cellosaurus:CVCL_9875	600MPE
cellosaurus:CVCL_1048	639V
cellosaurus:CVCL_1048	639V
cellosaurus:CVCL_1048	639V
cellosaurus:CVCL_1048	639V
cellosaurus:CVCL_0079	697
cellosaurus:CVCL_1050	769-P
cellosaurus:CVCL_1050	769-P
cellosaurus:CVCL_1050	769-P
cellosaurus:CVCL_1050	769-P
cellosaurus:CVCL_1050	769-P
cellosaurus:CVCL_1052	8-MG-BA
cellosaurus:CVCL_1052	8-MG-BA
cellosaurus:CVCL_1053	8305C
cellosaurus:CVCL_1054	8505C
cellosaurus:CVCL_8058	938-mel
cellosaurus:CVCL_9724	A-1847
cellosaurus:CVCL_9724	A-1847
cellosaurus:CVCL_9724	A-1847
cellosaurus:CVCL_9724	A-1847
cellosaurus:CVCL_1060	A-253
cellosaurus:CVCL_1060	A-253
cellosaurus:CVCL_1055	A-427
cellosaurus:CVCL_1055	A-427
cellosaurus:CVCL_1055	A-427
cellosaurus:CVCL_1055	A-427
cellosaurus:CVCL_1055	A-427
cellosaurus:CVCL_1055	A-427
cellosaurus:CVCL_1065	A-704
cellosaurus:CVCL_1065	A-704
cellosaurus:CVCL_W875	A02-JLO
cellosaurus:CVCL_S856	A04-GEH
cellosaurus:CVCL_S857	A06-MLC
cellosaurus:CVCL_W879	A07-RM
cellosaurus:CVCL_1057	A101D
cellosaurus:CVCL_1057	A101D
cellosaurus:CVCL_1057	A101D
cellosaurus:CVCL_DH60	A12
cellosaurus:CVCL_DH61	A13
cellosaurus:CVCL_W878	A15
cellosaurus:CVCL_1062	A3/Kawakami
cellosaurus:CVCL_1064	A4/Fukuda
cellosaurus:CVCL_6245	A4573
cellosaurus:CVCL_5113	ACC-MESO-1
cellosaurus:CVCL_5113	ACC-MESO-1
cellosaurus:CVCL_5114	ACC-MESO-4
cellosaurus:CVCL_DG88	ACC-OV551
cellosaurus:CVCL_DG88	ACC-OV551
cellosaurus:CVCL_DG89	ACC-OV552
cellosaurus:CVCL_DG89	ACC-OV552
cellosaurus:CVCL_DG95	ACC-OV684
cellosaurus:CVCL_DG95	ACC-OV684
cellosaurus:CVCL_DG96	ACC-OV68A
cellosaurus:CVCL_DG96	ACC-OV68A
cellosaurus:CVCL_DG86	ACC-OV7
cellosaurus:CVCL_DG86	ACC-OV7
cellosaurus:CVCL_U801	AF-6
cellosaurus:CVCL_U957	AlAb
cellosaurus:CVCL_LC71	AlDo
cellosaurus:CVCL_1805	ALL-SIL
cellosaurus:CVCL_1805	ALL-SIL
cellosaurus:CVCL_1070	AM-38
cellosaurus:CVCL_1070	AM-38
cellosaurus:CVCL_1806	AMO1
cellosaurus:CVCL_0028	AN3-CA
cellosaurus:CVCL_0028	AN3-CA
cellosaurus:CVCL_0028	AN3-CA
cellosaurus:CVCL_0028	AN3-CA
cellosaurus:CVCL_0028	AN3-CA
cellosaurus:CVCL_0028	AN3-CA
cellosaurus:CVCL_2856	ASH-3
cellosaurus:CVCL_1074	AU565
cellosaurus:CVCL_1074	AU565
cellosaurus:CVCL_1074	AU565
cellosaurus:CVCL_1079	BC-1
cellosaurus:CVCL_1079	BC-1
cellosaurus:CVCL_1079	BC-1
cellosaurus:CVCL_1079	BC-1
cellosaurus:CVCL_1079	BC-1
cellosaurus:CVCL_1856	BC-2
cellosaurus:CVCL_1856	BC-2
cellosaurus:CVCL_1856	BC-2
cellosaurus:CVCL_1856	BC-2
cellosaurus:CVCL_1856	BC-2
cellosaurus:CVCL_1080	BC-3
cellosaurus:CVCL_1080	BC-3
cellosaurus:CVCL_1080	BC-3
cellosaurus:CVCL_1080	BC-3
cellosaurus:CVCL_1080	BC-3
cellosaurus:CVCL_1958	BC-3C
cellosaurus:CVCL_B040	BC-5
cellosaurus:CVCL_B040	BC-5
cellosaurus:CVCL_B040	BC-5
cellosaurus:CVCL_0165	BCBL-1
cellosaurus:CVCL_0165	BCBL-1
cellosaurus:CVCL_0165	BCBL-1
cellosaurus:CVCL_0107	BCP-1
cellosaurus:CVCL_0107	BCP-1
cellosaurus:CVCL_0107	BCP-1
cellosaurus:CVCL_0107	BCP-1
cellosaurus:CVCL_4613	BDCM
cellosaurus:CVCL_4613	BDCM
cellosaurus:CVCL_4613	BDCM
cellosaurus:CVCL_1093	Becker
cellosaurus:CVCL_1082	BEN
cellosaurus:CVCL_1082	BEN
cellosaurus:CVCL_1082	BEN
cellosaurus:CVCL_1085	BHT-101
cellosaurus:CVCL_1085	BHT-101
cellosaurus:CVCL_1085	BHT-101
cellosaurus:CVCL_1086	BHY
cellosaurus:CVCL_2307	BICR 10
cellosaurus:CVCL_2308	BICR 16
cellosaurus:CVCL_2309	BICR 18
cellosaurus:CVCL_2310	BICR 22
cellosaurus:CVCL_2310	BICR 22
cellosaurus:CVCL_2312	BICR 31
cellosaurus:CVCL_2312	BICR 31
cellosaurus:CVCL_2313	BICR 56
cellosaurus:CVCL_2314	BICR 6
cellosaurus:CVCL_2315	BICR 78
cellosaurus:CVCL_1088	BL-70
cellosaurus:CVCL_7948	BOY-12E
cellosaurus:CVCL_E997	BroLi
cellosaurus:CVCL_2319	BT-483
cellosaurus:CVCL_2319	BT-483
cellosaurus:CVCL_2319	BT-483
cellosaurus:CVCL_2319	BT-483
cellosaurus:CVCL_2319	BT-483
cellosaurus:CVCL_2319	BT-483
cellosaurus:CVCL_2253	C-4-I
cellosaurus:CVCL_2253	C-4-I
cellosaurus:CVCL_2253	C-4-I
cellosaurus:CVCL_2253	C-4-I
cellosaurus:CVCL_1095	C-4-II
cellosaurus:CVCL_1095	C-4-II
cellosaurus:CVCL_1095	C-4-II
cellosaurus:CVCL_S959	C170
cellosaurus:CVCL_S959	C170
cellosaurus:CVCL_S959	C170
cellosaurus:CVCL_1100	Ca Ski
cellosaurus:CVCL_1100	Ca Ski
cellosaurus:CVCL_1100	Ca Ski
cellosaurus:CVCL_1100	Ca Ski
cellosaurus:CVCL_1100	Ca Ski
cellosaurus:CVCL_1100	Ca Ski
cellosaurus:CVCL_1100	Ca Ski
cellosaurus:CVCL_3495	CA-HPV-10
cellosaurus:CVCL_1101	CA46
cellosaurus:CVCL_1101	CA46
cellosaurus:CVCL_1101	CA46
cellosaurus:CVCL_1101	CA46
cellosaurus:CVCL_1103	CADO-ES1
cellosaurus:CVCL_1103	CADO-ES1
cellosaurus:CVCL_0235	Caki-2
cellosaurus:CVCL_0235	Caki-2
cellosaurus:CVCL_0235	Caki-2
cellosaurus:CVCL_0235	Caki-2
cellosaurus:CVCL_1104	CAL-120
cellosaurus:CVCL_1104	CAL-120
cellosaurus:CVCL_1104	CAL-120
cellosaurus:CVCL_1104	CAL-120
cellosaurus:CVCL_1104	CAL-120
cellosaurus:CVCL_1105	CAL-12T
cellosaurus:CVCL_1105	CAL-12T
