callset_id	callset_legacy_id	series_accession__id	_progenetix_experiment_id	_legacy_id
pgxcs-kftwdzew	pgxcs::E-TABM-579::A172_Nsp	arrayexpress:E-TABM-579	AE-TABM_579-A172-Nsp	A172
pgxcs-kftwdzfe	pgxcs::E-TABM-579::A172_Sty	arrayexpress:E-TABM-579	AE-TABM_579-A172-Sty	A172
pgxcs-kftwdzfw	pgxcs::E-TABM-579::KNS42_Nsp	arrayexpress:E-TABM-579	AE-TABM_579-KNS42-Nsp	KNS42
pgxcs-kftwdzge	pgxcs::E-TABM-579::KNS42_Sty	arrayexpress:E-TABM-579	AE-TABM_579-KNS42-Sty	KNS42
pgxcs-kftwdzgv	pgxcs::E-TABM-579::LN229_Nsp	arrayexpress:E-TABM-579	AE-TABM_579-LN229-Nsp	LN229
pgxcs-kftwdzhd	pgxcs::E-TABM-579::LN229_Sty	arrayexpress:E-TABM-579	AE-TABM_579-LN229-Sty	LN229
pgxcs-kftwdzhu	pgxcs::E-TABM-579::Res186_Nsp	arrayexpress:E-TABM-579	AE-TABM_579-Res186-Nsp	Res186
pgxcs-kftwdzic	pgxcs::E-TABM-579::Res186_Sty	arrayexpress:E-TABM-579	AE-TABM_579-Res186-Sty	Res186
pgxcs-kftwdzit	pgxcs::E-TABM-579::Res259_Nsp	arrayexpress:E-TABM-579	AE-TABM_579-Res259-Nsp	Res259
pgxcs-kftwdzjb	pgxcs::E-TABM-579::Res259_Sty	arrayexpress:E-TABM-579	AE-TABM_579-Res259-Sty	Res259
pgxcs-kftwdzjs	pgxcs::E-TABM-579::SF188_Nsp	arrayexpress:E-TABM-579	AE-TABM_579-SF188-Nsp	SF188
pgxcs-kftwdzka	pgxcs::E-TABM-579::SF188_Sty	arrayexpress:E-TABM-579	AE-TABM_579-SF188-Sty	SF188
pgxcs-kftwdzks	pgxcs::E-TABM-579::SF268_Nsp	arrayexpress:E-TABM-579	AE-TABM_579-SF268-Nsp	SF268
pgxcs-kftwdzl9	pgxcs::E-TABM-579::SF268_Sty	arrayexpress:E-TABM-579	AE-TABM_579-SF268-Sty	SF268
pgxcs-kftwdzlr	pgxcs::E-TABM-579::U118MG_Nsp	arrayexpress:E-TABM-579	AE-TABM_579-U118MG-Nsp	U118MG
pgxcs-kftwdzm8	pgxcs::E-TABM-579::U118MG_Sty	arrayexpress:E-TABM-579	AE-TABM_579-U118MG-Sty	U118MG
pgxcs-kftwdzmq	pgxcs::E-TABM-579::U87MG_Nsp	arrayexpress:E-TABM-579	AE-TABM_579-U87MG-Nsp	U87MG
pgxcs-kftwdzn7	pgxcs::E-TABM-579::U87MG_Sty	arrayexpress:E-TABM-579	AE-TABM_579-U87MG-Sty	U87MG
pgxcs-kftwdzpt	pgxcs::E-TABM-579::UW479_Nsp	arrayexpress:E-TABM-579	AE-TABM_579-UW479-Nsp	UW479
pgxcs-kftwdzqc	pgxcs::E-TABM-579::UW479_Sty	arrayexpress:E-TABM-579	AE-TABM_579-UW479-Sty	UW479
