^SAMPLE = GSM388212
!Sample_title = MCF7 genomic DNA
!Sample_geo_accession = GSM388212
!Sample_status = Public on Apr 15 2009
!Sample_submission_date = Mar 31 2009
!Sample_last_update_date = Apr 01 2009
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = healthy female donors
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample type: reference (pooled genomic DNA)
!Sample_characteristics_ch1 = gender: female
!Sample_growth_protocol_ch1 = Cell cultures were grown to 70-80% confluence in 175 cm2 flasks according to distributor's instructions (ATCC).
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was extracted from untreated cells using the NucleoSpin Tissue kit with the protocol for cultured cells.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = Six micrograms of digested and purified tumour and reference DNA was labelled with Cy5-dUTP and Cy3-dUTP, respectively, in a random priming reaction using BioPrime DNA Labelling System.
!Sample_source_name_ch2 = breast cancer cell line MCF7
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = sample type: test
!Sample_characteristics_ch2 = cell line: MCF7 breast cancer cell line
!Sample_growth_protocol_ch2 = Cell cultures were grown to 70-80% confluence in 175 cm2 flasks according to distributor's instructions (ATCC).
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = Genomic DNA was extracted from untreated cells using the NucleoSpin Tissue kit with the protocol for cultured cells.
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = Six micrograms of digested and purified tumour and reference DNA was labelled with Cy5-dUTP and Cy3-dUTP, respectively, in a random priming reaction using BioPrime DNA Labelling System.
!Sample_hyb_protocol = Labelled tumor and reference samples were combined and hybridized onto the arrays according to manufacturer's (Agilent) instructions. After hybridization, arrays were washed according to manufacturer's instructions.
!Sample_scan_protocol = Arrays were scanned using the G2565 scanner from Agilent Technologies. Signal intensities were quantified using the Feature Extraction software version 7.5.1 from Agilent.
!Sample_description = no additional information
!Sample_data_processing = Agilent Feature Extraction Software (v 7.5.1) was used for spot quality filtering and normalization.
!Sample_platform_id = GPL8355
!Sample_contact_name = Henrik,,Edgren
!Sample_contact_email = henrik.edgren@helsinki.fi
!Sample_contact_institute = Institute for Molecular Medicine, University of Helsinki
!Sample_contact_address = Tukholmankatu 8
!Sample_contact_city = Helsinki
!Sample_contact_zip/postal_code = 00290
!Sample_contact_country = Finland
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM388nnn/GSM388212/suppl/GSM388212.txt.gz
!Sample_series_id = GSE15477
!Sample_data_row_count = 42603
#ID_REF = 
#VALUE = normalized log10 ratio Cy5/Cy3
!sample_table_begin
ID_REF	VALUE
1	-1.448799316e+000
2	4.694003468e-001
3	2.289754246e-002
4	2.774433893e-001
5	-7.978464754e-003
6	-1.302558923e-001
7	-1.313399965e+000
8	-1.480063147e-002
9	-2.889008956e-001
10	-1.487917513e-001
11	9.453273832e-002
12	2.170761482e-002
13	-1.015150762e-002
14	-1.352078957e+000
15	1.707219465e-001
16	1.115255568e-001
17	-2.973814019e-002
18	1.243644594e-003
19	-4.078970420e-002
20	-1.686798042e-001
!sample_table_end
