^SAMPLE = GSM1397873
!Sample_title = Hepatosplenic T-cell lymphoma case 6
!Sample_geo_accession = GSM1397873
!Sample_status = Public on May 24 2014
!Sample_submission_date = May 23 2014
!Sample_last_update_date = May 24 2014
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = tumor DNA
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = tissue: Hepatosplenic T-cell Lymphoma
!Sample_characteristics_ch1 = karyotype: 43-45,X,-Y,i(7)(q10)[cp7].aCGH+8
!Sample_treatment_protocol_ch1 = no previous treatment
!Sample_growth_protocol_ch1 = No culture-just DNA from frozen tissue
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Qiagen kit for DNA extraction
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotin, affymetrix protocol for the  CytoScanHD
!Sample_hyb_protocol = DNA was purified, fragmented, labeled and hybridized to each array according to the manufacturer's instructions.
!Sample_scan_protocol = The Arrays were then washed using Affymetrix fluidics stations, and scanned using the Gene Chip Scanner 3000 7G.
!Sample_description = Hybridized to Affymetrix CytoscanHD Array
!Sample_data_processing = CEL files generated by Affymetrix Command Console and CYCHP files generated byAffymetrix Chromosome Analysis Suite software (ChAS).  DNA copy number and allele analysis were performed using Affymetrix ChAS, which compares all hybridization intensities against a built-in reference data set
!Sample_data_processing = Hybridized to Affymetrix CytoscanHD array
!Sample_platform_id = GPL16131
!Sample_contact_name = Julio,,Finalet
!Sample_contact_email = julio.finaletferreiro@med.kuleuven.be
!Sample_contact_institute = KULeuven
!Sample_contact_address = Herestraat 49
!Sample_contact_city = Leuven
!Sample_contact_zip/postal_code = 3000
!Sample_contact_country = Belgium
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1397nnn/GSM1397873/suppl/GSM1397873_case_6.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1397nnn/GSM1397873/suppl/GSM1397873_case_6.cyhd.cychp.gz
!Sample_series_id = GSE57943
!Sample_series_id = GSE57944
!Sample_data_row_count = 2749693
#ID_REF = 
#VALUE = LOG2 RATIO
#WEIGHTED LOG2 RATIO = 
#SMOOTH SIGNAL = 
!sample_table_begin
ID_REF	VALUE	WEIGHTED LOG2 RATIO	SMOOTH SIGNAL
C-7SARK	0.165746	0.200260	2.020908
C-4WYLN	0.007839	0.172110	2.019093
C-3BFNY	0.011972	-0.019417	2.017908
C-7ONNE	0.119769	-0.047626	2.017360
C-6HYCN	0.180944	0.109832	2.017947
C-7SCGC	0.036206	0.081506	2.017627
C-7RZQQ	-0.113987	-0.122671	2.017714
C-7RZWZ	-0.185651	-0.151154	2.017738
C-7SEBI	-0.120197	0.129735	2.017652
C-7RZIL	0.364631	0.101067	2.019625
C-4NQTX	-0.027707	-0.120871	2.021620
C-7SDKW	-0.256546	-0.149749	2.021463
S-3WRNV	nan	nan	nan
C-7RXVK	0.011854	-0.016995	2.021386
C-4LHKS	0.076682	-0.046096	2.021464
C-7RWHE	-0.333809	-0.280964	2.021156
C-7SBEJ	-0.409102	-0.310319	2.021127
C-7RYJO	0.367899	-0.100915	2.021466
C-7SEGS	-0.282304	-0.130577	2.022246
C-4LLXK	-0.574392	-0.367213	2.021894
!sample_table_end
