^SAMPLE = GSM687175
!Sample_title = s-AML
!Sample_geo_accession = GSM687175
!Sample_status = Public on Dec 16 2011
!Sample_submission_date = Mar 08 2011
!Sample_last_update_date = Dec 16 2011
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = untreated patient at diagnosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = disease: s-AML
!Sample_characteristics_ch1 = tissue: bone marrow
!Sample_characteristics_ch1 = genotype: small 12p deletions
!Sample_treatment_protocol_ch1 = none; samples were obtained from untreated patients at diagnosis
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Qiagen DNA extraction kit (QIAamp DNA Mini Kit; 51306); elution buffer was 10mM Tris, 0.1mM EDTA, pH 8.0
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = according to the standard Affymetrix SNP 6.0 method protocol
!Sample_hyb_protocol = according to the standard Affymetrix SNP 6.0 method protocol
!Sample_scan_protocol = according to the standard Affymetrix SNP 6.0 method protocol
!Sample_data_processing = Using Genotyping Console version 3.0.1 (Affymetrix) according to the default settings for the "Copy Number / LOH Configuration" except for "Smoothing Gaussian Window". It was set to 5000 instead of 50000 and the "Smooth Log2 ratio" was selected instead of "Calibrate Smooth Log2 ratio to CN".
!Sample_platform_id = GPL6801
!Sample_contact_name = Hans-Ulrich,,Klein
!Sample_contact_email = h.klein@uni-muenster.de
!Sample_contact_laboratory = Center for Translational and Computational Neuroimmunology
!Sample_contact_department = Neurology
!Sample_contact_institute = Columbia University Medical Center
!Sample_contact_address = 622 W 168th St
!Sample_contact_city = New York
!Sample_contact_state = NY
!Sample_contact_zip/postal_code = 10032
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM687nnn/GSM687175/suppl/GSM687175_SNP_60_00255.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM687nnn/GSM687175/suppl/GSM687175_SNP_60_00255_GTC_hg18.CN5.CNCHP.gz
!Sample_series_id = GSE27832
!Sample_data_row_count = 1813441
#ID_REF = 
#VALUE = CN STATE
#CHROMOSOME = 
#POSITION = 
#LOG2 RATIO = 
#SMOOTH SIGNAL = 
#LOH = 
#ALLELE DIFFERENCE = 
!sample_table_begin
ID_REF	VALUE	CHROMOSOME	POSITION	LOG2 RATIO	SMOOTH SIGNAL	LOH	ALLELE DIFFERENCE
CN_473963	1.000000	1	51586	-0.688982	-0.549116	nan	nan
CN_473964	1.000000	1	51659	-0.456166	-0.549204	nan	nan
CN_473965	1.000000	1	51674	-0.365413	-0.549222	nan	nan
CN_473981	1.000000	1	52771	-1.060537	-0.534308	nan	nan
CN_473982	1.000000	1	52788	-0.201773	-0.534215	nan	nan
CN_497981	1.000000	1	62627	0.019349	-0.120948	nan	nan
CN_502615	1.000000	1	75787	-0.461244	-0.583431	nan	nan
CN_502613	1.000000	1	75849	-0.322886	-0.583521	nan	nan
CN_502614	1.000000	1	76175	-0.428252	-0.583995	nan	nan
CN_502616	1.000000	1	76192	-1.141312	-0.584020	nan	nan
CN_502843	2.000000	1	88453	0.042565	0.047229	nan	nan
CN_466171	2.000000	1	218557	0.619144	0.281689	nan	nan
CN_468414	2.000000	1	218926	0.102132	0.278302	nan	nan
CN_468412	2.000000	1	219009	0.264325	0.277513	nan	nan
CN_468413	2.000000	1	219024	0.323452	0.277369	nan	nan
CN_470565	2.000000	1	219470	0.246182	0.272939	nan	nan
CN_468424	2.000000	1	225521	0.205322	0.184758	nan	nan
CN_468425	2.000000	1	225579	-0.108407	0.183756	nan	nan
CN_460512	2.000000	1	346294	0.816056	0.754927	nan	nan
CN_460513	2.000000	1	346393	0.684456	0.754914	nan	nan
!sample_table_end
