^SAMPLE = GSM281531
!Sample_title = LNCaP_20cellamplification_1
!Sample_geo_accession = GSM281531
!Sample_status = Public on Aug 17 2008
!Sample_submission_date = Apr 13 2008
!Sample_last_update_date = Jun 18 2008
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = 20 LNCaP cells amplified by ligation mediated PCR
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = The sample is the ligation mediated PCR amplified DNA of 20 cells collected and pooled by micropipetting. It was part of a set of five LNCaP arrays that were used to verify the compatability of a small number of cells with array CGH. Specifically, this sample represents a sample of a small number of cells.
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = LNCaP DNA was amplified in the collection tube by ligation mediated pcr (as per method described in Klein CA, Schmidt-Kittler O, Schardt JA, Pantel K, Speicher MR and Riethmuller G. Comparative genomic hybridization, loss of heterozygosity, and DNA sequence analysis of single cells. Proc Natl Acad Sci U S A 1999;96: 4494-4499).
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = Array CGH bioprime kit (Invitrogen)
!Sample_source_name_ch2 = normal female reference DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Normal female genomic DNA isolated from peripheral blood. The DNA equivalent to 20 cells was then amplified by  ligation mediated PCR
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNA was isolated using a QIAamp DNA Blood Mini Kit (Qiagen)
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = Array CGH bioprime kit (Invitrogen)
!Sample_hyb_protocol = On microgram each of tumor and reference DNA labeled with Cy5 and Cy3, respectively, were combined and briefly dried by Speedvac. The samples were resuspended in hybridization mix (50% formamide, 10% dextran sulfate, 3x SSC, 1.5% SDS) and heated to 70Â°C for 10 minutes, followed by 1-hour incubation at 37Â°C to allow blocking of repetitive sequences by human Cot-1 DNA. After incubation, samples were applied to the microarray under a coverslip and hybridized at 37Â°C for 18 hours. After hybridization, the arrays were then washed in 50% formamide and 2x SSC (pH 7.0) for 20 minutes at 45Â°C, followed by a 7-minute wash at room temperature in 0.1 mol/L NaPO4 (pH 8.0) and 0.1% NP40. After washing, the arrays were dried by centrifugation at 600 rpm for 5 minutes.
!Sample_scan_protocol = Arrays were scanned with a GenePix 4000A scanner (Axon Instruments, Inc., Union City, CA); fluorescence data were processed with GenePix 3.0 image analysis software (Axon Instruments, Inc.). For each spot, log2 ratio = log2(Cy5/Cy3) and average log2 intensity = [log2(Cy5) + log2(Cy3)]/2 were calculated, where Cy5 and Cy3 refer to the median foreground fluorescent signals of the tumor and reference DNA, respectively. Background subtraction was not used because it conferred no benefit in tests run on cell lines with varying numbers of X chromosome copies.
!Sample_description = NA
!Sample_data_processing = The log2 ratios on each array were normalized and corrected for intensity-based location adjustment with a block-level loess algorithm (as described in Yang YH, Dudoit S, Luu P, Speed TP Normalization for cDNA microarray Bittner ML Chen Y Dorsel AN Dougherty ER eds. . Microarrays: optical technologies and informatics 2001141-52. SPIE, Society for Optical Engineering Bellingham, WA).
!Sample_platform_id = GPL6737
!Sample_contact_name = Ilona,N,Holcomb
!Sample_contact_email = iholcomb@u.washington.edu
!Sample_contact_department = Human Biology
!Sample_contact_institute = Fred Hutchinson Cancer Research Center
!Sample_contact_address = 1100 Fairview Ave N
!Sample_contact_city = Seattle
!Sample_contact_state = WA
!Sample_contact_zip/postal_code = 98103
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM281nnn/GSM281531/suppl/GSM281531.gpr.gz
!Sample_series_id = GSE11155
!Sample_data_row_count = 4191
#ID_REF = 
#VALUE = normalized average log(2) ratio value
!sample_table_begin
ID_REF	VALUE
CTC-232B23	0.029526
RP11-181G12	-0.303415
RP11-62M23	-0.262035
RP11-51D17	-0.089091
RP11-111O5	0.006432
RP11-58A11	-0.074228
RP11-60J11	-0.086098
RP11-81J7	0.032095
RP11-874A11	0.014312
RP11-199O1	0.062427
RP11-426M1	-0.205174
RP11-188F7	0.067094
RP11-90N5	0.116954
RP11-178M15	0.129393
RP11-251N10	0.336705
RP11-219F4	0.300284
RP11-449D11	0.03005
RP11-2L11	-0.571154
RP11-265F14	
RP11-276H7	-0.793968
!sample_table_end
