^SAMPLE = GSM350508
!Sample_title = shei109_sr|ZR751 vs. NF|
!Sample_geo_accession = GSM350508
!Sample_status = Public on Jul 10 2009
!Sample_submission_date = Dec 11 2008
!Sample_last_update_date = Jul 10 2009
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Normal human female genomic DNA
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Normal human female genomic DNA
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = not provided
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = not provided
!Sample_source_name_ch2 = Breast Tumor Cell Line ZR751 genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Breast Tumor Cell Line ZR751 genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = not provided
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = not provided
!Sample_hyb_protocol = not provided
!Sample_scan_protocol = Feature Extraction; Software and parameters for feature extraction.; Protocol Type = Feature Extraction; Parameter Datafile type = GenePix Results 3; Parameter Image Origin = 1880, 6480; Software: type: feature extraction; Performer: Jessica,,Kao
!Sample_scan_protocol = Scanning parameters - Channel 1; Parameters for laser scanning of a hybridized array in channel 1.; Protocol Type = Scanning parameters; Parameter Scan Date = 2003-10-03; Parameter Scanning software = AxImageIO; Parameter Pixel Size = 10; Parameter Scanning software version = 2.0.3.1; Parameter Scan Power = 100; Parameter PMT Volts = 650; Parameter Laser on time = 6486; Parameter Laser Power = 3.52; Parameter Scan Time = 12:20:44; Parameter Scanner Make = Axon Instruments (V1.00); Parameter Scanner Model = GenePix 4000B [94858]; Parameter Focus Position = 0; Parameter Scan Temperature = 27.82; Performer: Jessica,,Kao
!Sample_scan_protocol = Scanning parameters - Channel 2; Parameters for laser scanning of a hybridized array in channel 2.; Protocol Type = Scanning parameters; Parameter Scan Date = 2003-10-03; Parameter Scanning software = AxImageIO; Parameter Scanning software version = 2.0.3.1; Parameter Pixel Size = 10; Parameter PMT Volts = 780; Parameter Scan Power = 100; Parameter Laser on time = 6500; Parameter Laser Power = 3.52; Parameter Scan Time = 12:20:44; Parameter Scanner Make = Axon Instruments (V1.00); Parameter Scanner Model = GenePix 4000B [94858]; Parameter Focus Position = 0; Parameter Scan Temperature = 27.82; Performer: Jessica,,Kao
!Sample_description = Simple annotation: Breast, aCGH cell line
!Sample_description = Image: http://smd.stanford.edu/MicroArray/gifs/2004-07/54189.gif
!Sample_data_processing = VALUE is Log (base 2) of the ratio of the median of Channel 2 (usually 635 nm) to Channel 1 (usually 532 nm)
!Sample_platform_id = GPL7782
!Sample_contact_name = Jonathan,,Pollack
!Sample_contact_email = pollack1@stanford.edu
!Sample_contact_phone = 650-736-1987
!Sample_contact_laboratory = Pollack Lab
!Sample_contact_department = Pathology
!Sample_contact_institute = Stanford University
!Sample_contact_address = 269 Campus Drive, CCSR3245A
!Sample_contact_city = Stanford
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94305-5176
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE13914
!Sample_series_id = GSE15376
!Sample_data_row_count = 41568
#ID_REF = ID_REF
#CH1I_MEAN = Mean feature pixel intensity at wavelength 532 nm.; Type: integer; Scale: linear_scale
#CH2I_MEAN = Mean feature pixel intensity at wavelength 635 nm.; Type: integer; Scale: linear_scale
#CH1B_MEDIAN = The median feature background intensity at wavelength 532 nm.; Type: integer; Scale: linear_scale; Channel: Cy3 Channel; Background
#CH2B_MEDIAN = The median feature background intensity at wavelength 635 nm.; Type: integer; Scale: linear_scale; Channel: Cy5 channel; Background
#CH1D_MEAN = The mean feature pixel intensity at wavelength 532 nm with the median background subtracted.; Type: integer; Scale: linear_scale; Channel: Cy3 Channel
#CH2D_MEAN = .The mean feature pixel intensity at wavelength 635 nm with the median background subtracted.; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH1I_MEDIAN = Median feature pixel intensity at wavelength 532 nm.; Type: integer; Scale: linear_scale
#CH2I_MEDIAN = Median feature pixel intensity at wavelength 635 nm.; Type: integer; Scale: linear_scale
#CH1B_MEAN = The mean feature background intensity at wavelength 532 nm.; Type: integer; Scale: linear_scale; Background
#CH2B_MEAN = The mean feature background intensity at wavelength 635 nm.; Type: integer; Scale: linear_scale; Background
#CH1D_MEDIAN = The median feature pixel intensity at wavelength 532 nm with the median background subtracted.; Type: integer; Scale: linear_scale
#CH2D_MEDIAN = The median feature pixel intensity at wavelength 635 nm with the median background subtracted.; Type: integer; Scale: linear_scale
#CH1_PER_SAT = The percentage of feature pixels at wavelength 532 nm that are saturated.; Type: integer; Scale: linear_scale
#CH2_PER_SAT = The percentage of feature pixels at wavelength 635 nm that are saturated.; Type: integer; Scale: linear_scale
#CH1I_SD = The standard deviation of the feature intensity at wavelength 532 nm.; Type: integer; Scale: linear_scale; Channel: Cy3 Channel
#CH2I_SD = The standard deviation of the feature pixel intensity at wavelength 635 nm.; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH1B_SD = The standard deviation of the feature background intensity at wavelength 532 nm.; Type: float; Scale: linear_scale; Channel: Cy3 Channel; Background
#CH2B_SD = The standard deviation of the feature background intensity at wavelength 635 nm.; Type: integer; Scale: linear_scale; Channel: Cy5 channel; Background
#PERGTBCH1I_1SD = The percentage of feature pixels with intensities more than one standard deviation above the background pixel intensity, at wavelength 532 nm.; Type: integer; Scale: linear_scale
#PERGTBCH2I_1SD = The percentage of feature pixels with intensities more than one standard deviation above the background pixel intensity, at wavelength 635 nm.; Type: integer; Scale: linear_scale
#PERGTBCH1I_2SD = The percentage of feature pixels with intensities more than two standard deviations above the background pixel intensity, at wavelength 532 nm.; Type: integer; Scale: linear_scale
#PERGTBCH2I_2SD = The percentage of feature pixels with intensities more than two standard deviations above the background pixel intensity, at wavelength 532 nm.; Type: integer; Scale: linear_scale
#SUM_MEAN = The sum of the arithmetic mean intensities for each wavelength, with the median background subtracted.; Type: integer; Scale: linear_scale
#SUM_MEDIAN = The sum of the median intensities for each wavelength, with the median background subtracted.; Type: integer; Scale: linear_scale
#RAT1_MEAN = Ratio of the arithmetic mean intensities of each spot for each wavelength, with the median background subtracted. Channel 1/Channel 2 ratio, (CH1I_MEAN - CH1B_MEDIAN)/(CH2I_MEAN - CH2B_MEDIAN) or Green/Red ratio.; Type: float; Scale: linear_scale
#RAT2_MEAN = The ratio of the arithmetic mean intensities of each feature for each wavelength, with the median background subtracted.; Type: float; Scale: linear_scale
#RAT2_MEDIAN = The ratio of the median intensities of each feature for each wavelength, with the median background subtracted.; Type: float; Scale: linear_scale
#PIX_RAT2_MEAN = The geometric mean of the pixel-by-pixel ratios of pixel intensities, with the median background subtracted.; Type: float; Scale: linear_scale
#PIX_RAT2_MEDIAN = The median of pixel-by-pixel ratios of pixel intensities, with the median background subtracted.; Type: float; Scale: linear_scale
#RAT2_SD = The geometric standard deviation of the pixel intensity ratios.; Type: float; Scale: linear_scale
#TOT_SPIX = The total number of feature pixels.; Type: integer; Scale: linear_scale
#TOT_BPIX = The total number of background pixels.; Type: integer; Scale: linear_scale
#REGR = The regression ratio of every pixel in a 2-feature-diameter circle around the center of the feature.; Type: float; Scale: linear_scale
#CORR = The correlation between channel1 (Cy3) & Channel 2 (Cy5) pixels within the spot, and is a useful quality control parameter. Generally, high values imply better fit & good spot quality.; Type: float; Scale: linear_scale
#DIAMETER = The diameter in um of the feature-indicator.; Type: integer; Scale: linear_scale
#X_COORD = X-coordinate of the center of the spot-indicator associated with the spot, where (0,0) is the top left of the image.; Type: integer; Scale: linear_scale
#Y_COORD = Y-coordinate of the center of the spot-indicator associated with the spot, where (0,0) is the top left of the image.; Type: integer; Scale: linear_scale
#TOP = Box top: int(((centerX - radius) - Xoffset) / pixelSize).; Type: integer; Scale: linear_scale
#BOT = Box bottom: int(((centerX + radius) - Xoffset) / pixelSize).; Type: integer; Scale: linear_scale
#LEFT = Box left: int(((centerY - radius) - yoffset) / pixelSize).; Type: integer; Scale: linear_scale
#RIGHT = Box right: int(((centerY + radius) - yoffset) / pixelSize); Type: integer; Scale: linear_scale
#FLAG = The type of flag associated with a feature: -100 = user-flagged null spot; -50 = software-flagged null spot; 0 = spot valid.; Type: integer; Scale: linear_scale
#CH2IN_MEAN = Normalized value of mean Channel 2 (usually 635 nm) intensity (CH2I_MEAN/Normalization factor).; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH2BN_MEDIAN = Normalized value of median Channel 2 (usually 635 nm) background (CH2B_MEDIAN/Normalization factor).; Type: integer; Scale: linear_scale; Channel: Cy5 channel; Background
#CH2DN_MEAN = Normalized value of mean Channel 2 (usually 635 nm) intensity with normalized background subtracted (CH2IN_MEAN - CH2BN_MEDIAN).; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#RAT2N_MEAN = Type: float; Scale: linear_scale
#CH2IN_MEDIAN = Normalized value of median Channel 2 (usually 635 nm) intensity (CH2I_MEDIAN/Normalization factor).; Type: integer; Scale: linear_scale
#CH2DN_MEDIAN = Normalized value of median Channel 2 (usually 635 nm) intensity with normalized background subtracted (CH2IN_MEDIAN - CH2BN_MEDIAN).; Type: integer; Scale: linear_scale
#RAT1N_MEAN = Ratio of the means of Channel 1 (usually 532 nm) intensity to normalized Channel 2 (usually 635 nm) intensity with median background subtracted (CH1D_MEAN/CH2DN_MEAN). Channel 1/Channel 2 ratio normalized or Green/Red ratio normalized.; Type: float; Scale: linear_scale
#RAT2N_MEDIAN = Channel 2/Channel 1 ratio normalized, RAT2_MEDIAN/Normalization factor or Red/Green median ratio normalized.; Type: float; Scale: linear_scale
#LOG_RAT2N_MEAN = Log (base 2) of the ratio of the mean of Channel 2 (usually 635 nm) to Channel 1 (usually 532 nm) [log (base 2) (RAT2N_MEAN)].; Type: float; Scale: log_base_2
#VALUE = Log (base 2) of the ratio of the median of Channel 2 (usually 635 nm) to Channel 1 (usually 532 nm) [log (base 2) (RAT2N_MEDIAN)].; Type: float; Scale: log_base_2
!sample_table_begin
ID_REF	CH1I_MEAN	CH2I_MEAN	CH1B_MEDIAN	CH2B_MEDIAN	CH1D_MEAN	CH2D_MEAN	CH1I_MEDIAN	CH2I_MEDIAN	CH1B_MEAN	CH2B_MEAN	CH1D_MEDIAN	CH2D_MEDIAN	CH1_PER_SAT	CH2_PER_SAT	CH1I_SD	CH2I_SD	CH1B_SD	CH2B_SD	PERGTBCH1I_1SD	PERGTBCH2I_1SD	PERGTBCH1I_2SD	PERGTBCH2I_2SD	SUM_MEAN	SUM_MEDIAN	RAT1_MEAN	RAT2_MEAN	RAT2_MEDIAN	PIX_RAT2_MEAN	PIX_RAT2_MEDIAN	RAT2_SD	TOT_SPIX	TOT_BPIX	REGR	CORR	DIAMETER	X_COORD	Y_COORD	TOP	BOT	LEFT	RIGHT	FLAG	CH2IN_MEAN	CH2BN_MEDIAN	CH2DN_MEAN	RAT2N_MEAN	CH2IN_MEDIAN	CH2DN_MEDIAN	RAT1N_MEAN	RAT2N_MEDIAN	LOG_RAT2N_MEAN	VALUE
1	2314	1619	388	332	1926	1287	2260	1672	414	374	1872	1340	0	0	888	685	206	255	95	95	92	84	3213	3212	1.497	.668	.716	.78	.69	.55	37	502	.69	.98	70	2350	7090	57	64	43	50	0	2119	434	1684	.874	2188	1753	1.144	.937	-.194	-.094
2	2725	1681	396	325	2329	1356	2757	1708	427	372	2361	1383	0	0	1065	932	215	266	95	89	92	76	3685	3744	1.718	.582	.586	.58	.58	.33	37	463	.64	.97	70	2500	7090	57	64	58	65	0	2200	425	1774	.762	2235	1810	1.313	.767	-.392	-.384
3	2972	2062	380	320	2592	1742	2932	2085	402	369	2552	1765	0	0	1488	1052	198	322	100	89	92	78	4334	4317	1.488	.672	.692	.79	.68	.61	37	414	.69	.97	70	2650	7100	58	65	73	80	0	2698	419	2279	.879	2728	2310	1.137	.905	-.185	-.144
4	1768	827	395	329	1373	498	1822	658	406	383	1427	329	0	0	741	575	194	333	95	49	89	35	1871	1756	2.757	.363	.231	.48	.34	.45	37	409	.47	.89	70	2790	7090	57	64	87	94	0	1082	431	652	.475	861	431	2.107	.302	-1.075	-1.729
5	5526	3733	393	341	5133	3392	5568	3806	421	390	5175	3465	0	0	2031	1348	200	270	100	100	100	100	8525	8640	1.513	.661	.67	.71	.64	.3	52	384	.67	.99	80	2950	7100	58	66	103	111	0	4885	446	4439	.865	4980	4534	1.156	.876	-.21	-.191
6	2114	1373	409	352	1705	1021	2226	1103	424	389	1817	751	0	0	867	846	190	259	95	86	89	73	2726	2568	1.67	.599	.413	.8	.59	.85	37	427	.65	.95	70	3080	7090	57	64	116	123	0	1797	461	1336	.784	1443	983	1.276	.541	-.352	-.887
7	4188	3505	391	341	3797	3164	4096	3103	419	390	3705	2762	0	0	1765	1579	197	274	100	100	100	100	6961	6467	1.2	.833	.745	.94	.78	.6	52	384	.83	.98	80	3240	7100	58	66	132	140	0	4586	446	4140	1.09	4060	3614	.917	.975	.125	-.036
8	3369	1878	396	348	2973	1530	3233	1988	419	393	2837	1640	0	0	1595	929	197	261	98	90	94	85	4503	4477	1.943	.515	.578	.53	.53	.23	52	383	.56	.98	80	3380	7100	58	66	146	154	0	2457	455	2002	.673	2601	2146	1.485	.756	-.57	-.403
9	2699	1723	395	379	2304	1344	2832	1559	436	431	2437	1180	0	0	807	841	219	303	100	86	100	84	3648	3617	1.714	.583	.484	.63	.58	.43	37	415	.66	.96	70	3530	7100	58	65	161	168	0	2255	496	1759	.763	2040	1544	1.31	.634	-.39	-.658
10	4078	2263	388	379	3690	1884	4218	2519	435	423	3830	2140	0	0	1247	961	223	292	98	92	96	87	5574	5970	1.959	.511	.559	.63	.53	.73	52	383	.57	.97	80	3670	7100	58	66	175	183	0	2961	496	2465	.668	3296	2800	1.497	.731	-.582	-.452
11	2384	2038	388	352	1996	1686	2408	1994	413	384	2020	1642	0	0	710	725	201	249	96	98	96	98	3682	3662	1.184	.845	.813	.91	.85	.51	52	387	.85	.98	80	3830	7100	58	66	191	199	0	2667	461	2206	1.105	2609	2149	.905	1.064	.144	.089
12	2163	1571	391	358	1772	1213	2052	1506	412	393	1661	1148	0	0	1137	671	202	263	91	88	88	84	2985	2809	1.461	.685	.691	.77	.64	.54	32	392	.71	.98	60	3960	7100	59	65	205	211	0	2056	468	1587	.896	1971	1502	1.116	.904	-.159	-.145
13	2369	1951	397	344	1972	1607	2073	1765	402	395	1676	1421	0	0	1318	1220	187	262	90	90	88	83	3579	3097	1.227	.815	.848	.89	.82	.51	52	396	.84	.98	80	4110	7100	58	66	219	227	0	2553	450	2103	1.066	2310	1859	.938	1.109	.093	.15
14	4060	3337	400	334	3660	3003	4086	3248	417	397	3686	2914	0	0	961	1019	196	273	100	100	98	100	6663	6600	1.219	.82	.791	.87	.82	.39	52	314	.82	.98	80	4260	7100	58	66	234	242	0	4367	437	3930	1.074	4250	3813	.931	1.034	.103	.049
15	1829	2550	386	353	1443	2197	1935	2551	494	475	1549	2198	0	0	637	1164	746	702	90	89	52	77	3640	3747	.657	1.523	1.419	1.68	1.49	1.07	80	307	1.39	.96	100	4380	7100	57	67	245	255	0	3337	462	2875	1.992	3338	2876	.502	1.857	.994	.893
16	7606	5765	383	349	7223	5416	8835	5897	484	467	8452	5548	0	0	3815	2913	702	693	91	91	87	88	12639	14000	1.334	.75	.656	.84	.75	.52	69	356	.76	.99	90	4540	7100	57	66	261	270	0	7544	457	7087	.981	7716	7260	1.019	.859	-.027	-.219
17	3414	2407	406	307	3008	2100	3733	2347	431	360	3327	2040	0	0	1531	1095	217	256	90	94	87	92	5108	5367	1.432	.698	.613	1.03	.73	1.13	52	333	.71	.98	80	4690	7100	58	66	277	285	0	3150	402	2748	.914	3071	2669	1.095	.802	-.13	-.318
18	4313	3110	402	319	3911	2791	4376	2982	441	365	3974	2663	0	0	1497	1244	240	267	97	97	97	97	6702	6637	1.401	.714	.67	1.98	.79	7.61	37	435	.73	.99	70	4830	7090	57	64	291	298	0	4070	417	3652	.934	3902	3485	1.071	.877	-.099	-.19
19	5434	6812	395	338	5039	6474	5679	7036	438	385	5284	6698	0	0	2218	3208	299	286	95	100	95	100	11513	11982	.778	1.285	1.268	1.49	1.39	1.45	37	451	1.25	.99	70	4980	7090	57	64	306	313	0	8914	442	8472	1.681	9207	8765	.595	1.659	.749	.73
20	2766	2081	379	330	2387	1751	2763	2031	419	380	2384	1701	0	0	1100	1291	282	292	100	81	97	78	4138	4085	1.363	.734	.714	.7	.69	.39	32	436	.77	.98	60	5140	7090	58	64	323	329	0	2723	432	2291	.96	2658	2226	1.042	.934	-.059	-.099
!sample_table_end
