^SAMPLE = GSM89237
!Sample_title = CGH4_23, APC_T_D12.19
!Sample_geo_accession = GSM89237
!Sample_status = Public on Dec 25 2005
!Sample_submission_date = Dec 23 2005
!Sample_last_update_date = Dec 23 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = APC_T_D12.19
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Phi-29 amplified genomic DNA from 1000 microdissected low grade dysplastic tumor colon mucosa cells
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy3
!Sample_source_name_ch2 = non-amplified commercial male (46, XY) genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = non-amplified commercial male (46, XY) genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy5
!Sample_description = Phi-29 amplified microdissected dysplatic colon mucosa DNA sample from an individual affected by Familial Adenomatous Polyposis with a known APC mutation.Details of the sample are available in the publication Cardoso J. et al., âChromosomal instability in MYH- and APC-mutant adenomatous polypsâ, Cancer Research, accepted for publication.
!Sample_data_processing = Log2 ratios of vsn normalized intensities defined as ch1 divided by ch2.
!Sample_platform_id = GPL1506
!Sample_contact_name = Joana,,Cardoso
!Sample_contact_email = joanacardoso@fm.ul.pt
!Sample_contact_phone = 351-21-7999519
!Sample_contact_laboratory = Biology of Chromatin Unit
!Sample_contact_institute = Faculty of Medicine
!Sample_contact_address = Av. Prof Egaz Moniz
!Sample_contact_city = Lisbon
!Sample_contact_zip/postal_code = 1700
!Sample_contact_country = Portugal
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3898
!Sample_data_row_count = 3615
#ID_REF = 
#VALUE = Log2 ratio of vsn normalized intensities
!sample_table_begin
ID_REF	VALUE
10	-0.188557356
11	-0.140378556
20	-0.162427264
21	-0.195348122
40	-0.595779672
50	-0.1598131
60	-0.085514306
61	-0.246198794
62	-0.259576905
70	0.09466532
71	0.125426464
72	0.098466822
80	0.071774078
90	-0.411124806
91	-0.371501187
92	-0.364439194
100	-0.09961665
101	-0.078935616
102	-0.079733427
110	-0.026939444
!sample_table_end
