^SAMPLE = GSM69195
!Sample_title = SKBR3
!Sample_geo_accession = GSM69195
!Sample_status = Public on Feb 17 2006
!Sample_submission_date = Aug 09 2005
!Sample_last_update_date = Feb 17 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = ATCC Catalogue Number: HTB-30D
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = ATCC Catalogue Number: HTB-30D
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Novagen
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Novagen Catalogue Number: 70605-3
!Sample_characteristics_ch2 = Pooled female genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Competitive hybridization of differentially labeled pooled female genomic DNA and SKBR3 genomic DNA
!Sample_data_processing = None
!Sample_platform_id = GPL2735
!Sample_contact_name = Ashleen,,Shadeo
!Sample_contact_email = ashadeo@bccrc.ca
!Sample_contact_institute = British Columbia Cancer Research Center
!Sample_contact_address = 675 west 10th Ave
!Sample_contact_city = Vancouver
!Sample_contact_state = BC
!Sample_contact_zip/postal_code = V6Z 2V9
!Sample_contact_country = Canada
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3106
!Sample_data_row_count = 98208
#ID_REF = 
#Spot Mean Intensity (w595) = Mean Spot Pixel Intensity - Cy3 channel
#Spot Mean Intensity (w685) = Mean Spot Pixel Intensity - Cy5 channel
#Background Mean Intensity (w595) = Median Background Pixel Intensity - Cy3 channel
#Background Mean Intensity (w685) = Median Background Pixel Intensity - Cy5 channel
#Spot Normalized Intensity (w595) = Spot Mean - Background Median
#Spot Normalized Intensity (w685) = Spot Mean - Background Median
#Spot SNR (w595) = Signal to noise ratio - Cy3
#Spot SNR (w685) = Signal to noise ratio - Cy5
#Spot Ratio (w595) = Cy3/Cy5
#Spot Ratio (w685) = Cy5/Cy3
#Spot Log2 Ratio (w595) = log2(Cy3/Cy5) (global mean set to "0")
#VALUE = log2(Cy5/Cy3) (global mean set to "0")
!sample_table_begin
ID_REF	Spot Mean Intensity (w595)	Spot Mean Intensity (w685)	Background Mean Intensity (w595)	Background Mean Intensity (w685)	Spot Normalized Intensity (w595)	Spot Normalized Intensity (w685)	Spot SNR (w595)	Spot SNR (w685)	Spot Ratio (w595)	Spot Ratio (w685)	Spot Log2 Ratio (w595)	VALUE
1	821.624	1959.929	775.021	1943.007	43.6235	19.92944	1.909062	0.5056004	0.9500316	1.052548	-0.0739526	0.07388636
2	856.619	1973.452	774.147	1945.882	81.119	24.95239	3.5633	0.8946233	1.410987	0.7086915	0.4967042	-0.4967704
3	1213.196	2093.022	778.856	1945.963	435.196	144.0217	17.23174	4.39648	1.311502	0.7624496	0.3912199	-0.3912862
4	831.847	1971.682	791.681	1949.519	42.847	20.68237	1.15588	0.6564448	0.8991516	1.112109	-0.1533639	0.1532976
5	862.765	1973.565	799.744	1950.016	65.7647	24.5647	1.726034	0.6604887	1.161967	0.86057	0.2165693	-0.2166355
6	2127.523	2511.465	809.333	1956.786	1319.023	555.965	47.181	17.02058	1.029716	0.9710974	0.04224582	-0.04231206
7	1669.74	2256.948	845.219	1969.646	821.24	283.948	21.7284	9.37538	1.255289	0.7965927	0.3280197	-0.3280859
8	1425.209	2222.977	871.109	1975.899	553.209	247.9768	21.99737	7.712	0.9682574	1.032736	-0.04653756	0.04647132
9	2414.946	2648.457	860.376	1949.106	1552.946	700.457	60.7068	24.07671	0.9622489	1.039184	-0.05551807	0.05545184
10	2779.172	2846.312	839.134	1926.776	1940.172	921.312	87.2145	26.66591	0.9139996	1.094042	-0.1297346	0.1296683
11	1911.831	2554.12	830	1953.094	1088.331	598.12	35.5129	14.65141	0.7897414	1.266179	-0.3405478	0.3404816
12	1711.354	2217.418	815.987	1948.436	896.854	267.9177	32.8226	7.78936	1.45289	0.6882516	0.5389258	-0.5389921
13	3655.99	2951.444	823.015	1957.507	2836.99	991.444	116.4093	26.20485	1.241943	0.8051527	0.3125995	-0.3126657
14	1887.519	2495.506	816.841	1954.955	1069.519	535.506	37.8265	12.46477	0.8668346	1.15357	-0.2061713	0.206105
15	1646.8	2230.44	810.156	1930.144	837.8	300.9399	34.0452	8.1744	1.208295	0.8275746	0.2729726	-0.2730388
16	1859.976	2197.422	830.88	1947.53	1031.976	252.4216	38.2503	6.47668	1.774416	0.5635399	0.8273441	-0.8274104
17	2355.364	2516.17	842.987	1951.587	1513.364	566.17	51.9995	16.92332	1.160135	0.8619292	0.2142925	-0.2143587
18	1726.2	2364.557	821.296	1941.265	904.7	420.557	32.3955	13.28989	0.9336668	1.070997	-0.09902029	0.09895405
19	2315.647	2485.459	810.941	1934.153	1511.647	551.459	47.9397	15.8128	1.189734	0.8404858	0.2506386	-0.2507048
20	1665.227	2197.106	832.282	1940.091	835.727	260.106	23.65141	7.41612	1.394526	0.7170565	0.4797749	-0.4798411
!sample_table_end
