^SAMPLE = GSM597201
!Sample_title = SRC111976 - CGH
!Sample_geo_accession = GSM597201
!Sample_status = Public on Sep 23 2010
!Sample_submission_date = Sep 22 2010
!Sample_last_update_date = Sep 23 2010
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Normal prostate
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sampleID: HF-23732
!Sample_characteristics_ch1 = organ: Prostate
!Sample_characteristics_ch1 = subtype: Adjacent normal prostate
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Qiagen AllPrep extraction kit was used according to the manufacturer's instructions
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = Agilent's Genomic DNA Labeling Kit Plus
!Sample_source_name_ch2 = Diploid reference
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = reference: Male genomic DNA (Promega P/N G1471)
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = Qiagen AllPrep extraction kit was used according to the manufacturer's instructions
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = Agilent's Genomic DNA Labeling Kit Plus
!Sample_hyb_protocol = Agilent's Oligonucleotide Array-Based CGH for Genomic DNA Analysis protocol
!Sample_scan_protocol = Agilent's user manual (Agilent scanner)
!Sample_description = Normal sample 1
!Sample_data_processing = Tumor samples were assayed on Agilent Human Genome CGH 244A Microarrays. Human male genomic DNA (Promega P/N G1471) was used as reference.  Individual log2 ratios of background-subtracted signal intensities were obtained from the Agilent Feature Extraction software version 9.5.
!Sample_platform_id = GPL4091
!Sample_contact_name = Thomas,D.,Wu
!Sample_contact_email = twu@gene.com
!Sample_contact_phone = 650-225-5672
!Sample_contact_institute = Genentech, Inc.
!Sample_contact_address = 1 DNA Way
!Sample_contact_city = South San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94080
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM597nnn/GSM597201/suppl/GSM597201_Agilent_251469356649_S01_CGH-v4_95_Tecan_Feb07.txt.gz
!Sample_series_id = GSE24282
!Sample_series_id = GSE24284
!Sample_data_row_count = 243430
#ID_REF = 
#VALUE = normalized log10 ratio Cy5/Cy3
!sample_table_begin
ID_REF	VALUE
1	3.908782344e-002
2	0.000000000e+000
3	0.000000000e+000
4	3.350370148e-002
5	2.570279470e-002
6	2.064521555e-002
7	-4.918434167e-002
8	-1.888882507e-002
9	3.542329189e-002
10	-6.936850666e-002
11	-4.677809306e-003
12	7.531037263e-003
13	-5.834880341e-002
14	1.508813430e-002
15	-1.970578870e-002
16	-8.207840085e-002
17	-2.030549006e-002
18	-7.539503758e-002
19	-2.504980198e-003
20	-1.164188519e-002
!sample_table_end
