^SAMPLE = GSM566745
!Sample_title = B3
!Sample_geo_accession = GSM566745
!Sample_status = Public on Aug 26 2011
!Sample_submission_date = Jul 15 2010
!Sample_last_update_date = Aug 26 2011
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Blood DNA from healthy donor
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = tissue: blood
!Sample_characteristics_ch1 = disease: healthy
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Blood DNA was isolated as described in Miller SA, Polesky HF. A simple salting out procedure for extracting DNA from human nucleated cells. Nucleic Acids Res 1988;16:1215 (PMID 3344216).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = According to Affymetrix SNP 6.0 standard protocol.
!Sample_hyb_protocol = According to Affymetrix SNP 6.0 standard protocol.
!Sample_scan_protocol = GeneChip GSC3000 7G Whole-Genome Association System. According to Affymetrix SNP 6.0 standard protocol.
!Sample_description = From the same healthy donor S3 (saliva sample) as used in the series to compare the blood and saliva DNA.
!Sample_data_processing = Genotyping was performed using the CRLMM algorithm in the Oligo package (Lin, 2008), copy number analysis using the aroma affymetrix package (Bengtsson, 2009), and we constructed LAIR plots to visualize regions of LOH and allelic imbalance (Corver, 2008) in R software (version 2.8). We have used CNCHP log ratio file as an input in Nexus (BioDiscovery, USA) software (version 4.1) and performed HMM based SNP-FASST segmentation for copy number analysis. Copy number inferred after correction with the 5 closest normals.
!Sample_platform_id = GPL6801
!Sample_contact_name = Twinkal,Chandubhai,Pansuriya
!Sample_contact_email = t.c.pansuriya@lumc.nl
!Sample_contact_phone = 0031715266528
!Sample_contact_department = Pathology
!Sample_contact_institute = LUMC
!Sample_contact_address = Albinusdreef 2
!Sample_contact_city = Leiden
!Sample_contact_state = Zuid-Holland
!Sample_contact_zip/postal_code = 2333ZA
!Sample_contact_country = Netherlands
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM566nnn/GSM566745/suppl/GSM566745.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM566nnn/GSM566745/suppl/GSM566745.CNCHP.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM566nnn/GSM566745/suppl/GSM566745.chp.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM566nnn/GSM566745/suppl/GSM566745.gqc.gz
!Sample_series_id = GSE22965
!Sample_series_id = GSE22984
!Sample_data_row_count = 909622
#ID_REF = ProbeSet name
#VALUE = Genotype call
#CONFIDENCE = 
#FORCED CALL = 
#SIGNAL A = 
#SIGNAL B = 
!sample_table_begin
ID_REF	VALUE	CONFIDENCE	FORCED CALL	SIGNAL A	SIGNAL B
SNP_A-2131660	BB	0.003572	BB	642.545349	4347.620117
SNP_A-1967418	BB	0.004314	BB	275.399475	578.331726
SNP_A-1969580	BB	0.000265	BB	1162.809448	3641.629639
SNP_A-4263484	AB	0.002757	AB	1628.855225	1095.741943
SNP_A-1978185	AA	0.001675	AA	1332.244629	290.262024
SNP_A-4264431	AA	0.004844	AA	1504.462402	305.692993
SNP_A-1980898	BB	0.002905	BB	306.343658	873.615234
SNP_A-1983139	AA	0.002172	AA	3252.143799	881.968872
SNP_A-4265735	AB	0.002694	AB	1513.113159	1324.698853
SNP_A-1995832	AB	0.003847	AB	1666.542847	1155.371216
SNP_A-1995893	AB	0.001933	AB	1626.603760	1819.676758
SNP_A-1997689	BB	0.003424	BB	603.764526	3042.775879
SNP_A-1997709	AA	0.005801	AA	2025.335083	294.241608
SNP_A-1997896	AB	0.007511	AB	880.907776	1093.549072
SNP_A-1997922	AA	0.090439	AA	783.883362	267.208832
SNP_A-2000230	AA	0.004625	AA	2399.260498	866.941223
SNP_A-2000332	BB	0.004395	BB	1041.597656	3365.995117
SNP_A-2000337	AA	0.009172	AA	1889.327881	295.241821
SNP_A-2000342	AA	0.008324	AA	2985.418945	695.512878
SNP_A-4268173	AA	0.002930	AA	1283.543091	258.092712
!sample_table_end
