^SAMPLE = GSM188214
!Sample_title = Melanoma (NG1500KWM983)
!Sample_geo_accession = GSM188214
!Sample_status = Public on Nov 02 2007
!Sample_submission_date = May 09 2007
!Sample_last_update_date = Oct 31 2007
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = WM983 Cell Line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Melanoma
!Sample_growth_protocol_ch1 = Cells were grown in in RPMI 1640 supplemented with 10% heat-inactivated FBS
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was isolated from cultured cells with Mini DNeasy kit (Qiagen, Inc.)
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = 1 ug Genomic DNA was labeled with dye-labeled 9 mers and Klenow.  Labeled DNA was isolated using ethanol precipitation
!Sample_hyb_protocol = Hybridization and assay treatment were carried out acccording to the manufacturer's recommendations
!Sample_scan_protocol = Assay was scanned with an Axon microarray scanner (Axon, Inc.)
!Sample_description = Melanoma
!Sample_data_processing = Background corrected Test/Reference intensity ratios were calculated using Genepix software (Axon Instruments, Inc).  They were then subject global normalization that assumed that the median copy number is  diploid (2n; log2 Ratio = 0).
!Sample_platform_id = GPL5144
!Sample_contact_name = Joel,,Greshock
!Sample_contact_department = Translational Medicine, Oncology
!Sample_contact_institute = GlaxoSmithKline
!Sample_contact_address = 2301 Renaissance Blvd.
!Sample_contact_city = King of Prussia
!Sample_contact_state = PA
!Sample_contact_zip/postal_code = 19406
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM188nnn/GSM188214/suppl/GSM188214.txt.gz
!Sample_series_id = GSE7822
!Sample_data_row_count = 1525845
#ID_REF = 
#VALUE = Log2(test/reference intensity ratio)
!sample_table_begin
ID_REF	VALUE
CHR1600P007381917	-0.721
CHR1300P018648920	0.355
CHR0500P129007875	0.049
CHR0500P080526127	0.03
CHR0500P071003071	-0.329
CHR2000P035358896	0.381
CHR0200P076221542	-0.224
CHR0700P143210959	0.502
CHR0400P128807061	-0.603
CHR1800P042557027	-0.215
CHR1700P009848637	-0.124
CHR0100P179669784	-0.171
CHR0800P126585417	-0.056
CHR0800P118389470	0
CHR0300P050008178	-0.128
CHR0100P225626459	-0.417
CHR0100P146763724	-0.159
CHRX00P103408466	-0.024
CHR1200P097660189	0.066
CHR1500P082146387	0.094
!sample_table_end
