^SAMPLE = GSM322571
!Sample_title = VUMC_LGCIN4_b251495015494_s129_2
!Sample_geo_accession = GSM322571
!Sample_status = Public on Feb 20 2009
!Sample_submission_date = Sep 19 2008
!Sample_last_update_date = Feb 20 2009
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = uterine cervix
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cervical intraepithelial neoplasia (CIN) lesion, grade 1
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = as described in Van zeeburg et al, Cancer Res, volume 65, p 1271-76, 2005
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = as described by Snijders et al, Nat Genetics, volume 29, p 263-4
!Sample_source_name_ch2 = Reference DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Pooled DNA from the blood of 10 normal male individuals
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = as described in Wilting et al, J Pathol, volume 209, p 220-30
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = as ch1, Cy5 in stead of Cy3
!Sample_hyb_protocol = hybridisations were performed according to the manufacturer's instructions (Agilent Technologies)
!Sample_scan_protocol = Microarray Scanner G2505B (Agilent Technologies), default settings
!Sample_description = CIN1 lesion, patient age 40 years, contains high risk Human Papilloma Virus
!Sample_data_processing = Spots were quantified in Feature Extraction software version 9.5.1 (Agilent Technologies) using default settings.
!Sample_platform_id = GPL5477
!Sample_contact_name = Daoud,,Sie
!Sample_contact_email = d.sie@vumc.nl
!Sample_contact_phone = +31 20 4442428
!Sample_contact_laboratory = Microarray Core Facility
!Sample_contact_department = Pathology
!Sample_contact_institute = Vrije Universiteit Medical Center
!Sample_contact_address = De Boelelaan 1117
!Sample_contact_city = Amsterdam
!Sample_contact_zip/postal_code = 1081 HV
!Sample_contact_country = Netherlands
!Sample_supplementary_file = NONE
!Sample_series_id = GSE11573
!Sample_data_row_count = 45220
#ID_REF = 
#Signal Median CH1 = Spot signal in channel 1 (Cy3)
#Background Median CH1 = Background signal channel 1 (Cy3)
#Signal Median CH2 = Spot signal in channel 2 (Cy5)
#Background Median CH2 = Background signal channel 2 (Cy5)
#VALUE = Normalized log2 ratio of the test (Cy3)/ reference (Cy5) sample
!sample_table_begin
ID_REF	Signal Median CH1	Background Median CH1	Signal Median CH2	Background Median CH2	VALUE
1	2281.5	48	5058	47	
2	53	48	57	47	
3	51	48	57	48	
4	55.5	48	53.5	47	
5	53	48	53.5	47	
6	54.5	48	54	46	
7	56	48	54	46	
8	53	48	55	46	
9	50	48	54	46	
10	52	48	55.5	46	
11	55	47	52.5	47	
12	357	48	540.5	46	0.21
13	737.5	48	1208	46	0.05
14	1294	47	2509	47	-0.2
15	363.5	48	742	47	-0.18
16	490	49.5	1059	47	-0.54
17	892	50	1448	46	0.16
18	326.5	49	661	47	-0.2
19	213	49	490	47	-0.61
20	328	48	685	47	-0.14
!sample_table_end
