^SAMPLE = GSM284809
!Sample_title = Oral98
!Sample_geo_accession = GSM284809
!Sample_status = Public on Jul 01 2009
!Sample_submission_date = Apr 26 2008
!Sample_last_update_date = Feb 20 2009
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Oral_specimen_98
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Formalin-fixed paraffin-embedded oral specimen.
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = All lesions were microdissected, and the dissected tissues were places in sodium dodecyl sulfate/proteinase K at 55Â°C and spiked twice a day for 72 hours with fresh proteinase K. Genomic DNA was extracted with phenol/chloroform and  with ethanol.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = Random prime probe labeling was performed to label sample and reference genomic DNA (250ng each).  Each reaction was labeled with either 2 nmol of cyanine-3 or cyanine-5 dCTP.
!Sample_source_name_ch2 = Normal male
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Novagen pooled normal male genomic DNA.
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = Purchased genomic DNA.
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = Random prime probe labeling was performed to label sample and reference genomic DNA (250ng each). Each reaction was labeled with either 2 nmol of cyanine-3 or cyanine-5 dCTP.
!Sample_hyb_protocol = Probes were combined, denatured and annealed in a solution containing 100 ug human Cot-1 DNA (Invitrogen) and 48 ul DIG Easy hybridization solution (Roche) containing sheared herring sperm DNA (Sigma-Aldrich) and yeast tRNA (Calbiochem). Probe was denautred at 85Â°C for 5 minutes, and repetitive sequences were blocked at 45Â°C for 1 hour prior to hybridization. The probe mixture was applied to the slide surface and hybridized for 36 hrs at 45Â°C. The arrays were washed 5 times in 0.1X SSC, 0.1% SDS at room temperature with agitation. Each array was then rinsed repeatedly in 0.1X SSC and dried by centrifugation.
!Sample_scan_protocol = A charge-coupled device (CCD) scanner system (ARrayworx eAuto, API, Issaquah, WA) was used to determine the signal intensities of the Cyanine 5/Cyanine3 channels. Arrays were scanned at a 9.75um resolution; exposure times for each image wavelength were usually between 0.2 to 2 sec. Images were analyzed by SoftWoRx Tracker analysis software (Applied Precision, Issaquah, WA, USA).
!Sample_description = N/A
!Sample_data_processing = A three-step normalization procedure [Khojasteh et al. BMC Bioinformatics 6:274, 2005] was performed to each raw data.
!Sample_platform_id = GPL2616
!Sample_contact_name = T,,Buys
!Sample_contact_laboratory = Wan Lam Lab
!Sample_contact_department = Cancer Genetics and Developmental Biology
!Sample_contact_institute = British Columbia Cancer Research Centre
!Sample_contact_address = 675 W.10th Avenue
!Sample_contact_city = Vancouver
!Sample_contact_state = BC
!Sample_contact_zip/postal_code = V5Z 1L3
!Sample_contact_country = Canada
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM284nnn/GSM284809/suppl/GSM284809.txt.gz
!Sample_series_id = GSE11275
!Sample_data_row_count = 53856
#ID_REF = 
#Spot Mean Intensity (w595) = Mean intensity of spot for Cy3 channel
#Spot Mean Intensity (w685) = Mean intensity of spot for Cy5 channel
#Background Median Intensity (w595) = Median signal intensity from area around spot for Cy3 channel
#Background Median Intensity (w685) = Median signal intensity from area around spot for Cy5 channel
#Spot Normalized Intensity (w595) = Locally normalized value for mean intensity of spot for Cy3 channel
#Spot Normalized Intensity (w685) = Locally normalized value for mean intensity of spot for Cy5 channel
#Spot SNR (w595) = Column "Spot Mean Intensity (w595)" divided by column "Background Median Intensity (w595)"
#Spot SNR (w685) = Column "Spot Mean Intensity (w685)" divided by column "Background Median Intensity (w685)"
#Spot Ratio (w595) = Column "Spot Normalized Intensity (w595)" divided by column "Spot Normalized Intensity (w685)"
#Spot Ratio (w685) = Column "Spot Normalized Intensity (w685)" divided by column "Spot Normalized Intensity (w595)"
#Spot Log2 Ratio (w595) = log2 for column labeled "Spot Ratio (595)"
#VALUE = log 2 ratio test/reference (Spot log2 ratio (w595) column following spatial bias normalization)
!sample_table_begin
ID_REF	Spot Mean Intensity (w595)	Spot Mean Intensity (w685)	Background Median Intensity (w595)	Background Median Intensity (w685)	Spot Normalized Intensity (w595)	Spot Normalized Intensity (w685)	Spot SNR (w595)	Spot SNR (w685)	Spot Ratio (w595)	Spot Ratio (w685)	Spot Log2 Ratio (w595)	VALUE
1	7265.18	5731	462.5	347	6802.68	5384	158.5565	96.4564	1.046766	0.9552729	0.06593944	0.029213
2	9060.66	7588.27	466	351	8594.66	7237.27	277.1221	362.572	0.9838501	1.016362	-0.0234897	-0.089514
3	8348.71	6141.39	473	356	7875.71	5785.39	311.5219	348.478	1.1278	0.8866357	0.1735109	0.112516
4	6943.38	5669.84	465	362	6478.38	5307.84	326.426	375.804	1.011168	0.9889037	0.01602234	-0.046332
5	9202.17	6547.18	464	352.5	8738.17	6194.68	453.44	381.565	1.168628	0.8556596	0.2248155	0.161704
6	10571.76	8160.03	462	354	10109.76	7806.03	565.476	555.567	1.072964	0.9319484	0.1016022	0.031865
7	9045.83	7665.34	458	364	8587.83	7301.34	367.249	513.861	0.9744409	1.026176	-0.03735334	-0.097964
8	6607.63	5128.44	449	350	6158.63	4778.44	254.0317	338.055	1.067758	0.9364927	0.0945846	0.034627
9	9038.98	6822.74	447.5	356.5	8591.48	6466.24	432.316	372.492	1.100757	0.9084185	0.1384953	0.078202
10	4611.61	3966	435.5	355.5	4176.11	3610.5	224.0299	189.1512	0.95825	1.043514	-0.06152609	-0.081604
11	8024.93	6362.02	452	350.5	7572.93	6011.52	256.5788	353.465	1.043649	0.9581261	0.06163685	0.045244
12	7163.57	4803.32	453	348	6710.57	4455.32	250.5426	265.1512	1.24783	0.8013495	0.3194208	0.304154
13	10319.97	8419.68	465	361	9854.97	8058.68	398.813	383.403	1.013132	0.9869868	0.01882164	-0.005301
14	8114.27	6339.77	465	367	7649.27	5972.77	373.051	350.763	1.061009	0.9424495	0.0854371	0.07059
15	8735.36	6835.21	476	361	8259.36	6474.21	279.7813	349.194	1.056901	0.9461128	0.07984017	0.064279
16	6420.79	5350.75	467	354	5953.79	4996.75	209.7979	250.558	0.9871441	1.01297	-0.01866739	-0.033484
17	7768.06	6323.79	453.5	352.5	7314.56	5971.29	459.388	342.595	1.014834	0.9853309	0.02124406	0.006055
18	7582.74	6448.72	447.5	344.5	7135.24	6104.22	418.405	330.951	0.9683958	1.032582	-0.04633136	-0.000126
19	6018.75	5351.71	452	356	5566.75	4995.71	179.6566	256.7372	0.9231642	1.083174	-0.1153408	-0.107838
20	6352.77	5312.47	453.5	351.5	5899.27	4960.97	206.7764	278.603	0.9851597	1.015011	-0.02157042	-0.014107
!sample_table_end
