^SAMPLE = GSM498027
!Sample_title = MCF10AT
!Sample_geo_accession = GSM498027
!Sample_status = Public on Feb 15 2010
!Sample_submission_date = Jan 15 2010
!Sample_last_update_date = Jan 15 2010
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = cell line MCF10AT
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: MCF10AT
!Sample_characteristics_ch1 = cell type: premalignant breast cell line MCF10AT generated by HRAS transformation of MCF10A
!Sample_treatment_protocol_ch1 = None
!Sample_growth_protocol_ch1 = DMEM/F12 medium supplemented withÂ 5% horse serum, 10 Î¼g/ml insulin, 20 ng/ml EGF, 0.5 Î¼g/ml hydrocortisone, and 100 ng/ml cholera toxin
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was isolated using the Qiagen Blood and Cell Culture midi Kit.
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = As per manufacturer (Affymetrix)
!Sample_hyb_protocol = As per manufacturer (Affymetrix)
!Sample_scan_protocol = Arrays were washed and stained in the Genechip Fluidics Station 450 (Affymetrix) following the manufacturerâs instructions. Chips were scanned with the Affymetrix GeneChip Scanner 3000 using GeneChipOperating System 1.4
!Sample_description = Hybridized to 250K_Sty
!Sample_data_processing = *.CEL files were normalized using Affymetrix Power Tools version 1.85 gtype-probeset-genotype program. Copy number was determined using the Affymetrix Power Tools version 1.85 copynumber-pipeline program.
!Sample_platform_id = GPL3720
!Sample_contact_name = Robert,J,Clifford
!Sample_contact_email = clifforr@mail.nih.gov
!Sample_contact_phone = 301-435-1527
!Sample_contact_fax = 301-480-6641
!Sample_contact_laboratory = LPG
!Sample_contact_department = CCR
!Sample_contact_institute = NCI
!Sample_contact_address = 2115 E Jefferson
!Sample_contact_city = Rockville
!Sample_contact_state = MD
!Sample_contact_zip/postal_code = 20850
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM498nnn/GSM498027/suppl/GSM498027.CEL.gz
!Sample_series_id = GSE19920
!Sample_data_row_count = 238304
#ID_REF = 
#VALUE = CNAT Copy Number
!sample_table_begin
ID_REF	VALUE
SNP_A-1780358	2
SNP_A-1780551	2
SNP_A-1780357	2
SNP_A-1780550	2
SNP_A-1780352	2
SNP_A-1780351	2
SNP_A-1780350	2
SNP_A-1780748	2
SNP_A-1780747	3
SNP_A-1780746	2
SNP_A-1780745	2
SNP_A-1780743	2
SNP_A-1780549	2
SNP_A-1780547	2
SNP_A-1780541	2
SNP_A-1780346	2
SNP_A-1780345	2
SNP_A-1780342	2
SNP_A-1780341	2
SNP_A-1780340	2
!sample_table_end
