^SAMPLE = GSM1509923
!Sample_title = Clonal B-Cells from IgM Waldenstr̦m's Macroglobulinemia 112311_copy_number
!Sample_geo_accession = GSM1509923
!Sample_status = Public on May 06 2015
!Sample_submission_date = Sep 22 2014
!Sample_last_update_date = May 06 2015
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Bone marrow
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = tissue: Bone marrow
!Sample_characteristics_ch1 = cell type: Clonal B-Lymphocytes
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was digested with Nsp I and Sty I restriction enzymes, ligated to adapters with T4 DNA ligase and amplified. PCR products were concentrated and fragmented (DNAsal), and then end-labeled with deoxynucleotidil transferase
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Labelling and hybridizations were performed according to protocols from Affymetrix
!Sample_hyb_protocol = DNA was restriction digested, PCR amplified, fragmented, labeled and hybridized to each array according to the manufacturer's instructions.
!Sample_scan_protocol = The Arrays were then washed using Affymetrix fluidics stations, and scanned using the Gene Chip Scanner 3000.
!Sample_data_processing = ChAS console from Affymetrix was used to assess genome wide copy number frequencies. Log2 Ratio copy number values with associated chromosome positions are available on the series record.
!Sample_platform_id = GPL18637
!Sample_contact_name = Bruno,,Paiva
!Sample_contact_email = bpaiva@unav.es
!Sample_contact_institute = Clinica Universidad de Navarra
!Sample_contact_address = Av. Pio XII, 55
!Sample_contact_city = Pamplona
!Sample_contact_zip/postal_code = 31008
!Sample_contact_country = Spain
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1509nnn/GSM1509923/suppl/GSM1509923_WM_112311.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1509nnn/GSM1509923/suppl/GSM1509923_WM_112311.cychp.gz
!Sample_series_id = GSE61650
!Sample_series_id = GSE61651
!Sample_data_row_count = 750605
#ID_REF = 
#VALUE = LOG2 RATIO
#WEIGHTED LOG2 RATIO = 
#SMOOTH SIGNAL = 
!sample_table_begin
ID_REF	VALUE	WEIGHTED LOG2 RATIO	SMOOTH SIGNAL
C-7SARK	-0.244396	-0.053289	2.101154
C-4WYLN	-0.120598	0.006069	2.102479
C-7ONNE	0.074593	-0.085910	2.102436
C-6HYCN	0.130351	-0.026919	2.102131
C-7RZQQ	0.144172	-0.055377	2.102579
C-7SEBI	0.080248	0.002853	2.101626
C-7RXVK	-0.217307	-0.090130	2.101040
C-4LHKS	-0.182868	-0.033105	2.100796
C-7SEGS	0.246117	0.094760	2.100631
C-4LLXK	0.229519	0.150065	2.101526
C-5YZUW	-0.129553	0.060384	2.101534
C-7SBKQ	0.072508	0.113386	2.102035
C-4GLAA	0.116274	0.055087	2.101960
C-7QEGW	0.064094	0.105123	2.102551
C-4EDDJ	0.034963	0.026277	2.102503
C-7LAAJ	0.043804	0.072648	2.101873
C-6HOEB	-0.212140	0.178804	2.101414
C-6SCVY	0.212275	0.220787	2.100780
C-7SFRW	0.067490	0.158887	2.100754
C-7RYRT	0.686639	0.195759	2.099347
!sample_table_end
