^SAMPLE = GSM267426
!Sample_title = KATO III Cell Line(Hind)
!Sample_geo_accession = GSM267426
!Sample_status = Public on Dec 29 2008
!Sample_submission_date = Feb 22 2008
!Sample_last_update_date = Dec 29 2008
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = KATO III Cell Line(Hind)
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Gastric Cell Line (KATO III)
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Qiagen DNA extraction kit was used according to the manufacturer's instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = biotinylated dideoxy ATP is terminal deoxynucleotidyl transferased
!Sample_hyb_protocol = Following Affymetrix protocol
!Sample_scan_protocol = GeneChips were scanned using the Affymetrix GeneChip Scanner GCS3000
!Sample_description = KATO III Cell Line(Hind)
!Sample_description = SNP profiling for Gastric Cell Lines
!Sample_data_processing = The data were analyzed dChip software for normalization and expression estimation
!Sample_platform_id = GPL2004
!Sample_contact_name = Wu,,Yonghui
!Sample_contact_email = yonghui@omniarray.com
!Sample_contact_institute = National Cancer Center of Singapore
!Sample_contact_address = 11 Hospital Drive
!Sample_contact_city = Singapore
!Sample_contact_zip/postal_code = 169610
!Sample_contact_country = Singapore
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM267nnn/GSM267426/suppl/GSM267426.CEL.gz
!Sample_series_id = GSE10611
!Sample_data_row_count = 56859
#ID_REF = 
#VALUE = dChip generated Signal intensity
!sample_table_begin
ID_REF	VALUE
SNP_A-1718890	1.38278
SNP_A-1668776	1.38278
SNP_A-1723597	1.38278
SNP_A-1728870	1.38278
SNP_A-1669946	1.38278
SNP_A-1708099	1.61697
SNP_A-1716798	1.72761
SNP_A-1701872	1.61697
SNP_A-1697748	1.72761
SNP_A-1699138	1.72761
SNP_A-1750020	1.72761
SNP_A-1646481	1.61697
SNP_A-1701882	1.9132
SNP_A-1701982	1.9132
SNP_A-1749896	1.9132
SNP_A-1750090	1.9132
SNP_A-1714480	1.9132
SNP_A-1649717	1.61316
SNP_A-1703834	1.61316
SNP_A-1695724	1.61316
!sample_table_end
