^SAMPLE = GSM566762
!Sample_title = B4
!Sample_geo_accession = GSM566762
!Sample_status = Public on Aug 26 2011
!Sample_submission_date = Jul 15 2010
!Sample_last_update_date = Aug 26 2011
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Blood DNA from healthy donor
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = tissue: blood
!Sample_characteristics_ch1 = disease: healthy
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Blood DNA was isolated as described in Miller SA, Polesky HF. A simple salting out procedure for extracting DNA from human nucleated cells. Nucleic Acids Res 1988;16:1215 (PMID 3344216).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = According to Affymetrix SNP 6.0 standard protocol.
!Sample_hyb_protocol = According to Affymetrix SNP 6.0 standard protocol.
!Sample_scan_protocol = GeneChip GSC3000 7G Whole-Genome Association System. According to Affymetrix SNP 6.0 standard protocol.
!Sample_description = Same donor also donated S4 saliva DNA sample.
!Sample_data_processing = Genotyping was performed using the CRLMM algorithm in the Oligo package (Lin, 2008), copy number analysis using the aroma affymetrix package (Bengtsson, 2009), and we constructed LAIR plots to visualize regions of LOH and allelic imbalance (Corver, 2008) in R software (version 2.8). We have used CNCHP log ratio file as an input in Nexus (BioDiscovery, USA) software (version 4.1) and performed HMM based SNP-FASST segmentation for copy number analysis. Copy number inferred after correction with the 5 closest normals.
!Sample_platform_id = GPL6801
!Sample_contact_name = Twinkal,Chandubhai,Pansuriya
!Sample_contact_email = t.c.pansuriya@lumc.nl
!Sample_contact_phone = 0031715266528
!Sample_contact_department = Pathology
!Sample_contact_institute = LUMC
!Sample_contact_address = Albinusdreef 2
!Sample_contact_city = Leiden
!Sample_contact_state = Zuid-Holland
!Sample_contact_zip/postal_code = 2333ZA
!Sample_contact_country = Netherlands
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM566nnn/GSM566762/suppl/GSM566762.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM566nnn/GSM566762/suppl/GSM566762.CNCHP.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM566nnn/GSM566762/suppl/GSM566762.chp.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM566nnn/GSM566762/suppl/GSM566762.gqc.gz
!Sample_series_id = GSE22965
!Sample_series_id = GSE22984
!Sample_data_row_count = 909622
#ID_REF = ProbeSet name
#VALUE = Genotype call
#CONFIDENCE = 
#FORCED CALL = 
#SIGNAL A = 
#SIGNAL B = 
!sample_table_begin
ID_REF	VALUE	CONFIDENCE	FORCED CALL	SIGNAL A	SIGNAL B
SNP_A-2131660	AB	0.000893	AB	2431.587402	2678.276367
SNP_A-1967418	AB	0.004379	AB	563.835999	566.559204
SNP_A-1969580	BB	0.001786	BB	1115.051270	3408.153809
SNP_A-4263484	BB	0.001516	BB	509.348724	1821.317627
SNP_A-1978185	AA	0.002065	AA	1220.652344	339.827209
SNP_A-4264431	AA	0.009236	AA	1595.000488	173.734207
SNP_A-1980898	BB	0.005136	BB	287.889343	691.982056
SNP_A-1983139	AA	0.001632	AA	3128.051514	853.505066
SNP_A-4265735	AA	0.001248	AA	2104.753662	516.911499
SNP_A-1995832	AB	0.002483	AB	1460.794800	1082.115234
SNP_A-1995893	AB	0.003608	AB	1777.558105	1828.605347
SNP_A-1997689	BB	0.000765	BB	674.270203	3531.179932
SNP_A-1997709	AA	0.000835	AA	1766.857178	319.076172
SNP_A-1997896	AA	0.001552	AA	1551.181396	447.077332
SNP_A-1997922	AB	0.040970	AB	613.804626	479.303284
SNP_A-2000230	AA	0.005044	AA	2330.548096	797.691162
SNP_A-2000332	AB	0.003551	AB	2237.995117	2316.834961
SNP_A-2000337	AA	0.002478	AA	1277.167603	274.800812
SNP_A-2000342	AA	0.002385	AA	3433.030273	877.758240
SNP_A-4268173	AA	0.002705	AA	1638.834717	306.361847
!sample_table_end
