^SAMPLE = GSM567029
!Sample_title = 294
!Sample_geo_accession = GSM567029
!Sample_status = Public on Aug 26 2011
!Sample_submission_date = Jul 16 2010
!Sample_last_update_date = Aug 26 2011
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Blood DNA from healthy donor
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = tissue: blood
!Sample_characteristics_ch1 = disease: healthy
!Sample_characteristics_ch1 = sample type: control
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Blood DNA was isolated as described in Miller SA, Polesky HF. A simple salting out procedure for extracting DNA from human nucleated cells. Nucleic Acids Res 1988;16:1215 (PMID 3344216).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = According to Affymetrix SNP 6.0 standard protocol.
!Sample_hyb_protocol = According to Affymetrix SNP 6.0 standard protocol.
!Sample_scan_protocol = GeneChip GSC3000 7G Whole-Genome Association System. According to Affymetrix SNP 6.0 standard protocol.
!Sample_description = According to Affymetrix SNP 6.0 standard protocol.
!Sample_data_processing = Genotyping was performed using the CRLMM algorithm in the Oligo package (Lin, 2008), copy number analysis using the aroma affymetrix package (Bengtsson, 2009), and we constructed LAIR plots to visualize regions of LOH and allelic imbalance (Corver, 2008) in R software (version 2.8). We have used CNCHP log ratio file as an input in Nexus (BioDiscovery, USA) software (version 4.1) and performed HMM based SNP-FASST segmentation for copy number analysis. Copy number inferred after correction with the 5 closest normals.
!Sample_platform_id = GPL6801
!Sample_contact_name = Twinkal,Chandubhai,Pansuriya
!Sample_contact_email = t.c.pansuriya@lumc.nl
!Sample_contact_phone = 0031715266528
!Sample_contact_department = Pathology
!Sample_contact_institute = LUMC
!Sample_contact_address = Albinusdreef 2
!Sample_contact_city = Leiden
!Sample_contact_state = Zuid-Holland
!Sample_contact_zip/postal_code = 2333ZA
!Sample_contact_country = Netherlands
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM567nnn/GSM567029/suppl/GSM567029.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM567nnn/GSM567029/suppl/GSM567029.CNCHP.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM567nnn/GSM567029/suppl/GSM567029.chp.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM567nnn/GSM567029/suppl/GSM567029.gqc.gz
!Sample_series_id = GSE22965
!Sample_series_id = GSE22984
!Sample_data_row_count = 909622
#ID_REF = ProbeSet name
#VALUE = Genotype call
#CONFIDENCE = 
#FORCED CALL = 
#SIGNAL A = 
#SIGNAL B = 
!sample_table_begin
ID_REF	VALUE	CONFIDENCE	FORCED CALL	SIGNAL A	SIGNAL B
SNP_A-2131660	BB	0.001820	BB	942.986267	4648.582031
SNP_A-1967418	BB	0.001978	BB	267.505737	632.455688
SNP_A-1969580	BB	0.003093	BB	950.674072	3240.171875
SNP_A-4263484	BB	0.002480	BB	507.580170	1741.934692
SNP_A-1978185	AA	0.001676	AA	1542.801270	415.084106
SNP_A-4264431	AB	0.004568	AB	1062.083252	991.007751
SNP_A-1980898	BB	0.001676	BB	227.088654	753.888184
SNP_A-1983139	AA	0.006819	AA	3223.621094	719.275696
SNP_A-4265735	AB	0.000899	AB	1356.540527	1399.657715
SNP_A-1995832	AB	0.002525	AB	1369.583496	1058.987061
SNP_A-1995893	AB	0.005615	AB	1366.695435	1716.872192
SNP_A-1997689	BB	0.002806	BB	863.531494	3748.799316
SNP_A-1997709	AA	0.003719	AA	1602.054321	257.686951
SNP_A-1997896	AB	0.000872	AB	1120.406006	1581.255981
SNP_A-1997922	AA	0.036339	AA	828.901489	234.503220
SNP_A-2000230	AA	0.004060	AA	2499.469971	1138.026855
SNP_A-2000332	AB	0.008691	AB	2034.307373	2624.728027
SNP_A-2000337	AA	0.008182	AA	1519.009888	366.232025
SNP_A-2000342	AA	0.001968	AA	3088.943359	984.171875
SNP_A-4268173	AB	0.000666	AB	939.934937	827.331604
!sample_table_end
