^SAMPLE = GSM185193
!Sample_title = Buttock, NOS, Melanoma, NOS (13173750)
!Sample_geo_accession = GSM185193
!Sample_status = Public on May 08 2007
!Sample_submission_date = Apr 27 2007
!Sample_last_update_date = May 07 2007
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = TB1099DF1X10
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Cell Line WM 3208
!Sample_characteristics_ch1 = TB1099DF1X10
!Sample_growth_protocol_ch1 = "Buttock, NOS"; Melanoma, NOS
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was isolated from frozen tumors or cultured cells by overnight digestion, phenol-chloroform extraction and ethanol precipitation.
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = One Âµg of tumor and reference DNA were labeled with Cy3 or Cy5, respectively (Amersham, Piscataway, NJ) using the BioPrime random-primed labeling kit (Invitrogen, Carlsbad, CA).  Labeled tumor and reference DNA were combined and precipitated with human Cot-1 DNA to reduce non-specific binding.
!Sample_source_name_ch2 = pooled reference
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = pooled reference
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = Genomic DNA was isolated from frozen tumors or cultured cells by overnight digestion, phenol-chloroform extraction and ethanol precipitation.
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = One Âµg of tumor and reference DNA were labeled with Cy3 or Cy5, respectively (Amersham, Piscataway, NJ) using the BioPrime random-primed labeling kit (Invitrogen, Carlsbad, CA).  Labeled tumor and reference DNA were combined and precipitated with human Cot-1 DNA to reduce non-specific binding.
!Sample_hyb_protocol = DNA was resuspended and hybridized to the array for 72h at 37oC on a rotating platform. Additional details are found in: Greshock, J, Naylor, TL, Margolin, A, et al. 1-Mb resolution array-based comparative genomic hybridization using a BAC clone set optimized for cancer gene analysis. Genome Res 2004; 14: 179-87
!Sample_scan_protocol = Images were scanned with an Axon 4500 microarray scanner (Axon, Union City, CA) and analyzed with GenePix 3.0 software (Axon).
!Sample_description = "Buttock, NOS"; Melanoma, NOS; University of Pennsylvania; 4/8/2005
!Sample_data_processing = All spots were subjected to a pin-tip normalization.
!Sample_platform_id = GPL4894
!Sample_contact_name = Joel,,Greshock
!Sample_contact_department = Translational Medicine, Oncology
!Sample_contact_institute = GlaxoSmithKline
!Sample_contact_address = 2301 Renaissance Blvd.
!Sample_contact_city = King of Prussia
!Sample_contact_state = PA
!Sample_contact_zip/postal_code = 19406
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM185nnn/GSM185193/suppl/GSM185193.gpr.gz
!Sample_series_id = GSE7692
!Sample_data_row_count = 3830
#ID_REF = 
#SLIDE = Slide/Exeriment Identifier
#Dia = Spot Diameter in Pixels
#F635_Median = Median foreground measurement of Cy5 channel
#F635_Mean = Mean foreground measurement of Cy5 channel
#F635_SD = Standard Deviation of foreground measurement of Cy5 channel
#B635_Median = Median background of Cy5 channel
#B635_Mean = Mean background of Cy5 channel
#B635_SD = Standard deviation of background of Cy5 channel
#PCT_GT_B635_1SD = Percent of pixels > 1 standard deviation above background for Cy5 channel
#PCT_GT_B635_2SD = Percent of pixels > 2 standard deviation above background for Cy5 channel
#F635_PCT_Sat = Percent of pixels that are saturated for Cy5 channel
#F532_Median = Median foreground measurement of Cy3 channel
#F532_Mean = Mean foreground measurement of Cy3 channel
#F532_SD = Standard Deviation of foreground measurement of Cy3 channel
#B532_Median = Median background of Cy3 channel
#B532_Mean = Mean background of Cy3 channel
#B532_SD = Standard deviation of background of Cy3 channel
#PCT_GT_B532_1SD = Percent of pixels > 1 standard deviation above background for Cy5 channel
#PCT_GT_B532_2SD = Percent of pixels > 2 standard deviation above background for Cy5 channel
#F532_PCT_Sat = Percent of pixels that are saturated for Cy3 channel
#Ratio_of_Medians_532_635 = Ratio of median pixel values (Cy3/Cy5)
#Ratio_of_Means_532_635 = Ratio of mean pixel values (Cy3/Cy5)
#Median_of_Ratios_532_635 = Median of all individual pixel ratios (Cy3/Cy5)
#Mean_of_Ratios_532_635 = Mean of all individual pixel ratios (Cy3/Cy5)
#Ratios_SD_532_635 = Standard deviation of all individual pixel ratios (Cy3/Cy5)
#Rgn_Ratio_532_635 = Red to green ratio
#Rgn_R2_532_635 = Red to green correlation
#F_Pixels = The number of pixels analyzed as foreground (both Cy3 and Cy5 uses same exact pixels)
#B_Pixels = The number of pixels analyzed as background (same for Cy3 and Cy5)
#Sum_of_Medians = Sum of Pixel intensity medians
#Sum_of_Means = Sum of Pixel intensity means
#Log_Ratio_532_635 = Log base 2 of the Cy3/Cy5 ratio
#F635_Median_B635 = Median Foreground intensity minus Background intensity, Cy5 channel
#F532_Median_B532 = Median Foreground intensity minus Background intensity, Cy3 channel
#F635_Mean_B635 = Mean Foreground intensity minus Background intensity, Cy5 channel
#F532_Mean_B532 = Mean Foreground intensity minus Background intensity, Cy3 channel
#Ratio_Median = Median Cy3/Cy5 ratio (using the Background corrected ratio of medians) for that specific print tip
#Cy3_corrected = Adjusted background corrected intensity (by print tip)= F532_Median_B532 / Ratio_Median_Tip
#VALUE = log(GREENsignal/REDsignal) per feature (processed signals used).
#A = mean log intensity
#Sig_var_mean_Cy3 = Signal variation from mean intsity for Cy3 channel
#Sig_var_mean_Cy5 = Signal variation from mean intsity for Cy5 channel
#Mean_med_corr_Cy3 = Mean-Median correlation for Cy3 channel
#Mean_med_corr_Cy5 = Mean-Median correlation for Cy5 channel
!sample_table_begin
ID_REF	SLIDE	Dia	F635_Median	F635_Mean	F635_SD	B635_Median	B635_Mean	B635_SD	PCT_GT_B635_1SD	PCT_GT_B635_2SD	F635_PCT_Sat	F532_Median	F532_Mean	F532_SD	B532_Median	B532_Mean	B532_SD	PCT_GT_B532_1SD	PCT_GT_B532_2SD	F532_PCT_Sat	Ratio_of_Medians_532_635	Ratio_of_Means_532_635	Median_of_Ratios_532_635	Mean_of_Ratios_532_635	Ratios_SD_532_635	Rgn_Ratio_532_635	Rgn_R2_532_635	F_Pixels	B_Pixels	Sum_of_Medians	Sum_of_Means	Log_Ratio_532_635	F635_Median_B635	F532_Median_B532	F635_Mean_B635	F532_Mean_B532	Ratio_Median	Cy3_corrected	VALUE	A	Sig_var_mean_Cy3	Sig_var_mean_Cy5	Mean_med_corr_Cy3	Mean_med_corr_Cy5
RP11-458D3	13173750	170	2582	2205.5	1176	146.5	250.5	373	81	78	0	2366.5	2076	1092.5	167.5	258.5	337.5	82	78	0	0.903	0.927	0.9275	0.912	1.862	0.9195	0.9085	208	516	4634.5	3967.5	-0.1475	2435.5	2199	2059	1908.5	0.921	2387.62214983714	0.980328521903462	11.1762450129301	0.472507348741311	0.466571706757881	0.867679082620422	0.845405767092956
RP11-67E18	13173750	170	200	217	123.5	145.5	218	270.5	16.5	4.5	0	207	225.5	108.5	164.5	228	248	16	6	0	0.805	0.864	0.775	0.7955	4.043	0.7345	0.4395	208	516	97	132.5	-0.323	54.5	42.5	71.5	61	1.01	42.079207920792	0.797101449275363	5.55377184930576	0.518928964757709	0.429990639891082	0.692640692640693	0.748995983935743
RP11-291C17	13173750	170	1465.5	1378.5	704	138	164.5	152	86	82	0	1705.5	1577.5	823	148.5	172.5	155	85	83	0	1.1705	1.1485	1.131	1.118	1.6045	1.1805	0.8805	208	818	2884.5	2669.5	0.2265	1327.5	1557	1240.5	1429	1.0385	1499.27780452576	1.12708581814061	10.4824545821655	0.472493733058879	0.483981422964784	0.915430345117845	0.933055616855311
RP11-506N24	13173750	170	1259	1084.5	591	145	169.5	144.5	79.5	76.5	0	1449	1265	675.5	151	169	128.5	82	78	0	1.169	1.19	1.173	1.171	1.9525	1.179	0.863	208	472	2412	2053.5	0.2245	1114	1298	939.5	1114	0.986	1316.43002028398	1.1854645823285	10.226150816423	0.465120979492993	0.452589929906942	0.8590100557526	0.843973941368078
RP11-262N9	13173750	170	2248	2017	1328	145	170.5	134	80.5	78.5	0	1702.5	1502	986	165.5	183.5	119.5	79.5	75.5	0	0.7335	0.714	0.7275	0.7555	2.1805	0.7235	0.9095	208	516	3640	3208.5	-0.449	2103	1537	1872	1336.5	1.01	1521.78217821782	0.72594818713879	10.809684729724	0.343454881450581	0.341744817374137	0.870819858574354	0.894967439449199
RP11-498J1	13173750	170	1344	1278	591	122.5	135	75	92	88.5	0	1223	1154	524	143.5	153	69	91.5	89	0	0.8815	0.872	0.853	0.8505	1.5875	0.877	0.8585	208	516	2301	2166	-0.1865	1221.5	1079.5	1155.5	1010.5	1.0285	1049.58677685951	0.856988355277948	10.1604625767437	0.545055496710872	0.537659123055163	0.93705169385674	0.945315635128878
RP11-335F1	13173750	170	828.5	799	376	145.5	178	160.5	84	77.5	0	1031.5	941	441	155.5	193.5	178.5	83.5	78.5	0	1.2835	1.202	1.2155	1.1725	1.7215	1.238	0.771	208	516	1559	1439	0.3605	683	876	653.5	785.5	1.01	867.326732673268	1.27094006942251	9.59306791209487	0.530139238200617	0.528454493372364	0.896204604943496	0.956599063962559
RP11-260B11	13173750	170	795	742.5	374.5	139	161.5	121.5	82.5	76.5	0	822.5	764	374	155	164.5	73.5	84	80.5	0	1.0205	1.01	0.994	0.9945	2.1275	1.018	0.757	208	516	1323.5	1212.5	0.029	656	667.5	603.5	609	0.969	688.854489164087	1.0529126210586	9.35426748959574	0.505549991581718	0.491785026037835	0.912866132723112	0.921994513397407
RP11-367E10	13173750	170	642	655	336.5	133.5	154	115	85.5	74	0	986.5	969.5	475.5	146.5	164.5	101.5	87.5	85	0	1.6695	1.5925	1.5965	1.569	2.0165	1.5945	0.7615	208	427	1348.5	1344.5	0.738	508.5	840	521.5	823	1.01	831.68316831683	1.65263342092503	9.31443051432947	0.502876573603617	0.476665661742539	0.977016515043842	0.969766686515455
CTD-2341I10	13173750	170	1275	1190	627.5	142	227	314	81.5	71.5	0	1387	1309	676.5	154.5	237	309	82.5	70.5	0	1.084	1.0955	1.104	1.0615	1.8315	1.1335	0.8595	208	494	2365.5	2202.5	0.1105	1133	1232.5	1048	1154.5	1.045	1179.42583732057	1.03742168479701	10.2001937191471	0.470684157491313	0.46440468789147	0.931974234565836	0.922051894152156
RP11-490K2	13173750	170	890	1047.5	784	130	141.5	80.5	79	75	0	969	1205	923.5	155	161.5	72	81.5	75.5	0	1.071	1.1445	1.134	1.147	1.9815	1.171	0.8715	208	516	1574	1967.5	0.099	760	814	917.5	1050	0.951	855.941114616194	1.1262461081938	9.61936779854923	0.233785855801533	0.2519736770068	0.775677821894498	0.829070124162598
RP11-491P10	13173750	170	1846	1606	904	146.5	179.5	177	79	77.5	0	1937	1699.5	970	157	181	144.5	80	77	0	1.0505	1.062	1.0705	1.0065	1.8935	1.0615	0.887	208	516	3479.5	3002	0.0695	1699.5	1780	1459.5	1542.5	1.01	1762.37623762376	1.0400361713544	10.7621404072538	0.424365517039743	0.430356266454255	0.865190575788218	0.85563647878404
RP11-43H17	13173750	170	1629	1480.5	702.5	139	214	261.5	85	81	0	2414.5	2147	1011	153	232.5	305.5	84.5	84	0	1.5205	1.4875	1.455	1.466	1.653	1.507	0.878	208	516	3751.5	3335.5	0.6045	1490	2261.5	1341.5	1994	1.045	2164.11483253588	1.45511821810778	10.8386809832811	0.516134442868164	0.513878424308844	0.878056853353418	0.896203204096137
RP11-492D3	13173750	170	1676.5	1488	738.5	141.5	171	160.5	88	84	0	1694.5	1571.5	839	154.5	178.5	181.5	86	82	0	1.0035	1.0525	1.023	0.985	1.634	1.114	0.8635	208	516	3075	2763.5	0.0045	1535	1540	1346.5	1417	1.01	1524.75247524753	0.993407549281484	10.5861816852694	0.46611212703822	0.503743493038539	0.92042499047934	0.877318302602357
RP11-97J12	13173750	170	1448	1351.5	848.5	141.5	178.5	154.5	80	75	0	1499.5	1439	936	159	194	176.5	76.5	74	0	1.0185	1.057	1.0245	0.991	1.9545	1.0995	0.885	208	516	2647	2490	0.0225	1306.5	1340.5	1210	1280	1.01	1327.22772277228	1.00822285558725	10.3544830210568	0.340918780955051	0.364535784557552	0.927786175621822	0.92789078639061
RP11-541N19	13173750	170	868	821.5	425.5	143	176	153	83.5	75.5	0	1177	1120.5	595.5	150.5	191.5	185	83	79	0	1.419	1.4335	1.451	1.335	2.002	1.471	0.794	208	516	1751.5	1648.5	0.5035	725	1026.5	678.5	970	1.01	1016.33663366337	1.40483043082376	9.75139205026614	0.467702687843908	0.480692847233157	0.944873932187878	0.935382407280168
