^SAMPLE = GSM756200
!Sample_title = Chinese_sample_132
!Sample_geo_accession = GSM756200
!Sample_status = Public on Dec 31 2011
!Sample_submission_date = Jul 07 2011
!Sample_last_update_date = Dec 31 2011
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = blood
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = tissue: blood
!Sample_characteristics_ch1 = population: Chinese
!Sample_characteristics_ch1 = gender: male
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was extracted from mononuclear cell preparations of leukemic blasts obtained from peripheral blood using the Qiagen DNA Blood Mini Kit. DNA quality and quantity was assessed using a Nanodrop Spectrophotometer and agarose gel electrophoresis.
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = As per manufacturer (Affymetrix)
!Sample_hyb_protocol = DNA was restriction digested, PCR amplified, fragmented, labeled and hybridized to each array according to the manufacturer's instructions.
!Sample_scan_protocol = The Arrays were then washed using Affymetrix fluidics stations, and scanned using the Gene Chip Scanner 3000.
!Sample_data_processing = Data genotyped by Birdsuite provided as Series supplementary file; CHP data in tables was processed by Affymetrix Power Tools 1.10.2
!Sample_platform_id = GPL6801
!Sample_contact_name = Haiyi,,Lou
!Sample_contact_institute = CAS-MPG PICB
!Sample_contact_address = 320 Yueyang Road
!Sample_contact_city = Shanghai
!Sample_contact_zip/postal_code = 200031
!Sample_contact_country = China
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM756nnn/GSM756200/suppl/GSM756200_sample132.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM756nnn/GSM756200/suppl/GSM756200_sample132.CN5.CNCHP.gz
!Sample_series_id = GSE30481
!Sample_data_row_count = 1813441
#ID_REF = 
#VALUE = CN STATE
#CHROMOSOME = 
#POSITION = 
#LOG2 RATIO = 
#SMOOTH SIGNAL = 
#LOH = 
#ALLELE DIFFERENCE = 
!sample_table_begin
ID_REF	VALUE	CHROMOSOME	POSITION	LOG2 RATIO	SMOOTH SIGNAL	LOH	ALLELE DIFFERENCE
CN_473963	0.000000	1	51586	-2.006226	0.520172	nan	nan
CN_473964	1.000000	1	51659	-0.823219	0.520215	nan	nan
CN_473965	1.000000	1	51674	-1.279791	0.520224	nan	nan
CN_473981	1.000000	1	52771	-1.328362	0.520880	nan	nan
CN_473982	1.000000	1	52788	-0.866985	0.520890	nan	nan
CN_497981	1.000000	1	62627	-0.454326	0.526950	nan	nan
CN_502615	1.000000	1	75787	-0.470182	0.535589	nan	nan
CN_502613	1.000000	1	75849	-0.073611	0.535631	nan	nan
CN_502614	0.000000	1	76175	-2.065979	0.535853	nan	nan
CN_502616	0.000000	1	76192	-2.318523	0.535865	nan	nan
CN_502843	2.000000	1	88453	0.007532	0.544504	nan	nan
CN_466171	2.000000	1	218557	0.489243	1.800177	nan	nan
CN_468414	2.000000	1	218926	-0.134100	1.799981	nan	nan
CN_468412	2.000000	1	219009	-0.279300	1.799937	nan	nan
CN_468413	2.000000	1	219024	0.868500	1.799929	nan	nan
CN_470565	2.000000	1	219470	-0.824770	1.799693	nan	nan
CN_468424	2.000000	1	225521	-0.301973	1.796473	nan	nan
CN_468425	2.000000	1	225579	-0.413875	1.796442	nan	nan
CN_460512	2.000000	1	346294	0.634291	3.549941	nan	nan
CN_460513	2.000000	1	346393	0.285919	3.549940	nan	nan
!sample_table_end
