^SAMPLE = GSM2368470
!Sample_title = Malignant glioma clone U3065MG-C94
!Sample_geo_accession = GSM2368470
!Sample_status = Public on Dec 13 2016
!Sample_submission_date = Nov 01 2016
!Sample_last_update_date = Dec 13 2016
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Malignant glioma clone U3065MG-C94
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: Malignant glioma clone
!Sample_characteristics_ch1 = cell line: U3065MG-C94
!Sample_growth_protocol_ch1 = adherent cultures on laminin-coated dishes using neural stem cell media
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Dneasy blood and tissue kit (Qiagen)
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = 250 ng total genomic DNA was digested with the restriction enzyme Nsp I, then ligated to an Nsp I adaptor and further subjected to PCR amplification using a single primer. After fragmentation, the PCR products were labeled with a biotinylated nucleotide analogue using terminal deoxynucleotidyl transferase (TdT)
!Sample_hyb_protocol = standard protocols for Affymetrix Cytoscanâ¢ HD arrays (AffymetrixÂ® Cytoscan User Guide (P/N 703038 Rev4.) Hybridized probes were captured by streptavidin-phycoerythrin conjugates using the GeneChipÂ® Fluidics Station 450.
!Sample_scan_protocol = The arrays were scanned using the GeneChipÂ® Scanner 3000 7G
!Sample_data_processing = AffymetrixÂ® Chromosome Analysis Suite (ChAS) 2.0. Affymetrix-algorithm-name = CYTO2. Affymetrix-algorithm-version = 1.16.0. program-name = apt-copynumber-cyto.exe
!Sample_data_processing = Affymetrix CytoScan HD array of 30 clonal malignant glioma cultures and 6 bulk cultures representing the parental material used to derive clones.
!Sample_platform_id = GPL16131
!Sample_contact_name = Bo,,Segerman
!Sample_contact_email = bo.segerman@igp.uu.se
!Sample_contact_institute = Uppsala University
!Sample_contact_address = Dag Hammarskjolds v 20
!Sample_contact_city = Uppsala
!Sample_contact_zip/postal_code = 751 85
!Sample_contact_country = Sweden
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2368nnn/GSM2368470/suppl/GSM2368470_PA228_3065-94_140611_CytoScanHD_Array_.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2368nnn/GSM2368470/suppl/GSM2368470_PA228_3065-94_140611_CytoScanHD_Array_.cyhd.cychp.gz
!Sample_series_id = GSE89398
!Sample_series_id = GSE89401
!Sample_data_row_count = 2749693
#ID_REF = 
#VALUE = LOG2 RATIO
#WEIGHTED LOG2 RATIO = 
#SMOOTH SIGNAL = 
!sample_table_begin
ID_REF	VALUE	WEIGHTED LOG2 RATIO	SMOOTH SIGNAL
C-7SARK	-0.091535	0.028597	1.722231
C-4WYLN	0.006166	0.013327	1.722397
C-3BFNY	0.030198	-0.010149	1.723248
C-7ONNE	0.061638	-0.025307	1.723642
C-6HYCN	0.119595	0.000166	1.724184
C-7SCGC	-0.043539	-0.014760	1.724340
C-7RZQQ	-0.155599	-0.047720	1.724619
C-7RZWZ	-0.045044	-0.062273	1.724668
C-7SEBI	-0.012178	-0.107807	1.725608
C-7RZIL	-0.218782	-0.121834	1.724737
C-4NQTX	-0.227744	-0.172266	1.723883
C-7SDKW	-0.128792	-0.185589	1.724208
S-3WRNV	nan	nan	nan
C-7RXVK	-0.203796	-0.220581	1.724267
C-4LHKS	-0.392207	-0.233026	1.724007
C-7RWHE	-0.340058	-0.306722	1.723861
C-7SBEJ	-0.142379	-0.318113	1.724305
C-7RYJO	-0.188163	-0.272434	1.724590
C-7SEGS	-0.379148	-0.282624	1.724539
C-4LLXK	-0.367374	-0.381861	1.724682
!sample_table_end
