^SAMPLE = GSM73775
!Sample_title = BC-39 vs NF (svi119)
!Sample_geo_accession = GSM73775
!Sample_status = Public on Sep 10 2005
!Sample_submission_date = Sep 09 2005
!Sample_last_update_date = Sep 22 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = NF
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = NF
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy3
!Sample_source_name_ch2 = BC-39
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = BC-39
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy5
!Sample_description = Simple annotation: Breast, aCGH tumor tissue
!Sample_description = Image: http://smd.stanford.edu/MicroArray/gifs/2000-03/3414.gif
!Sample_data_processing = VALUE is Log (base 2) of the ratio of the mean of Channel 2 (usually 635 nm) to Channel 1 (usually 532 nm)
!Sample_platform_id = GPL2830
!Sample_contact_name = ,,Stanford Microarray Database
!Sample_contact_email = array@genome.stanford.edu
!Sample_contact_phone = 650-498-6012
!Sample_contact_department = Stanford University, School of Medicine
!Sample_contact_institute = Stanford Microarray Database (SMD)
!Sample_contact_address = 300 Pasteur Drive
!Sample_contact_city = Stanford
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94305
!Sample_contact_country = USA
!Sample_contact_web_link = http://genome-www5.stanford.edu/
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3281
!Sample_data_row_count = 9216
#ID_REF = ID_REF
#CH1I_MEAN = Uncorrected Cy3 mean pixel intensity.; Type: integer; Scale: linear_scale; Channel: Cy3 Channel
#CH2I_MEAN = Uncorrected Cy3 mean pixel intensity.; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH1B_MEDIAN = Median intensities of background pixels of Cy3.; Type: integer; Scale: linear_scale; Channel: Cy3 Channel
#CH2B_MEDIAN = Median intensities of background pixels of Cy3.; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH1D_MEAN = The mean feature pixel intensity with the median background subtracted (channel 1).; Type: integer; Scale: linear_scale; Channel: Cy3 Channel
#CH2D_MEAN = The mean feature pixel intensity with the median background subtracted (channel 2).; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH1B_MEAN = Mean intensities of background pixels of Cy3.; Type: integer; Scale: linear_scale; Background
#CH2B_MEAN = Mean intensities of background pixels of Cy5.; Type: integer; Scale: linear_scale; Background
#PERGTBCH1I_1SD = The percentage of feature pixels with intensities more than one standard deviation above the background pixel intensity, at wavelength 532 nm.; Type: integer; Scale: linear_scale
#PERGTBCH2I_1SD = The percentage of feature pixels with intensities more than one standard deviation above the background pixel intensity, at wavelength 635 nm.; Type: integer; Scale: linear_scale
#PIX_RAT2_MEDIAN = Contains median of Ch2PI-CH2B/Ch1PI-CH1B where Ch1PI & Ch2PI represent single pixel intensities.; Type: float; Scale: linear_scale
#TOT_SPIX = Count of the number of pixels in the spot.; Type: integer; Scale: linear_scale
#TOT_BPIX = Number of background pixels.; Type: integer; Scale: linear_scale
#REGR = The regression ratio of every pixel in a 2-feature-diameter circle around the center of the feature.; Type: float; Scale: linear_scale
#CORR = The correlation between channel1 (Cy3) & Channel 2 (Cy5) pixels within the spot, and is a useful quality control parameter. Generally, high values imply better fit & good spot quality.; Type: float; Scale: linear_scale
#TOP = Box top: int(((centerX - radius) - Xoffset) / pixelSize).; Type: integer; Scale: linear_scale
#BOT = Box bottom: int(((centerX + radius) - Xoffset) / pixelSize).; Type: integer; Scale: linear_scale
#LEFT = Box left: int(((centerY - radius) - yoffset) / pixelSize).; Type: integer; Scale: linear_scale
#RIGHT = Box right: int(((centerY + radius) - yoffset) / pixelSize); Type: integer; Scale: linear_scale
#FLAG = User defined spot flag (default 0).; Type: integer; Scale: linear_scale
#CH2IN_MEAN = Normalized value of mean Channel 2 (usually 635 nm) intensity (CH2I_MEAN/Normalization factor).; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH2BN_MEDIAN = Normalized value of median Channel 2 (usually 635 nm) background (CH2B_MEDIAN/Normalization factor).; Type: integer; Scale: linear_scale; Channel: Cy5 channel; Background
#CH2DN_MEAN = Normalized value of mean Channel 2 (usually 635 nm) intensity with normalized background subtracted (CH2IN_MEAN - CH2BN_MEDIAN).; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#RAT2N_MEAN = Type: float; Scale: linear_scale
#RAT1N_MEAN = Ratio of the means of Channel 1 (usually 532 nm) intensity to normalized Channel 2 (usually 635 nm) intensity with median background subtracted (CH1D_MEAN/CH2DN_MEAN). Channel 1/Channel 2 ratio normalized or Green/Red ratio normalized.; Type: float; Scale: linear_scale
#VALUE = same as UNF_VALUE but with flagged values removed
#UNF_VALUE = Log (base 2) of the ratio of the mean of Channel 2 (usually 635 nm) to Channel 1 (usually 532 nm) [log (base 2) (RAT2N_MEAN)].; Type: float; Scale: log_base_2
!sample_table_begin
ID_REF	CH1I_MEAN	CH2I_MEAN	CH1B_MEDIAN	CH2B_MEDIAN	CH1D_MEAN	CH2D_MEAN	CH1B_MEAN	CH2B_MEAN	PERGTBCH1I_1SD	PERGTBCH2I_1SD	PIX_RAT2_MEDIAN	TOT_SPIX	TOT_BPIX	REGR	CORR	TOP	BOT	LEFT	RIGHT	FLAG	CH2IN_MEAN	CH2BN_MEDIAN	CH2DN_MEAN	RAT2N_MEAN	RAT1N_MEAN	VALUE	UNF_VALUE
1	178	240	29	29	149	211	30	31	88	94	1.417	208	1128	1.233	.905	74	90	97	113	0	217	26	191	1.28	.781	.357	.357
2	148	217	30	30	118	187	32	33	56	61	1.556	208	847	1.411	.935	75	91	116	132	0	196	27	169	1.433	.698	.519	.519
3	137	153	29	30	108	123	30	31	92	94	1.153	208	784	.945	.85	75	91	134	150	0	138	27	111	1.03	.971	.042	.042
4	100	117	29	29	71	88	30	30	62	64	1.24	208	843	1.094	.901	73	89	151	167	0	106	26	80	1.121	.892	.164	.164
5	123	148	29	29	94	119	30	30	85	83	1.241	208	891	1.158	.915	74	90	168	184	0	134	26	108	1.145	.874	.195	.195
6	116	155	28	29	88	126	29	30	66	73	1.375	177	901	1.224	.915	75	90	188	203	0	140	26	114	1.295	.772	.373	.373
7	114	167	27	28	87	139	28	28	58	61	1.575	208	871	1.446	.938	74	90	204	220	0	151	25	126	1.445	.692	.531	.531
8	104	156	27	28	77	128	28	29	48	53	1.674	208	870	1.507	.965	75	91	222	238	0	141	25	116	1.503	.665	.588	.588
9	170	257	28	29	142	228	29	32	75	82	1.585	156	909	1.365	.936	76	90	238	252	0	232	26	206	1.452	.689	.538	.538
10	210	317	27	28	183	289	30	33	72	74	1.556	156	998	1.456	.953	76	90	255	269	0	287	25	261	1.428	.7	.514	.514
11	1818	6491	27	27	1791	6464	30	38	91	92	2.262	156	1005	0	0	75	89	274	288	-100	5869	24	5845	3.263	.306		1.706
12	114	135	27	27	87	108	28	36	70	72	1.248	177	952	1.046	.893	75	90	291	306	0	122	24	98	1.122	.891	.167	.167
13	113	145	27	28	86	117	27	29	71	71	1.328	156	933	1.201	.915	77	91	309	323	0	131	25	106	1.23	.813	.299	.299
14	90	109	27	30	63	79	27	30	72	71	1.198	156	984	1.097	.887	76	90	328	342	0	99	27	71	1.134	.882	.181	.181
15	163	229	28	31	135	198	28	31	62	72	1.433	156	957	1.345	.954	76	90	345	359	0	207	28	179	1.326	.754	.407	.407
16	84	88	28	31	56	57	28	32	69	70	1.009	156	972	.83	.861	76	90	362	376	0	80	28	52	.92	1.087	-.12	-.12
17	93	93	28	31	65	62	29	32	75	75	.931	156	942	.746	.826	77	91	381	395	0	84	28	56	.862	1.159	-.213	-.213
18	102	130	28	31	74	99	29	32	67	76	1.343	156	942	1.013	.884	77	91	398	412	0	118	28	90	1.21	.827	.275	.275
19	82	101	27	30	55	71	28	31	64	62	1.314	156	1029	1.08	.896	75	89	417	431	0	91	27	64	1.167	.857	.223	.223
20	112	162	27	30	85	132	27	31	61	66	1.511	156	991	1.295	.909	76	90	433	447	0	146	27	119	1.404	.712	.49	.49
!sample_table_end
