^SAMPLE = GSM186499
!Sample_title = Axillary lymph node, Melanoma, NOS (12709658)
!Sample_geo_accession = GSM186499
!Sample_status = Public on May 08 2007
!Sample_submission_date = May 02 2007
!Sample_last_update_date = May 07 2007
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = TB1114DF1X10
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Cell Line WM 9
!Sample_characteristics_ch1 = TB1114DF1X10
!Sample_growth_protocol_ch1 = Axillary lymph node; Melanoma, NOS
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was isolated from frozen tumors or cultured cells by overnight digestion, phenol-chloroform extraction and ethanol precipitation.
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = One Âµg of tumor and reference DNA were labeled with Cy3 or Cy5, respectively (Amersham, Piscataway, NJ) using the BioPrime random-primed labeling kit (Invitrogen, Carlsbad, CA).  Labeled tumor and reference DNA were combined and precipitated with human Cot-1 DNA to reduce non-specific binding.
!Sample_source_name_ch2 = N0016DB1000
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = N0016DB1000
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = Genomic DNA was isolated from frozen tumors or cultured cells by overnight digestion, phenol-chloroform extraction and ethanol precipitation.
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = One Âµg of tumor and reference DNA were labeled with Cy3 or Cy5, respectively (Amersham, Piscataway, NJ) using the BioPrime random-primed labeling kit (Invitrogen, Carlsbad, CA).  Labeled tumor and reference DNA were combined and precipitated with human Cot-1 DNA to reduce non-specific binding.
!Sample_hyb_protocol = DNA was resuspended and hybridized to the array for 72h at 37oC on a rotating platform. Additional details are found in: Greshock, J, Naylor, TL, Margolin, A, et al. 1-Mb resolution array-based comparative genomic hybridization using a BAC clone set optimized for cancer gene analysis. Genome Res 2004; 14: 179-87
!Sample_scan_protocol = Images were scanned with an Axon 4500 microarray scanner (Axon, Union City, CA) and analyzed with GenePix 3.0 software (Axon).
!Sample_description = Axillary lymph node; Melanoma, NOS; University of Pennsylvania; 10/31/2003
!Sample_data_processing = All spots were subjected to a pin-tip normalization.
!Sample_platform_id = GPL4894
!Sample_contact_name = Joel,,Greshock
!Sample_contact_department = Translational Medicine, Oncology
!Sample_contact_institute = GlaxoSmithKline
!Sample_contact_address = 2301 Renaissance Blvd.
!Sample_contact_city = King of Prussia
!Sample_contact_state = PA
!Sample_contact_zip/postal_code = 19406
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM186nnn/GSM186499/suppl/GSM186499.gpr.gz
!Sample_series_id = GSE7692
!Sample_data_row_count = 3426
#ID_REF = 
#SLIDE = Slide/Exeriment Identifier
#Dia = Spot Diameter in Pixels
#F635_Median = Median foreground measurement of Cy5 channel
#F635_Mean = Mean foreground measurement of Cy5 channel
#F635_SD = Standard Deviation of foreground measurement of Cy5 channel
#B635_Median = Median background of Cy5 channel
#B635_Mean = Mean background of Cy5 channel
#B635_SD = Standard deviation of background of Cy5 channel
#PCT_GT_B635_1SD = Percent of pixels > 1 standard deviation above background for Cy5 channel
#PCT_GT_B635_2SD = Percent of pixels > 2 standard deviation above background for Cy5 channel
#F635_PCT_Sat = Percent of pixels that are saturated for Cy5 channel
#F532_Median = Median foreground measurement of Cy3 channel
#F532_Mean = Mean foreground measurement of Cy3 channel
#F532_SD = Standard Deviation of foreground measurement of Cy3 channel
#B532_Median = Median background of Cy3 channel
#B532_Mean = Mean background of Cy3 channel
#B532_SD = Standard deviation of background of Cy3 channel
#PCT_GT_B532_1SD = Percent of pixels > 1 standard deviation above background for Cy5 channel
#PCT_GT_B532_2SD = Percent of pixels > 2 standard deviation above background for Cy5 channel
#F532_PCT_Sat = Percent of pixels that are saturated for Cy3 channel
#Ratio_of_Medians_532_635 = Ratio of median pixel values (Cy3/Cy5)
#Ratio_of_Means_532_635 = Ratio of mean pixel values (Cy3/Cy5)
#Median_of_Ratios_532_635 = Median of all individual pixel ratios (Cy3/Cy5)
#Mean_of_Ratios_532_635 = Mean of all individual pixel ratios (Cy3/Cy5)
#Ratios_SD_532_635 = Standard deviation of all individual pixel ratios (Cy3/Cy5)
#Rgn_Ratio_532_635 = Red to green ratio
#Rgn_R2_532_635 = Red to green correlation
#F_Pixels = The number of pixels analyzed as foreground (both Cy3 and Cy5 uses same exact pixels)
#B_Pixels = The number of pixels analyzed as background (same for Cy3 and Cy5)
#Sum_of_Medians = Sum of Pixel intensity medians
#Sum_of_Means = Sum of Pixel intensity means
#Log_Ratio_532_635 = Log base 2 of the Cy3/Cy5 ratio
#F635_Median_B635 = Median Foreground intensity minus Background intensity, Cy5 channel
#F532_Median_B532 = Median Foreground intensity minus Background intensity, Cy3 channel
#F635_Mean_B635 = Mean Foreground intensity minus Background intensity, Cy5 channel
#F532_Mean_B532 = Mean Foreground intensity minus Background intensity, Cy3 channel
#Ratio_Median = Median Cy3/Cy5 ratio (using the Background corrected ratio of medians) for that specific print tip
#Cy3_corrected = Adjusted background corrected intensity (by print tip)= F532_Median_B532 / Ratio_Median_Tip
#VALUE = log(GREENsignal/REDsignal) per feature (processed signals used).
#A = mean log intensity
#Sig_var_mean_Cy3 = Signal variation from mean intsity for Cy3 channel
#Sig_var_mean_Cy5 = Signal variation from mean intsity for Cy5 channel
#Mean_med_corr_Cy3 = Mean-Median correlation for Cy3 channel
#Mean_med_corr_Cy5 = Mean-Median correlation for Cy5 channel
!sample_table_begin
ID_REF	SLIDE	Dia	F635_Median	F635_Mean	F635_SD	B635_Median	B635_Mean	B635_SD	PCT_GT_B635_1SD	PCT_GT_B635_2SD	F635_PCT_Sat	F532_Median	F532_Mean	F532_SD	B532_Median	B532_Mean	B532_SD	PCT_GT_B532_1SD	PCT_GT_B532_2SD	F532_PCT_Sat	Ratio_of_Medians_532_635	Ratio_of_Means_532_635	Median_of_Ratios_532_635	Mean_of_Ratios_532_635	Ratios_SD_532_635	Rgn_Ratio_532_635	Rgn_R2_532_635	F_Pixels	B_Pixels	Sum_of_Medians	Sum_of_Means	Log_Ratio_532_635	F635_Median_B635	F532_Median_B532	F635_Mean_B635	F532_Mean_B532	Ratio_Median	Cy3_corrected	VALUE	A	Sig_var_mean_Cy3	Sig_var_mean_Cy5	Mean_med_corr_Cy3	Mean_med_corr_Cy5
RP11-458D3	12709658	133.333333333333	1032	1246.33333333333	778.666666666667	563.333333333333	654.666666666667	689	34.3333333333333	20.3333333333333	0	1142	1307	764	754.666666666667	813	437.333333333333	44.3333333333333	29	0	1.12833333333333	0.851333333333333	1.06666666666667	1.103	3.627	0.700666666666667	0.247333333333333	149.333333333333	792.333333333333	856	1235.33333333333	0.0746666666666667	468.666666666667	387.333333333333	683	552.333333333333	0.833	464.98599439776	1.35463353422863	7.79699237362607	0.398001427425391	0.300615943458342	0.558380679949096	0.503360313009531
RP11-291C17	12709658	156.666666666667	13166.6666666667	13396	5036.33333333333	558	953.333333333333	2522.33333333333	95.6666666666667	94	0	12427.6666666667	13600.3333333333	6113	862.666666666667	1232.66666666667	2326.33333333333	95.6666666666667	93.3333333333333	0	0.921	0.994333333333333	0.947333333333333	0.954333333333333	1.31733333333333	1.063	0.905	190.666666666667	592	24173.6666666667	25575.6666666667	-0.121	12608.6666666667	11565	12838	12737.6666666667	0.8595	13455.497382199	1.07155607122547	13.5571579188583	0.551248538334963	0.6260192824982	0.908181145800626	0.973654937812006
RP11-335F1	12709658	70	2272.5	3534.5	2952	552.5	624	418	91	76	0	2429.5	3712.5	2995.5	856	894	395	87.5	70	0	0.9345	0.9485	0.968	0.902	2.157	0.985	0.8365	42	258	3293.5	5838.5	-0.1	1720	1573.5	2982	2856.5	0.881	1786.03859250852	1.06054753758043	10.5962084301036	0.187778829122217	0.155700095700096	0.542291191370865	0.557366046249295
RP11-367E10	12709658	150	12398.6666666667	12890.6666666667	2833.33333333333	580.666666666667	785.333333333333	1406.33333333333	100	100	0	15468.6666666667	16440	4865.33333333333	822.333333333333	967.666666666667	1098.66666666667	100	100	0	1.239	1.269	1.24566666666667	1.246	1.20866666666667	1.394	0.919	156	669.333333333333	26464.3333333333	27927.6666666667	0.308666666666667	11818	14646.3333333333	12310	15617.6666666667	0.845	17332.9388560158	1.46633342628675	13.6829359518877	0.703987200373519	0.780251102984924	0.937474211634935	0.960089701127692
CTD-2341I10	12709658	143.333333333333	10215.6666666667	10391.3333333333	3294.33333333333	558.666666666667	745.333333333333	1444.66666666667	99.6666666666667	98.6666666666667	0	8179.66666666667	8498.66666666667	2666.66666666667	837	893.333333333333	531.666666666667	98.6666666666667	98	0	0.776333333333333	0.793666666666667	0.788333333333333	0.770666666666667	1.417	0.796	0.868666666666667	156	791.333333333333	16999.6666666667	17494.3333333333	-0.368333333333333	9657	7342.66666666667	9832.66666666667	7661.66666666667	0.847	8669.02794175522	0.916586746967522	12.9606174524593	0.679590143504918	0.678518019224272	0.961942634276438	0.983563697392175
RP11-490K2	12709658	136.666666666667	11122	11509.3333333333	3067.33333333333	583	1097.33333333333	2092.33333333333	99.3333333333333	94.3333333333333	0	9298.33333333333	10171.6666666667	3689	795	1203.33333333333	1678	98.6666666666667	89	0	0.807333333333333	0.859666666666667	0.844	0.829	1.34	0.935333333333333	0.904	144	706.333333333333	19042.3333333333	20303	-0.309	10539	8503.33333333333	10926.3333333333	9376.66666666667	0.8335	10201.9596080784	0.968607572939098	13.1999923581124	0.636034940545078	0.73111738919634	0.906906739913953	0.965976419662338
RP11-43H17	12709658	146.666666666667	9462	9718.33333333333	2296.33333333333	556.666666666667	904.666666666667	2070.33333333333	99.6666666666667	98	0	9208	9661.66666666667	2815.33333333333	846.333333333333	1084	1441.33333333333	100	99.3333333333333	0	0.941333333333333	0.963666666666667	0.952	0.950333333333333	1.27533333333333	0.994333333333333	0.858333333333333	156	738.666666666667	17267	17977	-0.0876666666666667	8905.33333333333	8361.66666666667	9161.66666666667	8815.33333333333	0.847	9872.09759937031	1.11136475688318	13.0717331577399	0.709394945138948	0.763765274801325	0.949122781594107	0.971985655673523
RP11-541N19	12709658	123.333333333333	11917.6666666667	12090	2804	565.666666666667	781	1408	92.3333333333333	72.3333333333333	0	9810.33333333333	10115.3333333333	2789	868.333333333333	1008.66666666667	1030.66666666667	98.3333333333333	95.3333333333333	0	0.837333333333333	0.839666666666667	0.847	0.818666666666667	1.483	0.838333333333333	0.859333333333333	120	602.666666666667	20294	20771.3333333333	-0.265333333333333	11352	8942	11524.3333333333	9247	0.881	10149.829738933	0.950382225200571	12.9541105533345	0.70268088877612	0.724080983387787	0.964001038983458	0.969903555690901
RP11-518H12	12709658	150	8047	8719	2989.66666666667	571.333333333333	800.666666666667	1437.33333333333	100	99.6666666666667	0	7737.66666666667	8582.33333333333	3387	815.666666666667	971	1228	100	99	0	0.928	0.955333333333333	0.915666666666667	0.931333333333333	1.31733333333333	1.01766666666667	0.877666666666667	156	719.666666666667	14397.6666666667	15914.3333333333	-0.108666666666667	7475.66666666667	6922	8147.66666666667	7766.66666666667	0.833	8309.72388955582	1.11392939745219	12.8068709036301	0.607745320076349	0.66473629155433	0.894077076718147	0.920170275472518
RP11-568A9	12709658	156.666666666667	14205.6666666667	14632.1666666667	4844.5	566.666666666667	855.166666666667	1757.33333333333	97.1666666666667	96.3333333333333	0	11741.8333333333	12805	5385.5	834.666666666667	1096.5	1541.83333333333	96.8333333333333	95.1666666666667	0	0.814166666666667	0.865833333333333	0.836833333333333	0.830333333333333	1.3485	0.929333333333333	0.927833333333333	190.666666666667	573	24546.1666666667	26035.8333333333	-0.3075	13639	10907.1666666667	14065.5	11970.3333333333	0.8595	12690.1299204964	0.947100010418685	13.5646674735671	0.578083606342622	0.663896232734261	0.911075976644683	0.970001965483266
RP11-148D23	12709658	166.666666666667	17004	18601.3333333333	6360.66666666667	558.666666666667	921	1760.66666666667	100	99.6666666666667	0	9875	11192	4807.66666666667	811.333333333333	1057	1468.66666666667	100	95.6666666666667	0	0.551333333333333	0.575666666666667	0.560333333333333	0.558333333333333	1.26366666666667	0.609666666666667	0.914	208	513.333333333333	25509	28423.3333333333	-0.859	16445.3333333333	9063.66666666667	18042.6666666667	10380.6666666667	0.8255	10979.608318191	0.667550801433776	13.5673413300016	0.571632368842578	0.660931743733805	0.874203933511521	0.91381549398002
