^SAMPLE = GSM847077
!Sample_title = NCIH522, copy number variation SNP6.0 WYETH_NCI50
!Sample_geo_accession = GSM847077
!Sample_status = Public on Jan 20 2012
!Sample_submission_date = Dec 09 2011
!Sample_last_update_date = Jan 20 2012
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = NCIH522
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: NCIH522
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA were isolated using an DNeasy kit (Qiagen, Germantown, MD).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Protocol per manufacturer's protocol (Affymetrix, Santa Clara, CA).
!Sample_hyb_protocol = Protocol per manufacturer's protocol (Affymetrix, Santa Clara, CA).
!Sample_scan_protocol = Protocol per manufacturer's protocol (Affymetrix, Santa Clara, CA).
!Sample_data_processing = Affymetrix SNP6.0 data were processed using the aroma.affymetrix R package according to the methods of H. Bengtsson et al., (Bengtsson, Irizarry et al. 2008 [PMID 18204055]).
!Sample_platform_id = GPL6801
!Sample_contact_name = Keith,A,Ching
!Sample_contact_email = keith.ching@pfizer.com
!Sample_contact_department = Computational Sciences
!Sample_contact_institute = Pfizer, Inc.
!Sample_contact_address = 10777 Science Center Dr.
!Sample_contact_city = San Diego
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 92121
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM847nnn/GSM847077/suppl/GSM847077_NCIH522.CEL.gz
!Sample_series_id = GSE34211
!Sample_data_row_count = 1877772
#ID_REF = PROBE_DESIGN_ID
#VALUE = Normalized probeset summaries CES (chip effects set)
!sample_table_begin
ID_REF	VALUE
SNP_A-2131660	4887.396484375
SNP_A-1967418	1236.86608886719
SNP_A-1969580	5426.69091796875
SNP_A-4263484	4854.55126953125
SNP_A-1978185	2954.98046875
SNP_A-4264431	2834.87841796875
SNP_A-1980898	2219.76831054688
SNP_A-1983139	4580.23876953125
SNP_A-4265735	1203.78015136719
SNP_A-1995832	2169.6416015625
SNP_A-1995893	3892.96118164062
SNP_A-1997689	5491.32666015625
SNP_A-1997709	2944.83837890625
SNP_A-1997896	4375.9267578125
SNP_A-1997922	2327.51684570312
SNP_A-2000230	3754.37670898438
SNP_A-2000332	6034.36279296875
SNP_A-2000337	4685.3681640625
SNP_A-2000342	3281.9541015625
SNP_A-4268172	1481.78283691406
!sample_table_end
