^SAMPLE = GSM847443
!Sample_title = LFS-adrenocortical carcinoma tumor 2
!Sample_geo_accession = GSM847443
!Sample_status = Public on Jan 19 2012
!Sample_submission_date = Dec 09 2011
!Sample_last_update_date = Jan 19 2012
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = LFS-adrenocortical carcinoma tumor 2
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = tumor type: adrenocortical carcinomas
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was extracted from tissues on dry ice by standard Proteinase K-SDS protocol, followed by phenol-chloroform extraction and ethanol precipitation.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = As per manufacturer (Affymetrix)
!Sample_hyb_protocol = DNA was restriction digested, PCR amplified, fragmented, labeled and hybridized to each array according to the manufacturer's instructions.
!Sample_scan_protocol = The arrays were then washed using Affymetrix fluidics stations, and scanned using the Gene Chip Scanner 3000.
!Sample_data_processing = Genotyping (CN5) and copy number analysis (Birdseed_v2) with the Affymetrix Genotyping Console. Standard export of copy number results (.CN5.CNCHP file)
!Sample_platform_id = GPL6801
!Sample_contact_name = Diana,M,Merino
!Sample_contact_email = diana.merino@utoronto.ca
!Sample_contact_laboratory = Malkin
!Sample_contact_department = Genetics and Genome Biology
!Sample_contact_institute = The Hospital for Sick Children
!Sample_contact_address = 686 Bay St.
!Sample_contact_city = Toronto
!Sample_contact_state = Ontario
!Sample_contact_zip/postal_code = M5V0A4
!Sample_contact_country = Canada
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM847nnn/GSM847443/suppl/GSM847443.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM847nnn/GSM847443/suppl/GSM847443.CNCHP.gz
!Sample_series_id = GSE34323
!Sample_data_row_count = 1812237
#ID_REF = 
#VALUE = CN STATE
#LOG2 RATIO = 
#SMOOTH SIGNAL = 
#LOH = 
#ALLELE DIFFERENCE = 
!sample_table_begin
ID_REF	VALUE	LOG2 RATIO	SMOOTH SIGNAL	LOH	ALLELE DIFFERENCE
CN_473963	2.000000	-0.062314	2.179922	nan	nan
CN_473964	2.000000	-0.273328	2.179926	nan	nan
CN_473965	2.000000	0.044623	2.179927	nan	nan
CN_473981	2.000000	0.529528	2.179987	nan	nan
CN_473982	2.000000	-0.126754	2.179988	nan	nan
CN_497981	2.000000	-0.004621	2.179985	nan	nan
CN_502615	2.000000	0.737874	2.178358	nan	nan
CN_502613	2.000000	0.811085	2.178345	nan	nan
CN_502614	2.000000	-0.725887	2.178280	nan	nan
CN_502616	2.000000	0.343657	2.178277	nan	nan
CN_502843	2.000000	-0.570967	2.174879	nan	nan
CN_466171	2.000000	-0.827832	1.062455	nan	nan
CN_468414	2.000000	0.099602	1.062559	nan	nan
CN_468412	2.000000	-0.613100	1.062583	nan	nan
CN_468413	2.000000	-0.929420	1.062587	nan	nan
CN_470565	2.000000	-0.844067	1.062713	nan	nan
CN_468424	2.000000	-0.205679	1.064430	nan	nan
CN_468425	2.000000	-0.224565	1.064447	nan	nan
CN_460512	2.000000	0.058945	2.852829	nan	nan
CN_460513	2.000000	0.510652	2.852831	nan	nan
!sample_table_end
