^SAMPLE = GSM185135
!Sample_title = Ovary, Carcinoma, NOS (12933734)
!Sample_geo_accession = GSM185135
!Sample_status = Public on May 08 2007
!Sample_submission_date = Apr 27 2007
!Sample_last_update_date = May 07 2007
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = TB2729DF1X10
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Cell Line OVCAR3
!Sample_characteristics_ch1 = TB2729DF1X10
!Sample_growth_protocol_ch1 = Ovary; Carcinoma, NOS
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was isolated from frozen tumors or cultured cells by overnight digestion, phenol-chloroform extraction and ethanol precipitation.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = One Âµg of tumor and reference DNA were labeled with Cy3 or Cy5, respectively (Amersham, Piscataway, NJ) using the BioPrime random-primed labeling kit (Invitrogen, Carlsbad, CA).  Labeled tumor and reference DNA were combined and precipitated with human Cot-1 DNA to reduce non-specific binding.
!Sample_source_name_ch2 = pooled reference
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = pooled reference
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = Genomic DNA was isolated from frozen tumors or cultured cells by overnight digestion, phenol-chloroform extraction and ethanol precipitation.
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = One Âµg of tumor and reference DNA were labeled with Cy3 or Cy5, respectively (Amersham, Piscataway, NJ) using the BioPrime random-primed labeling kit (Invitrogen, Carlsbad, CA).  Labeled tumor and reference DNA were combined and precipitated with human Cot-1 DNA to reduce non-specific binding.
!Sample_hyb_protocol = DNA was resuspended and hybridized to the array for 72h at 37oC on a rotating platform. Additional details are found in: Greshock, J, Naylor, TL, Margolin, A, et al. 1-Mb resolution array-based comparative genomic hybridization using a BAC clone set optimized for cancer gene analysis. Genome Res 2004; 14: 179-87
!Sample_scan_protocol = Images were scanned with an Axon 4500 microarray scanner (Axon, Union City, CA) and analyzed with GenePix 3.0 software (Axon).
!Sample_description = Ovary; Carcinoma, NOS; University of Pennsylvania; 8/13/2004
!Sample_data_processing = All spots were subjected to a pin-tip normalization.
!Sample_platform_id = GPL4894
!Sample_contact_name = Joel,,Greshock
!Sample_contact_department = Translational Medicine, Oncology
!Sample_contact_institute = GlaxoSmithKline
!Sample_contact_address = 2301 Renaissance Blvd.
!Sample_contact_city = King of Prussia
!Sample_contact_state = PA
!Sample_contact_zip/postal_code = 19406
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM185nnn/GSM185135/suppl/GSM185135.gpr.gz
!Sample_series_id = GSE7692
!Sample_data_row_count = 3851
#ID_REF = 
#SLIDE = Slide/Exeriment Identifier
#Dia = Spot Diameter in Pixels
#F635_Median = Median foreground measurement of Cy5 channel
#F635_Mean = Mean foreground measurement of Cy5 channel
#F635_SD = Standard Deviation of foreground measurement of Cy5 channel
#B635_Median = Median background of Cy5 channel
#B635_Mean = Mean background of Cy5 channel
#B635_SD = Standard deviation of background of Cy5 channel
#PCT_GT_B635_1SD = Percent of pixels > 1 standard deviation above background for Cy5 channel
#PCT_GT_B635_2SD = Percent of pixels > 2 standard deviation above background for Cy5 channel
#F635_PCT_Sat = Percent of pixels that are saturated for Cy5 channel
#F532_Median = Median foreground measurement of Cy3 channel
#F532_Mean = Mean foreground measurement of Cy3 channel
#F532_SD = Standard Deviation of foreground measurement of Cy3 channel
#B532_Median = Median background of Cy3 channel
#B532_Mean = Mean background of Cy3 channel
#B532_SD = Standard deviation of background of Cy3 channel
#PCT_GT_B532_1SD = Percent of pixels > 1 standard deviation above background for Cy5 channel
#PCT_GT_B532_2SD = Percent of pixels > 2 standard deviation above background for Cy5 channel
#F532_PCT_Sat = Percent of pixels that are saturated for Cy3 channel
#Ratio_of_Medians_532_635 = Ratio of median pixel values (Cy3/Cy5)
#Ratio_of_Means_532_635 = Ratio of mean pixel values (Cy3/Cy5)
#Median_of_Ratios_532_635 = Median of all individual pixel ratios (Cy3/Cy5)
#Mean_of_Ratios_532_635 = Mean of all individual pixel ratios (Cy3/Cy5)
#Ratios_SD_532_635 = Standard deviation of all individual pixel ratios (Cy3/Cy5)
#Rgn_Ratio_532_635 = Red to green ratio
#Rgn_R2_532_635 = Red to green correlation
#F_Pixels = The number of pixels analyzed as foreground (both Cy3 and Cy5 uses same exact pixels)
#B_Pixels = The number of pixels analyzed as background (same for Cy3 and Cy5)
#Sum_of_Medians = Sum of Pixel intensity medians
#Sum_of_Means = Sum of Pixel intensity means
#Log_Ratio_532_635 = Log base 2 of the Cy3/Cy5 ratio
#F635_Median_B635 = Median Foreground intensity minus Background intensity, Cy5 channel
#F532_Median_B532 = Median Foreground intensity minus Background intensity, Cy3 channel
#F635_Mean_B635 = Mean Foreground intensity minus Background intensity, Cy5 channel
#F532_Mean_B532 = Mean Foreground intensity minus Background intensity, Cy3 channel
#Ratio_Median = Median Cy3/Cy5 ratio (using the Background corrected ratio of medians) for that specific print tip
#Cy3_corrected = Adjusted background corrected intensity (by print tip)= F532_Median_B532 / Ratio_Median_Tip
#VALUE = log(GREENsignal/REDsignal) per feature (processed signals used).
#A = mean log intensity
#Sig_var_mean_Cy3 = Signal variation from mean intsity for Cy3 channel
#Sig_var_mean_Cy5 = Signal variation from mean intsity for Cy5 channel
#Mean_med_corr_Cy3 = Mean-Median correlation for Cy3 channel
#Mean_med_corr_Cy5 = Mean-Median correlation for Cy5 channel
!sample_table_begin
ID_REF	SLIDE	Dia	F635_Median	F635_Mean	F635_SD	B635_Median	B635_Mean	B635_SD	PCT_GT_B635_1SD	PCT_GT_B635_2SD	F635_PCT_Sat	F532_Median	F532_Mean	F532_SD	B532_Median	B532_Mean	B532_SD	PCT_GT_B532_1SD	PCT_GT_B532_2SD	F532_PCT_Sat	Ratio_of_Medians_532_635	Ratio_of_Means_532_635	Median_of_Ratios_532_635	Mean_of_Ratios_532_635	Ratios_SD_532_635	Rgn_Ratio_532_635	Rgn_R2_532_635	F_Pixels	B_Pixels	Sum_of_Medians	Sum_of_Means	Log_Ratio_532_635	F635_Median_B635	F532_Median_B532	F635_Mean_B635	F532_Mean_B532	Ratio_Median	Cy3_corrected	VALUE	A	Sig_var_mean_Cy3	Sig_var_mean_Cy5	Mean_med_corr_Cy3	Mean_med_corr_Cy5
RP11-458D3	12933734	130	36849	35504.5	5507.5	962	1045	707.5	100	100	0	27601.5	26321	4750.5	834.5	903	493.5	100	100	0	0.746	0.738	0.743	0.73	1.154	0.744	0.981	120	614.5	62654	60029	-0.422	35887	26767	34542.5	25486.5	0.564	47459.2198581561	1.32332457967343	14.9191316749517	0.819484570718465	0.845071103582197	0.952106388995868	0.962796324313754
RP11-69E9	12933734	140	36330.5	34548.5	8483	955.5	1085	952.5	100	100	0	16300.5	15949.5	4760	889.5	959.5	514	99.5	98	0	0.438	0.45	0.44	0.4365	1.401	0.452	0.916	156	768.5	50786	48653	-1.1945	35375	15411	33593	15060	0.637	24193.0926216641	0.687834153607658	14.5090689273436	0.702002314520836	0.755984134568903	0.977277874903801	0.950493059745789
RP11-67E18	12933734	110	2925	3019.5	878.5	917	944.5	337	99	97	0	2622	2724.5	768	978.5	1023.5	366	96.5	91.5	0	0.819	0.831	0.8245	0.805	1.716	0.8265	0.598	80	567	3651.5	3848.5	-0.289	2008	1643.5	2102.5	1746	0.689	2385.34107402032	1.18890188189066	10.8266744092337	0.71822325215119	0.708564753631232	0.941488717833483	0.955303430951279
RP11-291C17	12933734	125	14969.5	14337.5	3587.5	1073.5	1163	525	100	100	0	9525.5	9111	2458.5	947	981.5	421.5	100	99.5	0	0.6235	0.6205	0.632	0.6095	1.3655	0.6255	0.8995	120	715	22474.5	21428	-0.69	13896	8578.5	13264	8164	0.641	13382.9953198128	0.972682681418247	13.4112333929723	0.729075940252061	0.751533663370284	0.951436526015959	0.956050694180364
RP11-506N24	12933734	130	21245	20239.5	5039.5	1012	1275	1827.5	100	100	0	11073	10689	3054	919.5	1105.5	1331.5	100	97	0	0.502	0.5085	0.5015	0.498	1.218	0.512	0.9475	120	680.5	30386.5	28997	-0.995	20233	10153.5	19227.5	9769.5	0.572	17750.8741258741	0.87733999287133	13.8070036419446	0.714206146156789	0.751048992937577	0.962191620580898	0.950258441431296
RP11-262N9	12933734	130	20407	19646.5	3974	938	972	391.5	100	100	0	18232.5	17715.5	3559	1007.5	1047.5	384	100	100	0	0.8845	0.893	0.8705	0.8905	1.292	0.8965	0.915	120	637	36694	35416.5	-0.1765	19469	17225	18708.5	16708	0.689	25000	1.28413221458021	14.1605221952004	0.799102603784902	0.797652961234287	0.970004610395866	0.961046076055804
RP11-498J1	12933734	120	15508.5	15484	3210	953	1016	546	100	100	0	9707.5	9624	2302.5	900	942.5	414.5	99	98.5	0	0.606	0.6025	0.6025	0.5895	1.375	0.603	0.935	120	645.5	23363	23255	-0.723	14555.5	8807.5	14531	8724	0.617	14274.71636953	0.982159963316604	13.4628913102048	0.761879026631415	0.792480376044244	0.989389416553595	0.990785963089359
RP11-335F1	12933734	135	9288	9310.5	1851	1008.5	1231	1348	100	99.5	0	7047	6918.5	1638.5	1022	1178	995	97.5	95.5	0	0.7275	0.7095	0.706	0.6845	1.5215	0.676	0.785	138	668	14304.5	14198.5	-0.4595	8279.5	6025	8302	5896.5	0.689	8744.55732946299	1.0557033734009	12.7850840274619	0.764851698836881	0.801158799278519	0.978165381020707	0.985159489522717
RP11-260B11	12933734	135	12920	12432	4110	967	1047	528	100	100	0	8081.5	7742	2802	862.5	937.5	477	100	100	0	0.605	0.6015	0.5935	0.587	1.252	0.6145	0.944	138	672	19172	18344.5	-0.7255	11953	7219	11465	6879.5	0.5915	12204.5646661031	1.02280513995359	13.1783558314085	0.63838915664196	0.669417460495888	0.953451855313356	0.959001297486542
RP11-367E10	12933734	140	11983.5	15147.5	11348	936	1212	2251	98	96	0.5	8297	9894	6984	947.5	1191	1877	98.5	94.5	0	0.665	0.6305	0.6695	0.6465	1.6665	0.5765	0.656	156	720.5	18397	23158	-0.588	11047.5	7349.5	14211.5	8946.5	0.689	10666.908563135	0.965610630465232	13.1373142263962	0.302390223036446	0.259724547236237	0.828166000290078	0.786080737922296
CTD-2341I10	12933734	130	15869	15817	2104	969	1035.5	541.5	100	100	0	11396	11366.5	1906	941.5	999.5	511.5	100	100	0	0.703	0.703	0.6995	0.697	1.174	0.715	0.9455	120	629	25354.5	25273	-0.5095	14900	10454.5	14848	10425	0.637	16412.087912088	1.10383693404102	13.6065672273862	0.832198049625375	0.868085978867098	0.992039853163931	0.984045052631579
RP11-490K2	12933734	125	21644.5	20443.5	5159	965.5	1113	1111.5	100	100	0	10462.5	10072	2748.5	840.5	892.5	524.5	100	100	0	0.4655	0.474	0.474	0.469	1.1665	0.4765	0.97	120	630	30301	28709.5	-1.103	20679	9622	19478	9231.5	0.5695	16895.5223880597	0.817341732570533	13.783635444999	0.727112557922046	0.747891000026774	0.959628649570422	0.942349067649421
RP11-491P10	12933734	125	17559	17166.5	5850.5	895.5	945	379.5	100	99.5	0	14647	14552.5	3984.5	964.5	993.5	348.5	100	99.5	0	0.8215	0.838	0.836	0.857	1.512	0.804	0.8575	120	629	30346	29859	-0.284	16663.5	13682.5	16271	13588	0.689	19858.4905660377	1.19225125642583	13.8819143435764	0.726372584265321	0.66293673702967	0.993166238887148	0.967593719239094
RP11-43H17	12933734	135	17916	17813.5	2638	949	1207	1340.5	100	100	0	8519.5	8422	1493.5	917.5	1076	901	99.5	99.5	0	0.449	0.4455	0.44	0.4425	1.2615	0.4465	0.9275	138	682.5	24569	24369	-1.158	16967	7602	16864.5	7504.5	0.637	11934.065934066	0.704931809654254	13.4706154027977	0.822353221327789	0.853176337201595	0.987264935122901	0.994166645190536
RP11-492D3	12933734	140	13695.5	14558	6464.5	932	975.5	475	99.5	99.5	0	10533	10614.5	3674.5	953	1013	729	98.5	97.5	0	0.751	0.7155	0.745	0.709	1.785	0.674	0.7925	156	684	22343.5	23287.5	-0.4135	12763.5	9580	13626	9661.5	0.689	13904.2089985486	1.08967759194802	13.4326881948582	0.654067412032707	0.566507866297261	0.986685794367058	0.920536545683166
RP11-97J12	12933734	130	16841.5	19514	8218	918	974	519.5	100	100	0	12390.5	13641	5747	996.5	1037	459	100	99	0	0.714	0.679	0.713	0.6595	1.536	0.676	0.8005	120	649.5	27317.5	31240.5	-0.4865	15923.5	11394	18596	12644.5	0.689	16537.0101596517	1.03627302025269	13.7026975398527	0.572304385451494	0.575245405099843	0.898139678847977	0.85374210454808
