^SAMPLE = GSM302890
!Sample_title = Breast carcinoma cell line HCC1395 diluted with HCC1395BL (CRL2324_34pc)
!Sample_geo_accession = GSM302890
!Sample_status = Public on Sep 18 2008
!Sample_submission_date = Jul 02 2008
!Sample_last_update_date = Sep 18 2008
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = breast carcinoma cell line HCC1395 (ATCC cat.no CRL-2324D) diluted with HCC1395BL.
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Dilution percentage is 34% tumor (CRL2324) genomic DNA. 95% confidence interval for dilution is 28-40%.
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Extraction of genomic DNA from fresh frozen tissue was performed using proteinase K and repeated phenol-chloroform extraction.
!Sample_label_ch1 = C-Bio and A-DNP
!Sample_label_protocol_ch1 = Genotyping was performed using Illumina Infinium HumanCNV370 Genotyping BeadChips according to the manufacturerÃs protocol (Illumina Inc., San Diego, CA, www.illumina.com). 750ng of genomic DNA was whole-genome amplified in an overnight reaction at 37Â¡C using amplification master mix (WG-AMM) and primer/neutralization mix (WG-MP1). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FRG), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).
!Sample_hyb_protocol = RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48Â¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).
!Sample_scan_protocol = After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).
!Sample_description = Genomic DNA extracted from breast carcinoma cell line was genotyped using Infinium HumanCNV370-Duov1 Genotyping BeadChips (Illumina).
!Sample_data_processing = Image data was analyzed using Beadstudio 3.1.3 with GT module 3.2.33 (Illumina).
!Sample_platform_id = GPL6986
!Sample_contact_name = Johan,,Staaf
!Sample_contact_institute = SCIBLU - Swegene Centre for Integrative Biology at Lund University
!Sample_contact_address = Medicon Village
!Sample_contact_city = Lund
!Sample_contact_zip/postal_code = SE-223 81
!Sample_contact_country = Sweden
!Sample_supplementary_file = NONE
!Sample_series_id = GSE11976
!Sample_data_row_count = 370404
#ID_REF = 
#VALUE = Genotype: AA,AB,BB,or NC (no call)
#GC_SCORE = Beadstudio confidence score
#Theta = Beadstudio genotype metric
#R = Beadstudio intensity metric
#B_Allele_Freq = Beadstudio estimate of B allele frequency
#Log_R_Ratio = Beadstudio metric for signal intensity
!sample_table_begin
ID_REF	VALUE	GC_SCORE	Theta	R	B_Allele_Freq	Log_R_Ratio
rs10000010-126_B_F_IFB1153208421:0	AB	0.9368909	0.5143662	0.9298469	0.4446257	-0.1458547
rs10000023-126_B_F_IFB1153358872:0	AB	0.8234195	0.5129298	2.144274	0.5167165	-0.1955406
rs10000030-120_B_R_IFB1137703207:0	BB	0.8158658	0.9887756	0.7522472	1	-0.03852768
rs1000007-123_T_F_IFB1152225452:0	AB	0.8747823	0.6400394	1.322785	0.4870161	0.344347
rs10000092-123_T_R_IFB1153358875:0	AA	0.9264655	0.007184079	0.8136793	0	0.1093145
rs10000121-126_B_R_IFB1136471760:0	BB	0.891854	0.98632	0.6409332	1	0.03143356
rs1000014-126_B_R_IFB1136184019:0	AB	0.7254323	0.4469527	2.504982	0.4815769	0.2236115
rs10000141-126_T_F_IFB1137734411:0	BB	0.8891098	0.9891481	1.013465	1	0.1397893
rs1000016-126_B_R_IFB1156563530:0	AA	0.875866	0.00891152	1.459264	0.007385108	-0.2848477
rs10000169-119_T_R_IFB1135612081:0	AA	0.8703538	0.01019281	1.033385	0.002643064	0.04343811
rs1000022-126_B_F_IFB1135126284:0	AA	0.8797732	0.01332528	0.8815928	0.002112412	0.1491793
rs10000272-126_T_R_IFB1136539894:0	AA	0.8434824	0.004973406	1.688628	0.003576015	-0.1618118
rs10000282-121_T_R_IFB1136743500:0	BB	0.8183947	0.9969351	1.024645	1	-0.2225748
rs10000300-126_T_R_IFB1152704058:0	BB	0.8601294	0.999665	0.7337659	1	0.05179182
rs1000031-123_B_F_IFB1135583872:0	BB	0.8717313	0.989413	1.806413	1	0.2523337
rs1000032-126_B_R_IFB1136145093:0	BB	0.384529	0.9941837	1.205906	1	0.0883237
rs10000388-126_B_F_IFB1135932472:0	AA	0.9530174	0.01187783	1.48832	0.004747936	0.1327711
rs1000040-126_T_F_IFB1152704061:0	AB	0.6563897	0.7476779	1.356191	0.6830885	0.4771135
rs1000041-126_T_F_IFB1153889147:0	BB	0.8351063	0.9835894	1.634077	1	0.2236426
rs10000432-126_T_R_IFB1135756304:0	AB	0.8544981	0.6675682	0.6417697	0.4727836	-0.1137002
!sample_table_end
