^SAMPLE = GSM755921
!Sample_title = Chinese_sample_40
!Sample_geo_accession = GSM755921
!Sample_status = Public on Dec 31 2011
!Sample_submission_date = Jul 07 2011
!Sample_last_update_date = Dec 31 2011
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = blood
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = tissue: blood
!Sample_characteristics_ch1 = population: Chinese
!Sample_characteristics_ch1 = gender: female
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was extracted from mononuclear cell preparations of leukemic blasts obtained from peripheral blood using the Qiagen DNA Blood Mini Kit. DNA quality and quantity was assessed using a Nanodrop Spectrophotometer and agarose gel electrophoresis.
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = As per manufacturer (Affymetrix)
!Sample_hyb_protocol = DNA was restriction digested, PCR amplified, fragmented, labeled and hybridized to each array according to the manufacturer's instructions.
!Sample_scan_protocol = The Arrays were then washed using Affymetrix fluidics stations, and scanned using the Gene Chip Scanner 3000.
!Sample_data_processing = Data genotyped by Birdsuite provided as Series supplementary file; CHP data in tables was processed by Affymetrix Power Tools 1.10.2
!Sample_platform_id = GPL6801
!Sample_contact_name = Haiyi,,Lou
!Sample_contact_institute = CAS-MPG PICB
!Sample_contact_address = 320 Yueyang Road
!Sample_contact_city = Shanghai
!Sample_contact_zip/postal_code = 200031
!Sample_contact_country = China
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM755nnn/GSM755921/suppl/GSM755921_sample40.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM755nnn/GSM755921/suppl/GSM755921_sample40.CN5.CNCHP.gz
!Sample_series_id = GSE30481
!Sample_data_row_count = 1813441
#ID_REF = 
#VALUE = CN STATE
#CHROMOSOME = 
#POSITION = 
#LOG2 RATIO = 
#SMOOTH SIGNAL = 
#LOH = 
#ALLELE DIFFERENCE = 
!sample_table_begin
ID_REF	VALUE	CHROMOSOME	POSITION	LOG2 RATIO	SMOOTH SIGNAL	LOH	ALLELE DIFFERENCE
CN_473963	1.000000	1	51586	-0.756133	1.071614	nan	nan
CN_473964	1.000000	1	51659	-0.444155	1.071687	nan	nan
CN_473965	1.000000	1	51674	-0.695369	1.071701	nan	nan
CN_473981	1.000000	1	52771	-0.801873	1.072787	nan	nan
CN_473982	1.000000	1	52788	-0.540595	1.072804	nan	nan
CN_497981	1.000000	1	62627	-0.463097	1.082661	nan	nan
CN_502615	1.000000	1	75787	-0.353307	1.096124	nan	nan
CN_502613	1.000000	1	75849	-0.366857	1.096188	nan	nan
CN_502614	1.000000	1	76175	-0.526198	1.096525	nan	nan
CN_502616	1.000000	1	76192	-0.142378	1.096543	nan	nan
CN_502843	1.000000	1	88453	-0.295421	1.109301	nan	nan
CN_466171	2.000000	1	218557	0.213291	2.097443	nan	nan
CN_468414	2.000000	1	218926	0.128378	2.097084	nan	nan
CN_468412	2.000000	1	219009	0.500313	2.097003	nan	nan
CN_468413	2.000000	1	219024	0.057340	2.096989	nan	nan
CN_470565	2.000000	1	219470	0.285730	2.096555	nan	nan
CN_468424	2.000000	1	225521	-0.269223	2.090656	nan	nan
CN_468425	2.000000	1	225579	-0.658542	2.090599	nan	nan
CN_460512	2.000000	1	346294	-0.021326	2.218715	nan	nan
CN_460513	2.000000	1	346393	0.187765	2.218715	nan	nan
!sample_table_end
