^SAMPLE = GSM62968
!Sample_title = HCC15
!Sample_geo_accession = GSM62968
!Sample_status = Public on Feb 21 2006
!Sample_submission_date = Jul 04 2005
!Sample_last_update_date = Feb 21 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = HCC15 Squamous Cell Carcinoma Cell Line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = HCC15 Squamous Cell Carcinoma Cell Line
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cyanine 5
!Sample_source_name_ch2 = Male genomic
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = NOVAGEN POOLED MALE REFERENCE GENOMIC DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = cyanine 3
!Sample_description = cyanine 5 = sample
!Sample_description = cyanine 3 = reference
!Sample_data_processing = N/A
!Sample_platform_id = GPL2043
!Sample_contact_name = William,Wallace,Lockwood
!Sample_contact_email = william.lockwood@nih.gov
!Sample_contact_institute = National Human Genome Research Institute
!Sample_contact_address = 50 South Drive
!Sample_contact_city = Bethesda
!Sample_contact_state = MD
!Sample_contact_zip/postal_code = 20892
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2922
!Sample_data_row_count = 104544
#ID_REF = 
#Spot Mean Intensity (w595) = Mean Spot Pixel Intensity - Cy3 channel
#Spot Mean Intensity (w685) = Mean Spot Pixel Intensity - Cy5 channel
#Background Median Intensity (w595) = Median Background Pixel Intensity - Cy3 channel
#Background Median Intensity (w685) = Median Background Pixel Intensity - Cy5 channel
#Spot Normalized Intensity (w595) = Spot Mean - Background Median
#Spot Normalized Intensity (w685) = Spot Mean - Background Median
#Spot SNR (w595) = Signal to noise ratio - Cy3
#Spot SNR (w685) = Signal to noise ratio - Cy5
#Spot Ratio (w595) = Cy3/Cy5
#Spot Ratio (w685) = Cy5/Cy3
#Spot Log2 Ratio (w595) = log2(Cy3/Cy5) (global mean set to "0")
#VALUE = log2(Cy5/Cy3) (global mean set to "0")
!sample_table_begin
ID_REF	Spot Mean Intensity (w595)	Spot Mean Intensity (w685)	Background Median Intensity (w595)	Background Median Intensity (w685)	Spot Normalized Intensity (w595)	Spot Normalized Intensity (w685)	Spot SNR (w595)	Spot SNR (w685)	Spot Ratio (w595)	Spot Ratio (w685)	Spot Log2 Ratio (w595)	VALUE
1	11042.83	6329.65	756	2629	10286.83	3700.65	286.6799	95.3507	1.061373	0.9421742	0.08593141	-0.08593421
2	8074.51	5218.56	805	2639	7269.51	2579.561	199.0318	60.1788	1.07603	0.9293401	0.1057186	-0.1057214
3	12940.92	7285.54	826	2682	12114.92	4603.54	459.218	118.8056	1.004832	0.9951897	0.00695383	-0.006956623
4	11815.79	6511.45	822.5	2655	10993.29	3856.45	488.153	90.066	1.088441	0.9187433	0.1222634	-0.1222662
5	8966.32	5449.89	811	2646	8155.32	2803.89	321.147	76.0005	1.110567	0.9004389	0.1512969	-0.1512996
6	13605.34	7154.01	792	2658.5	12813.34	4495.51	327.049	129.6134	1.088299	0.9188634	0.122075	-0.1220777
7	12977.01	7615.43	1644.5	2948.5	11332.51	4666.93	9.72235	9.98704	0.9271708	1.078548	-0.109093	0.1090902
8	10782.61	6447.44	3453	3721	7329.61	2726.439	15.34321	11.20407	1.026479	0.9742022	0.0377041	-0.0377069
9	12524.42	6579.27	3713.5	3904	8810.92	2675.268	47.064	37.2132	1.257531	0.7952074	0.3305941	-0.3305969
10	16033.43	8063.39	3557.5	3828	12475.93	4235.39	44.7792	32.3134	1.124722	0.8891071	0.1695682	-0.169571
11	11056.95	6573.93	1470	2962	9586.95	3611.93	7.7956	7.04353	1.01346	0.9867169	0.01928913	-0.01929192
12	11912.15	7060.85	805	2639	11107.15	4421.85	319.151	106.1982	0.9590983	1.042644	-0.06024934	0.06024654
13	13133.05	7348.76	780	2648	12353.05	4700.76	331.793	132.4939	1.003393	0.9966164	0.004886979	-0.004889772
14	11407.45	6479.77	785	2653	10622.45	3826.77	276.8617	111.5553	1.059882	0.9434992	0.08390402	-0.08390681
15	14437.24	7788.34	788	2639	13649.24	5149.34	384.606	149.79	1.012097	0.9880462	0.01734685	-0.01734965
16	10297.25	5652.92	787	2646	9510.25	3006.916	252.9756	75.9834	1.207635	0.8280628	0.272185	-0.2721878
17	11182.81	6478.31	799	2652.5	10383.81	3825.81	249.2164	78.2715	1.036332	0.9649404	0.05148553	-0.05148832
18	18006.94	9424.67	803	2657	17203.94	6767.67	397.204	159.8262	0.9706299	1.030257	-0.04300679	0.04300399
19	9674.69	5713.45	805	2650.5	8869.69	3062.949	158.9865	56.9583	1.10569	0.9044108	0.1449472	-0.14495
20	12300.72	7269.22	791	2650.5	11509.72	4618.72	240.6658	92.8886	0.9514986	1.050972	-0.07172657	0.07172377
!sample_table_end
