^SAMPLE = GSM751078
!Sample_title = Ovarian cancer tissue from Taiwan LB625
!Sample_geo_accession = GSM751078
!Sample_status = Public on Oct 25 2012
!Sample_submission_date = Jun 29 2011
!Sample_last_update_date = Oct 25 2012
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Ovarian Cancer tissue
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = histotype: Mucinous
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Tumor genomic DNAs were extracted by using phenol-chloroform extraction method. Tumor RNAs were extracted by using Qiazol followed by column clean-up using miRNeasy kit (Qiagen).
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = As per manufacturer (Affymetrix)
!Sample_hyb_protocol = DNA was restriction digested, PCR amplified, fragmented, labeled and hybridized to each array according to the manufacturer's instructions.
!Sample_scan_protocol = Affymetrix standard procedure
!Sample_description = Epithelial ovarian cancers
!Sample_description = primary_data_description:  Log relative ratio calclulated by Affymetric Genotyping Console
!Sample_data_processing = CEL files and CHP files are processed and normalized with Hapmap CHB using the Affymetric Genotyping Console.
!Sample_platform_id = GPL6801
!Sample_contact_name = Liang,,Goh
!Sample_contact_email = liang.goh@duke-nus.edu.sg
!Sample_contact_institute = Duke-NUS graduate medical school
!Sample_contact_address = College Road
!Sample_contact_city = Singapore
!Sample_contact_zip/postal_code = 169857
!Sample_contact_country = Singapore
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM751nnn/GSM751078/suppl/GSM751078.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM751nnn/GSM751078/suppl/GSM751078.CNCHP.gz
!Sample_series_id = GSE30300
!Sample_series_id = GSE30311
!Sample_data_row_count = 1813441
#ID_REF = 
#VALUE = CN STATE
#LOG2 RATIO = 
#SMOOTH SIGNAL = 
#LOH = 
#ALLELE DIFFERENCE = 
!sample_table_begin
ID_REF	VALUE	LOG2 RATIO	SMOOTH SIGNAL	LOH	ALLELE DIFFERENCE
CN_473963	3.000000	0.076091	2.679188	nan	nan
CN_473964	3.000000	0.150218	2.679341	nan	nan
CN_473965	3.000000	0.173549	2.679372	nan	nan
CN_473981	3.000000	0.302158	2.681676	nan	nan
CN_473982	3.000000	-0.078478	2.681712	nan	nan
CN_497981	3.000000	0.024803	2.702558	nan	nan
CN_502615	3.000000	0.352412	2.730808	nan	nan
CN_502613	3.000000	0.464936	2.730942	nan	nan
CN_502614	3.000000	0.471481	2.731645	nan	nan
CN_502616	3.000000	0.470242	2.731682	nan	nan
CN_502843	3.000000	0.266495	2.758161	nan	nan
CN_466171	3.000000	1.027280	2.527179	nan	nan
CN_468414	3.000000	0.528295	2.527287	nan	nan
CN_468412	3.000000	-0.202768	2.527312	nan	nan
CN_468413	3.000000	-0.330063	2.527316	nan	nan
CN_470565	3.000000	-0.441753	2.527448	nan	nan
CN_468424	3.000000	0.290761	2.529250	nan	nan
CN_468425	3.000000	0.444867	2.529267	nan	nan
CN_460512	3.000000	0.007908	2.810279	nan	nan
CN_460513	3.000000	0.537589	2.810281	nan	nan
!sample_table_end
