^SAMPLE = GSM599857
!Sample_title = PNF5_Plexiform_Neurofibroma
!Sample_geo_accession = GSM599857
!Sample_status = Public on Sep 30 2011
!Sample_submission_date = Sep 23 2010
!Sample_last_update_date = Oct 05 2011
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = plexiform neurofibroma
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: plexiform neurofibroma
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = High-molecular-weight DNAs from patients and healthy donors were prepared by standard proteinase K digestion followed by phenol-chloroform extraction from wholeblood leukocytes.
!Sample_extract_protocol_ch1 = The quantity and quality of the DNA samples were assessed with Nanodrop technology (Coleman Technologies, Orlando, FL) and verified by electrophoresis through agarose gels and staining with ethidium bromide.
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = 500 ng of genomic DNA from each sample was double digested with AluI and RsaI (Promega, Madison, WI) for 2 hours at 37Â°C. The digested DNAs were labeled by random priming with the Agilent Genomic DNA Labeling Kit Plus (Agilent technologies) for 2 hours at 37Â°C, according to the manufacturerâs instructions. tumor and constitutional DNA were labeled with Cy5-dUTP and Cy3-dUTP, respectively
!Sample_source_name_ch2 = constitutional DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = cell type: whole-blood leukocytes
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = High-molecular-weight DNAs from patients and healthy donors were prepared by standard proteinase K digestion followed by phenol-chloroform extraction from wholeblood leukocytes.
!Sample_extract_protocol_ch2 = The quantity and quality of the DNA samples were assessed with Nanodrop technology (Coleman Technologies, Orlando, FL) and verified by electrophoresis through agarose gels and staining with ethidium bromide.
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = 500 ng of genomic DNA from each sample was double digested with AluI and RsaI (Promega, Madison, WI) for 2 hours at 37Â°C. The digested DNAs were labeled by random priming with the Agilent Genomic DNA Labeling Kit Plus (Agilent technologies) for 2 hours at 37Â°C, according to the manufacturerâs instructions. tumor and constitutional DNA were labeled with Cy5-dUTP and Cy3-dUTP, respectively
!Sample_hyb_protocol = Labeled products were purified with Microcon YM-30 filters (Millipore, Billerica, MA). Tumor and constitutional DNAs were mixed and hybridized with Human Cot I DNA (Invitrogen) at 65Â°C for 24 hours. The sandwiched slides were hybridized for 24 hours at 65Â°C with 15 rotations per minute and washed according to the Agilent protocol.
!Sample_scan_protocol = Arrays were scanned with an Agilent DNA Microarray Scanner (G2565BA).
!Sample_data_processing = Log ratios were determined with Agilent Feature Extraction software (v 9.1.3.1). Results were visualized and analyzed with Agilentâs CGH Analytics v3.5 software, and copy number aberrations were detected with the Aberration Detection Method 2 (ADM-2) algorithm using a threshold value of 6.0. This threshold value of the altered copy number was determined from the normal variation in the control hybridization.
!Sample_platform_id = GPL4091
!Sample_contact_name = Eric,,Pasmant
!Sample_contact_email = eric.pasmant@gmail.com
!Sample_contact_department = EA7331
!Sample_contact_institute = Paris Descartes University
!Sample_contact_address = FacultÃ© de Pharmacie de Paris, 4 avenue de lâObservatoire
!Sample_contact_city = Paris
!Sample_contact_zip/postal_code = 75006
!Sample_contact_country = France
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM599nnn/GSM599857/suppl/GSM599857_US84600241_251469312874_COL5.txt.gz
!Sample_series_id = GSE24328
!Sample_data_row_count = 243430
#ID_REF = 
#VALUE = normalized log10 ratio (Cy5/Cy3) representing tumor/constitutional
!sample_table_begin
ID_REF	VALUE
1	1.302339928e-002
2	-3.476517463e-001
3	-5.878307724e-001
4	-3.162412623e-002
5	-3.060418872e-002
6	-9.885675625e-002
7	5.022139628e-002
8	6.588428698e-003
9	5.748197676e-002
10	-1.615911093e-001
11	2.632270858e-002
12	-9.128905387e-004
13	2.358520568e-002
14	8.564641079e-002
15	3.033544701e-002
16	-6.605652382e-002
17	-1.764692180e-002
18	3.867979371e-003
19	-7.891714502e-002
20	5.669077895e-002
!sample_table_end
