^SAMPLE = GSM324875
!Sample_title = VUMC_myo_carc_11 (2)
!Sample_geo_accession = GSM324875
!Sample_status = Public on Oct 01 2008
!Sample_submission_date = Sep 26 2008
!Sample_last_update_date = Sep 30 2008
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = myoepithelial carcinoma
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = primary myoepithelial carcinoma of the salivary glands, FFPE material, spindle cell morphology, female
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = standard phenol/chloroform extraction, described by Vekony et al, clin cancer res 2007
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = according to snijders et al, 2001
!Sample_source_name_ch2 = reference DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = normal DNA pooled from the blood of ten healthy males
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNAzol (Invitrogen) according to manufacturer's protocol
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = according to snijders et al, 2001
!Sample_hyb_protocol = Hybridization protocol available via www.vumc.nl/microarrays
!Sample_hyb_protocol = Also described in Van den IJssel et al, Nucleic Acids Res. 2005 Dec 16;33(22):e192
!Sample_hyb_protocol = no prehyb solution used
!Sample_scan_protocol = Microarray Scanner G2565AB (Agilent Technologies), default settings
!Sample_description = For preparation of the hybridization mixture 50 Âµl of Cy3-labeled test DNA, 50 Âµl of Cy5-labeled reference DNA and 100 Âµg Human Cot-1 DNA (Invitrogen) were mixed and precipitated using 0.1 volume of 3 M NaAc pH 5.2 and 2.5 volume of ice-cold absolute ethanol. After mixing by inversion the DNA was collected by centrifugation for 30 min at 20,000 g and 4Â°C, the supernatant aspirated and the pellet air-dried for approximately 5-10 min. The pellet was then dissolved in 13 Âµl water and 26 Âµl 20% SDS taking care to prevent foam formation. After incubating at room temperature for 15 min 91 Âµl of Master mix (14.3 % (w/v) dextran sulphate (USB), 71% (v/v) formamide (Invitrogen), 2.9 X SSC pH 7.0 (Sigma)) was added and gently mixed. The hybridization solution was then incubated at 73Â°C for 10 min to denature the DNA and subsequently at 37Â°C for 60 min to allow the Cot-1 DNA to block repetitive sequences. Hybridization and washing was done automatically using a GeneTAC/HybArray12 hybstation (Genomic Solutions / Perkin Elmer). Hybridization was for 38 h at 37Â°C. Subsequently slides were washed 6 cycles (flow for 10 s, hold for 20 s) with 50% (v/v) formamide, 2X SSC, 2 cycles with phosphate-buffer (0.1 M Na2HPO4/NaH2PO4, pH 8.0, 0.1% (v/v) Igepal CA630 (Sigma)), 2 cycles with 0.2 X SSC (Sigma) and 2 cycles with 0.1 X SSC. Slides were then taken out of the hybstation and briefly rinsed in 0.01 X SSC, dried by centrifugation for 3 min at 1000 g and scanned using a Microarray Scanner G2565AB (Agilent Technologies).
!Sample_data_processing = Spot analysis and quality control was fully automated using BlueFuse version 3.4 (BlueGnome, Cambridge, UK). Spots were excluded when the quality flag was less than 1, the Confidence value less than 0.3, when stdev was larger than 0.2 or when no chromosomal mapping information was available. Log2ratioâs of spots that were not excluded after quality flagging and mapping were normalized to their median value
!Sample_platform_id = GPL7394
!Sample_contact_name = Daoud,,Sie
!Sample_contact_email = d.sie@vumc.nl
!Sample_contact_phone = +31 20 4442428
!Sample_contact_laboratory = Microarray Core Facility
!Sample_contact_department = Pathology
!Sample_contact_institute = Vrije Universiteit Medical Center
!Sample_contact_address = De Boelelaan 1117
!Sample_contact_city = Amsterdam
!Sample_contact_zip/postal_code = 1081 HV
!Sample_contact_country = Netherlands
!Sample_supplementary_file = NONE
!Sample_series_id = GSE12951
!Sample_data_row_count = 21168
#ID_REF = 
#CONFIDENCE = The Confidence Estimate in the calculated ratio, between 0 and 1, calculated by BlueFuse
#AMPCH1 = Total signal in channel 1 (Cy3
#AMPCH2 = Total signal in channel 2 (Cy5
#LOG2RATIO CH1/CH2 = Log, base 2, of the ratio of total signal in channel 1 divided by total signal in channel 2
#QUALITY = A flag to highlight spots that suffer from poor printing and other experimental artefacts (1 acceptable; 0 not acceptable), estimated by BlueFuse
#VALUE = Median normalized value of the log2ratio, replicates are fused by BlueFuse, features with confidence < 0.3 or stdev > 0.2 or quality 0 are excluded
!sample_table_begin
ID_REF	CONFIDENCE	AMPCH1	AMPCH2	LOG2RATIO CH1/CH2	QUALITY	VALUE
1	0.01	225.826	94.196	1.261	0	
2	0.01	142.476	19.555	2.865	0	
3	0.01	182.333	26.146	2.802	0	
4	0.01	154.014	20.282	2.925	1	
5	0.01	158.728	25.03	2.665	0	
6	0.01	1.967	1.422	0.469	0	
7	0.01	26.977	16.594	0.701	0	
8	0.01	6.644	5.499	0.273	0	
9	0.01	21.154	46.316	-1.131	0	
10	0.01	99.733	31.401	1.667	0	
11	0.08	202.746	90.538	1.163	0	
12	0.05	138.916	93.328	0.574	0	
13	0.01	164.109	83.914	0.968	0	
14	0.11	214.832	105.901	1.02	1	
15	0.07	189.343	73.068	1.374	1	
16	0.1	220.283	100.226	1.136	1	
17	0.11	199.343	88.866	1.166	1	
18	0.11	238.173	114.71	1.054	1	
19	0.11	184.576	75.314	1.293	1	
20	0.09	196.941	86.579	1.186	1	
!sample_table_end
