^SAMPLE = GSM723070
!Sample_title = Peripheral blood healthy control C006_Xba
!Sample_geo_accession = GSM723070
!Sample_status = Public on Aug 01 2011
!Sample_submission_date = May 12 2011
!Sample_last_update_date = Aug 01 2011
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Peripheral blood
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: Peripheral blood healthy control
!Sample_characteristics_ch1 = subject id: C006
!Sample_characteristics_ch1 = gender: female
!Sample_growth_protocol_ch1 = Cell lines were grown according to standard conditions.
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was obtained from cell lines or peripheral blood with PureLink genomic DNA kit. DNA quality and quantity was assessed using a Nanodrop Spectrophotometer, PicoGreen and agarose gel electrophoresis.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = As per manufacturer (Affymetrix)
!Sample_hyb_protocol = DNA was restriction digested, PCR amplified, fragmented, labeled and hybridized to each array according to the manufacturer's instructions.
!Sample_scan_protocol = The Arrays were then washed using Affymetrix fluidics stations, and scanned using the Gene Chip Scanner 3000.
!Sample_description = Hybridized to Mapping50K_Xba240
!Sample_data_processing = CEL files and CHP files (generated by Affymetrix GeneChip Command Console using the BRLMM algorithm) were processed by Affymetrix Genotyping Console 4.0. For this analysis, the protocol of un-paired samples was followed. Briefly, the parameters were set as follows: quantile normalization was performed at the perfect match (PM) probe level, followed by summarization of the signal intensity for each allele of each SNP. Genomic smoothing was set to 0.5 Mb and a five state Hidden Markov Model (HMM) was applied for smoothing and segmenting CN data. The different states were defined as follows: 0=homozygous deletion; 1=heterozygous deletion; 2=normal diploid; 3=single copy gain and 4=amplification. Each SNP was fitted to one of the possible CN states with a transition decay of 10 Mb and a threshold for SNP outlier of 1000 bp.
!Sample_data_processing = CHP files of 4 cell lines and 38 healty controls.
!Sample_platform_id = GPL2005
!Sample_contact_name = Jaime,,Berumen
!Sample_contact_email = jaimeberumen@hotmail.com
!Sample_contact_phone = +52(55)27892000
!Sample_contact_laboratory = Unidad de Medicina GenÃ³mica
!Sample_contact_department = Departamento de Medicina Experimental
!Sample_contact_institute = Universidad Nacional Autonoma de Mexico
!Sample_contact_address = Dr. Balmis #148 Col. Doctores 
!Sample_contact_city = Mexico City
!Sample_contact_zip/postal_code = 06726
!Sample_contact_country = Mexico
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM723nnn/GSM723070/suppl/GSM723070.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM723nnn/GSM723070/suppl/GSM723070.chp.gz
!Sample_series_id = GSE29244
!Sample_series_id = GSE29245
!Sample_data_row_count = 58991
#ID_REF = PROBE SET NAME
#VALUE = CALL
#CONFIDENCE = 
#FORCED CALL = 
#CONTRAST = 
#STRENGTH = 
!sample_table_begin
ID_REF	VALUE	CONFIDENCE	FORCED CALL	CONTRAST	STRENGTH
AFFX-601964	BB	0.009898	BB	-0.910421	12.614829
AFFX-656757	AB	0.002220	AB	-0.200824	13.771797
AFFX-721431	AA	0.004334	AA	0.850172	13.505253
AFFX-737848	AA	0.065383	AA	0.639888	11.758585
AFFX-1329481	AB	0.007432	AB	0.000602	14.383671
AFFX-1375402	AA	0.003212	AA	0.861861	12.463537
AFFX-1987483	BB	0.001585	BB	-0.751298	13.757774
AFFX-2208108	AB	0.008205	AB	0.127264	12.867780
AFFX-2343975	AA	0.018344	AA	0.845210	13.201148
AFFX-2436931	BB	0.002903	BB	-0.776027	12.590781
AFFX-2557092	BB	0.009883	BB	-0.883003	13.815004
AFFX-2629782	BB	0.001184	BB	-0.838149	13.036306
AFFX-335883	BB	0.025606	BB	-0.766038	12.892026
AFFX-2147527	AB	0.006356	AB	0.108500	12.701503
AFFX-532031	AB	0.002577	AB	-0.019978	14.262830
AFFX-811529	AB	0.003976	AB	-0.118381	14.415246
AFFX-1304348	BB	0.009252	BB	-0.705841	13.585843
AFFX-1852733	AA	0.012557	AA	0.585133	13.408899
AFFX-2126602	BB	0.006207	BB	-0.832602	13.957933
AFFX-2899757	AA	0.014819	AA	0.799579	12.926551
!sample_table_end
