^SAMPLE = GSM901092
!Sample_title = UT-SCC-1A
!Sample_geo_accession = GSM901092
!Sample_status = Public on Dec 01 2012
!Sample_submission_date = Mar 26 2012
!Sample_last_update_date = Dec 01 2012
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = HNSCC
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: HNSCC
!Sample_characteristics_ch1 = cetuximab response: cetuximab resistant
!Sample_treatment_protocol_ch1 = Cells were seeded and allowed to attach for 24h, then treated with 30 nM cetuximab for 48h, supplemented with fresh medium and grown for another 7 days
!Sample_growth_protocol_ch1 = Cells were grown in DMEM supplemented with 10% FBS, 2 mM glutamine, 1% NE amino acids, and penicillin and streptomycin
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was extracted with Maxwell 16 Cell purification kit
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = DNA fragments were biotin labelled using terminal deoxynucleotidyl transferase
!Sample_hyb_protocol = Hybridized in GeneChip Hybrydization oven 16-18h, stained with R-phycoerythrin streptavidin and biotinylated goat-anti-streptavidin antibodies
!Sample_scan_protocol = GeneChip scanner 3000 7G
!Sample_data_processing = Genotyping console, CN5 algorithm
!Sample_platform_id = GPL6801
!Sample_contact_name = Fredrik,,Jerhammar
!Sample_contact_email = fredrik.jerhammar@liu.se
!Sample_contact_phone = +4613221500
!Sample_contact_institute = Linkoping University
!Sample_contact_address = -
!Sample_contact_city = Linkoping
!Sample_contact_zip/postal_code = 58183
!Sample_contact_country = Sweden
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM901nnn/GSM901092/suppl/GSM901092_UTSCC-1_GenomeWideSNP_6_.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM901nnn/GSM901092/suppl/GSM901092_UTSCC-1_GenomeWideSNP_6_.CN5.CNCHP.gz
!Sample_series_id = GSE36790
!Sample_data_row_count = 1813441
#ID_REF = 
#VALUE = CN STATE
#LOG2 RATIO = 
#SMOOTH SIGNAL = 
#LOH = 
#ALLELE DIFFERENCE = 
!sample_table_begin
ID_REF	VALUE	LOG2 RATIO	SMOOTH SIGNAL	LOH	ALLELE DIFFERENCE
CN_473963	3.000000	0.345972	2.615029	nan	nan
CN_473964	3.000000	-0.129647	2.615235	nan	nan
CN_473965	3.000000	0.026661	2.615277	nan	nan
CN_473981	3.000000	-0.086503	2.618372	nan	nan
CN_473982	3.000000	-0.026221	2.618420	nan	nan
CN_497981	3.000000	0.194448	2.646285	nan	nan
CN_502615	3.000000	0.310079	2.683631	nan	nan
CN_502613	3.000000	0.219880	2.683806	nan	nan
CN_502614	3.000000	0.660838	2.684730	nan	nan
CN_502616	3.000000	0.807727	2.684778	nan	nan
CN_502843	3.000000	0.156742	2.719299	nan	nan
CN_466171	3.000000	-0.010981	2.332301	nan	nan
CN_468414	3.000000	0.124228	2.331797	nan	nan
CN_468412	3.000000	0.996604	2.331684	nan	nan
CN_468413	3.000000	0.527137	2.331663	nan	nan
CN_470565	3.000000	0.251031	2.331054	nan	nan
CN_468424	2.000000	-0.583350	2.322777	nan	nan
CN_468425	2.000000	-0.454296	2.322697	nan	nan
CN_460512	2.000000	0.352987	2.618792	nan	nan
CN_460513	2.000000	0.079331	2.618791	nan	nan
!sample_table_end
