^SAMPLE = GSM800
!Sample_title = CGH_Albertson_GM03134-001218
!Sample_geo_accession = GSM800
!Sample_status = Public on Feb 12 2002
!Sample_submission_date = Jan 17 2002
!Sample_last_update_date = Nov 30 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Cell line GM03134
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Coriell cell line repository identifier: GM03134
!Sample_characteristics_ch1 = http://locus.umdnj.edu/nigms/nigms_cgi/display.cgi?GM03134
!Sample_biomaterial_provider_ch1 = Coriell Cell Repositories
!Sample_biomaterial_provider_ch1 = Coriell
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = normal male reference genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_biomaterial_provider_ch2 = Coriell
!Sample_molecule_ch2 = genomic DNA
!Sample_description = Coriell Cell Repositories cell line <a href="http://locus.umdnj.edu/nigms/nigms_cgi/display.cgi?GM03134">GM03134</a>.
!Sample_description = Fibroblast cell line derived from a 3 month old male with multiple congenital anomalies.
!Sample_description = Chromosomal abnormalities are present.
!Sample_description = Karyotype is 46,XY,del(8)(pter>q13::q22>qter)
!Sample_platform_id = GPL28
!Sample_contact_name = Donna,G,Albertson
!Sample_contact_email = albertson@cc.ucsf.edu
!Sample_contact_phone = 415 502-8463
!Sample_contact_department = Comprehensive Cancer Center
!Sample_contact_institute = University of California San Francisco
!Sample_contact_address =  
!Sample_contact_city = San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94143
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE16
!Sample_data_row_count = 2463
#ID_REF = Unique row identifier, genome position order
#VALUE = aka LOG2RATIO, mean of log base 2 of LINEAR_RATIO
#LINEAR_RATIO = Mean of replicate Cy3/Cy5 ratios
#LOG2STDDEV = Standard deviation of VALUE
#NO_REPLICATES = Number of replicate spot measurements
!sample_table_begin
ID_REF	VALUE	LINEAR_RATIO	LOG2STDDEV	NO_REPLICATES
1		0.950777	0.01481	3
2				0
3	0.02617	1.018305	0.003235	3
4	-0.017889	0.987677	0.009048	3
5	0.048327	1.034065	0.004443	3
6	0.059511	1.042112	0.001573	2
7	-0.035042	0.976004	0.00387	3
8	0.025053	1.017517	0.005049	3
9	-0.059712	0.959456	0.004498	3
10	-0.046926	0.967997	0.010519	3
11	0.157643	1.115463	0.15783	3
12				0
13	0.053069	1.037469	0.008728	3
14	0.035591	1.024976	0.00943	3
15	0.062206	1.044061	0.002775	3
16	-0.038047	0.973973	0.018445	3
17	0.093562	1.067001	0.017554	3
18	-0.005821	0.995974	0.005743	3
19	0.018855	1.013155	0.003026	3
20	0.019643	1.013709	0.012156	3
!sample_table_end
