^SAMPLE = GSM2087353
!Sample_title = neuroblastoma tumor touch imprint 07
!Sample_geo_accession = GSM2087353
!Sample_status = Public on Aug 31 2016
!Sample_submission_date = Mar 14 2016
!Sample_last_update_date = Aug 31 2016
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = neuroblastoma tumor tissue, tumor touch imprint
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = diagnosis: neuroblastoma
!Sample_treatment_protocol_ch1 = Tumor pieces were pressed gently onto a standard microscopic glass slide to generate the tumor touch imprints. The cells on the glass slides were air dried for fixation. The fixed cells were collected with a polypropylen swab and washed with phosphate buffered saline. Finally DNA was extracted from these cells.
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = gDNA was extracted from tumor touch imprint cells following the high salt method from Miller SA (1988): Proteinase K digestion at 56 Â°C overnight, protein precipitation with 6 M NaCl, DNA precipitation with absolute ethanol, DNA dissolved in TE buffer.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Affymetrix Cytoscan HD protocol
!Sample_hyb_protocol = Affymetrix Cytoscan HD protocol
!Sample_scan_protocol = Affymetrix Cytoscan HD protocol
!Sample_data_processing = Affymetrix fluorescence intensity raw data (cel files) were processed with the Chromosome Analysis Suite (version 2.1) with default parameters resulting in Affymetrix Cytoscan HD cychp files.
!Sample_data_processing = Affymetrix Cytoscan HD array fluorescence intensity raw data
!Sample_platform_id = GPL16131
!Sample_contact_name = Clemens,,Brunner
!Sample_contact_email = clemens.brunner@ccri.at
!Sample_contact_department = Tumor Biology
!Sample_contact_institute = Children's Cancer Research Institute
!Sample_contact_address = Zimmermannplatz 10
!Sample_contact_city = Vienna
!Sample_contact_zip/postal_code = 1090
!Sample_contact_country = Austria
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2087nnn/GSM2087353/suppl/GSM2087353_NB07.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2087nnn/GSM2087353/suppl/GSM2087353_NB07.cychp.gz
!Sample_series_id = GSE79187
!Sample_data_row_count = 2749693
#ID_REF = 
#VALUE = LOG2 RATIO
#WEIGHTED LOG2 RATIO = 
#SMOOTH SIGNAL = 
!sample_table_begin
ID_REF	VALUE	WEIGHTED LOG2 RATIO	SMOOTH SIGNAL
C-7SARK	0.342227	0.149643	2.272168
C-4WYLN	0.164980	0.213074	2.269519
C-3BFNY	0.007430	0.076874	2.267256
C-7ONNE	0.064162	0.139207	2.265041
C-6HYCN	0.182787	-0.016977	2.262489
C-7SCGC	0.010206	0.043125	2.259038
C-7RZQQ	-0.061488	-0.076311	2.256615
C-7RZWZ	-0.201286	-0.019618	2.252615
C-7SEBI	-0.245614	0.232314	2.249710
C-7RZIL	0.347832	0.284385	2.244773
C-4NQTX	0.199927	0.192796	2.239028
C-7SDKW	0.646370	0.239023	2.237149
S-3WRNV	nan	nan	nan
C-7RXVK	0.534195	0.464066	2.235884
C-4LHKS	0.607966	0.503304	2.234668
C-7RWHE	0.219204	0.443988	2.232948
C-7SBEJ	0.525251	0.475259	2.231094
C-7RYJO	0.775582	0.880124	2.229409
C-7SEGS	1.004334	0.902706	2.227408
C-4LLXK	0.795249	0.876633	2.226313
!sample_table_end
