^SAMPLE = GSM797
!Sample_title = CGH_Albertson_GM01535-001218
!Sample_geo_accession = GSM797
!Sample_status = Public on Feb 12 2002
!Sample_submission_date = Jan 17 2002
!Sample_last_update_date = Nov 30 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Cell line GM01218
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Coriell cell line repository identifier: GM01535
!Sample_characteristics_ch1 = http://locus.umdnj.edu/nigms/nigms_cgi/display.cgi?GM01535
!Sample_biomaterial_provider_ch1 = Coriell Cell Repositories
!Sample_biomaterial_provider_ch1 = Coriell
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = normal male reference genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_biomaterial_provider_ch2 = Coriell
!Sample_molecule_ch2 = genomic DNA
!Sample_description = Coriell Cell Repositories cell line <a href="http://locus.umdnj.edu/nigms/nigms_cgi/display.cgi?GM01535">GM01535</a>.
!Sample_description = Fibroblast cell line derived from a 16 year old female. Chromosomal abnormalities are present.
!Sample_description = Karyotype is 46,XX,-12,+der(12)t(5;12)(12pter> 12q24::5q33>5qter)mat
!Sample_platform_id = GPL28
!Sample_contact_name = Donna,G,Albertson
!Sample_contact_email = albertson@cc.ucsf.edu
!Sample_contact_phone = 415 502-8463
!Sample_contact_department = Comprehensive Cancer Center
!Sample_contact_institute = University of California San Francisco
!Sample_contact_address =  
!Sample_contact_city = San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94143
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE16
!Sample_data_row_count = 2463
#ID_REF = Unique row identifier, genome position order
#VALUE = aka LOG2RATIO, mean of log base 2 of LINEAR_RATIO
#LINEAR_RATIO = Mean of replicate Cy3/Cy5 ratios
#LOG2STDDEV = Standard deviation of VALUE
#NO_REPLICATES = Number of replicate spot measurements
!sample_table_begin
ID_REF	VALUE	LINEAR_RATIO	LOG2STDDEV	NO_REPLICATES
1		1.081258	0.024401	3
2				0
3	0.007281	1.00506	0.004231	3
4	-0.023923	0.983555	0.005558	3
5	0.086715	1.061949	0.007297	3
6	0.003886	1.002697	0.001241	3
7	-0.049983	0.965948	0.021931	3
8	-0.002775	0.998079	0.008357	3
9	-0.135067	0.910628	0.012203	3
10	-0.080434	0.945773	0.005845	3
11	-0.032122	0.977981	0.010748	3
12				0
13	0.120816	1.08735	0.01201	3
14	0.068592	1.048693	0.003349	3
15	0.167667	1.12324	0.053897	3
16	-0.08409	0.943379	0.00907	3
17	0.061534	1.043575	0.011189	3
18		0.969817	0	1
19	0.028241	1.019768	0.002223	3
20	0.012577	1.008756	0.02292	3
!sample_table_end
