^SAMPLE = GSM84262
!Sample_title = CGH_2005051122_Embryo1_cell4
!Sample_geo_accession = GSM84262
!Sample_status = Public on Feb 01 2006
!Sample_submission_date = Nov 18 2005
!Sample_last_update_date = Nov 21 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Amplified single-cell (blastomere number 4) gDNA (45,X)
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Single-cell gDNA following Phi29 whole genome amplification
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Non-amplified reference gDNA (46,XX)
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Reference genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Analysis Phi29 amplified single-cell gDNA versus non-amplified gDNA
!Sample_data_processing = Spot intensities were corrected for local background and only spots with signal intensities at least 1.2-fold above background were included in the analysis and log2 values were calculated. For each array, the normalised ratio was obtained by calculating the median of the log2 signal intensities over all the autosomal fragments with measurements from abnormal chromosomes masked out, and substracting this value from all the signal intensities of the spots on the array
!Sample_platform_id = GPL3091
!Sample_contact_name = Joris,R,Vermeesch
!Sample_contact_email = Joris.Vermeesch@uz.kuleuven.ac.be
!Sample_contact_department = Center for Human Genetics
!Sample_contact_institute = Katholic University Leuven
!Sample_contact_address = Herestraat, 49
!Sample_contact_city = Leuven
!Sample_contact_zip/postal_code = 3000
!Sample_contact_country = Belgium
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3642
!Sample_data_row_count = 8228
#ID_REF = 
#Cy5_signal = Mean of Cy5 foreground intensity
#Cy5_bkg = Median of Cy5 background intensity
#Cy3_signal = Mean of Cy3 foreground intensity
#Cy3_bkg = Median of Cy3 background intensity
#Cy5 = Cy5 signal
#Cy3 = Cy3 signal
#VALUE = Normalised log2 ratio defined as Cy5/Cy3
!sample_table_begin
ID_REF	Cy5_signal	Cy5_bkg	Cy3_signal	Cy3_bkg	Cy5	Cy3	VALUE
1	976	879	677	597			
2	1232	1071	914	778	161		
3	1241	863	1711	854	378	857	-1.187998395
4	1768	1477	1517	833	291	684	-1.240066597
5	1071	952	1887	1420		467	
6	1304	1197	1676	1199	107	477	-2.163467894
7	1223	981	1471	1193	242	278	-0.20716726
8	1409	1266	1356	1131	143	225	-0.660999279
9	2799	764	2113	939	2035	1174	0.786506961
10	3941	923	2344	816	3018	1528	0.974858838
11	1453	1072	1454	1166	381	288	0.396632761
12	1830	1344	1293	1126	486	167	1.534018786
13	6745	792	2533	755	5953	1778	1.736272145
14	8106	1761	2363	678	6345	1685	1.905782148
15	1486	803	2122	1024	683	1098	-0.692009996
16	1795	1239	1943	1125	556	818	-0.564105385
17	1501	822	2610	1153	679	1457	-1.108606823
18	1861	1058	2694	1104	803	1590	-0.992644297
19	3277	1092	2988	1036	2185	1952	0.155590802
20	3082	951	2801	1008	2131	1793	0.24206568
!sample_table_end
