^SAMPLE = GSM77539
!Sample_title = 2EP20
!Sample_geo_accession = GSM77539
!Sample_status = Public on Apr 14 2006
!Sample_submission_date = Oct 11 2005
!Sample_last_update_date = Apr 13 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled reference DNA from either 4 healthy males or females of the opposite sex compared to the sample.
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = 635nm
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Isolated tumor DNA, derived from ependymal tumors.
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = 532nm
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Comparison of normal versus tumor DNA (ependymoma). Whole-genome screening of DNA-copy number changes by array-based or matrix comparative genomic hybridization (matrix-CGH).
!Sample_data_processing = Genepix result files
!Sample_platform_id = GPL2920
!Sample_contact_name = Frank,,Mendrzyk
!Sample_contact_email = f.mendrzyk@dkfz.de
!Sample_contact_phone = 49-6221-424676
!Sample_contact_institute = German Cancer Research Center (DKFZ)
!Sample_contact_address =  
!Sample_contact_city = Heidelberg
!Sample_contact_zip/postal_code = 69120
!Sample_contact_country = Germany
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3435
!Sample_data_row_count = 19395
#ID_REF = 
#VALUE = Raw log ratio (Cy5/Cy3).
#CH1_RAW = Raw median signal intensity in Cy5-channel (635nm).
#CH1_MEAN = Raw mean signal intensity in Cy5-channel (635nm).
#CH1_SD = Signal intensity standard deviation in Cy5-channel (635nm).
#CH1_BKD_RAW = Raw median background intensity in Cy5-channel (635nm).
#CH1_BKD_MEAN = Raw mean background intensity in Cy5-channel (635nm).
#CH1_BKD_SD = Background intensity standard deviation in Cy5-channel (635nm).
#CH1_AREA = Signal area in Cy5-channel (635nm).
#CH1_BKD_AREA = Background area in Cy5-channel (635nm).
#CH2_RAW = Raw median signal intensity in Cy3-channel (532nm).
#CH2_MEAN = Raw mean signal intensity in Cy3-channel (532nm).
#CH2_SD = Signal intensity standard deviation in Cy3-channel (532nm).
#CH2_BKD_RAW = Raw median background intensity in Cy3-channel (532nm).
#CH2_BKD_MEAN = Raw mean background intensity in Cy3-channel (532nm).
#CH2_BKD_SD = Background intensity standard deviation in Cy3-channel (532nm).
#CH2_AREA = Signal area in Cy3-channel (532nm).
#CH2_BKD_AREA = Background area in Cy3-channel (532nm).
!sample_table_begin
ID_REF	VALUE	CH1_RAW	CH1_MEAN	CH1_SD	CH1_BKD_RAW	CH1_BKD_MEAN	CH1_BKD_SD	CH1_AREA	CH1_BKD_AREA	CH2_RAW	CH2_MEAN	CH2_SD	CH2_BKD_RAW	CH2_BKD_MEAN	CH2_BKD_SD	CH2_AREA	CH2_BKD_AREA
G000001-1	-0.403	3118	3226	1590	546	1898	5820	52	414	3769	3564	1593	369	685	2012	52	414
G000001-2	0.363	2751	5789	10497	888	4878	10317	120	763	1898	3238	4375	449	1588	4777	120	763
G000001-3	-0.303	2988	2870	1135	814	4055	10426	32	236	3126	3173	1513	443	1725	6199	32	236
G000002-1	-0.407	9405	9146	2126	448	463	139	52	340	12211	12512	2730	333	337	110	52	340
G000002-2	-0.485	9730	9641	1650	427	430	144	52	340	13335	13059	2162	316	325	101	52	340
G000002-3	-0.443	9307	8810	2147	445	453	141	52	420	12373	11727	3293	322	339	116	52	420
G000003-1	-0.379	6185	5489	2093	327	337	115	52	340	7923	7486	2460	303	312	96	52	340
G000003-2	-0.415	6225	5992	1501	358	375	151	52	340	8154	7695	2201	330	341	105	52	340
G000003-3	-0.304	6628	6170	1682	381	390	146	52	340	8044	7825	2309	331	335	98	52	340
G000004-1	-0.36	9079	8893	2422	374	386	241	52	340	11494	11465	2981	321	341	179	52	340
G000004-2	-0.356	8576	8129	2539	354	369	121	52	340	10839	9999	3866	315	328	110	52	340
G000004-3	-0.479	7992	8686	2611	372	376	134	52	340	10946	11685	2986	322	324	99	52	340
G000005-1	-0.263	9568	9770	2446	365	375	145	52	420	11345	12608	3905	303	315	101	52	420
G000005-2	-0.362	10547	10413	1506	350	356	116	52	340	13410	13274	1669	301	312	101	52	340
G000005-3	-0.41	9361	9641	2047	336	351	114	52	420	12316	12301	2559	322	324	104	52	420
G000006-1	-0.24	14807	14143	3199	324	336	114	120	654	17402	17110	3261	302	313	100	120	654
G000006-2	-0.314	14104	13665	4204	312	329	121	120	651	17449	16522	5083	307	318	97	120	651
G000006-3	-0.246	15057	14294	3742	317	336	116	120	628	17819	17477	4295	334	344	103	120	628
G000007-1	0.371	10634	11705	12524	551	2976	8676	120	673	8159	9052	8730	360	1202	4114	120	673
G000007-2	-0.335	8376	9181	6001	610	2279	6389	52	334	10162	10153	3521	363	893	2785	52	334
!sample_table_end
