^SAMPLE = GSM40582
!Sample_title = M23 Cy3
!Sample_geo_accession = GSM40582
!Sample_status = Public on Nov 30 2005
!Sample_submission_date = Feb 01 2005
!Sample_last_update_date = Oct 06 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled reference DNA from either 4 healthy males or females of the opposite sex compared to the sample.
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = Isolated tumor DNA, derived from cerebellar medulloblastoma.
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = Comparison of normal versus tumor DNA (medulloblastoma). Whole-genome screening of DNA-copy number changes by array-based or matrix comparative genomic hybridization (matrix-CGH). Every experiment was performed as dye-swap.
!Sample_platform_id = GPL1432
!Sample_contact_name = Frank,,Mendrzyk
!Sample_contact_email = f.mendrzyk@dkfz.de
!Sample_contact_phone = 49-6221-424676
!Sample_contact_institute = German Cancer Research Center (DKFZ)
!Sample_contact_address =  
!Sample_contact_city = Heidelberg
!Sample_contact_zip/postal_code = 69120
!Sample_contact_country = Germany
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2139
!Sample_data_row_count = 19311
#ID_REF =  
#Block = In which block a single spot is localized. The block count starts from the left top to the right hand side and ends at the right bottom of the slide.
#Column = In which column a single spot is localized. The count starts from the left top downwards and ends at the right bottom of a single block (Y-direction).
#Row = In which row a single spot is localized. The count starts from the left top to the right hand side and ends at the right bottom of a single block (X-direction).
#VALUE = Raw log ratio (Cy5/Cy3).
#CH1_RAW = Raw median signal intensity in Cy5-channel (635nm).
#CH1_MEAN = Raw mean signal intensity in Cy5-channel (635nm).
#CH1_SD = Signal intensity standard deviation in Cy5-channel (635nm).
#CH1_BKD_RAW = Raw median background intensity in Cy5-channel (635nm).
#CH1_BKD_MEAN = Raw mean background intensity in Cy5-channel (635nm).
#CH1_BKD_SD = Background intensity standard deviation in Cy5-channel (635nm).
#CH1_AREA = Signal area in Cy5-channel (635nm).
#CH1_BKD_AREA = Background area in Cy5-channel (635nm).
#CH2_RAW = Raw median signal intensity in Cy3-channel (532nm).
#CH2_MEAN = Raw mean signal intensity in Cy3-channel (532nm).
#CH2_SD = Signal intensity standard deviation in Cy3-channel (532nm).
#CH2_BKD_RAW = Raw median background intensity in Cy3-channel (532nm).
#CH2_BKD_MEAN = Raw mean background intensity in Cy3-channel (532nm).
#CH2_BKD_SD = Background intensity standard deviation in Cy3-channel (532nm).
#CH2_AREA = Signal area in Cy3-channel (532nm).
#CH2_BKD_AREA = Background area in Cy3-channel (532nm).
!sample_table_begin
ID_REF	Block	Column	Row	VALUE	CH1_RAW	CH1_MEAN	CH1_SD	CH1_BKD_RAW	CH1_BKD_MEAN	CH1_BKD_SD	CH1_AREA	CH1_BKD_AREA	CH2_RAW	CH2_MEAN	CH2_SD	CH2_BKD_RAW	CH2_BKD_MEAN	CH2_BKD_SD	CH2_AREA	CH2_BKD_AREA
G000001-1	29	1	1	-0.201	5842	5613	1065	205	215	72	52	329	6669	6035	1586	189	199	72	52	329
G000001-2	29	2	1	-0.13	5783	5589	772	201	217	81	52	315	6306	6266	717	198	205	63	52	315
G000001-3	29	3	1	-0.151	5917	5794	807	209	222	78	52	315	6542	6451	725	206	214	65	52	315
G000002-1	21	1	1	-0.148	12843	12700	2695	206	214	72	52	329	14191	14126	3677	184	190	61	52	329
G000002-2	21	2	1	-0.13	15041	13443	4014	200	213	101	52	315	16422	15567	3401	187	194	69	52	315
G000002-3	21	3	1	-0.111	11209	11056	2996	194	211	105	52	308	12093	11878	4193	193	200	72	52	308
G000003-1	13	1	1	-0.174	8710	8672	3070	196	201	67	52	330	9783	9761	3548	175	182	52	52	330
G000003-2	13	2	1	-0.222	9746	8690	3106	205	211	74	52	308	11302	9975	3641	177	184	56	52	308
G000003-3	13	3	1	-0.22	9758	9832	1226	193	202	75	32	236	11310	11213	1534	168	173	51	32	236
G000004-1	5	1	1	-0.222	15613	14968	2724	198	204	87	52	328	18152	17273	2791	173	180	60	52	328
G000004-2	5	2	1	-0.177	15564	14254	4184	190	206	176	52	306	17551	16465	3563	175	185	71	52	306
G000004-3	5	3	1	-0.269	13199	13025	2634	185	189	61	52	314	15846	14541	3671	167	172	47	52	314
G000005-1	29	4	1	-0.023	32108	29543	7721	203	214	75	52	314	32620	30017	7661	198	207	56	52	314
G000005-2	29	5	1	-0.067	25120	23433	8338	206	217	73	52	307	26305	23408	9676	201	210	66	52	307
G000005-3	29	6	1	-0.038	31390	27851	8862	198	208	65	52	296	32226	28166	9561	193	200	56	52	296
G000006-1	21	4	1	-0.227	12936	12508	3275	203	218	150	52	314	15092	14103	4253	192	224	474	52	314
G000006-2	21	5	1	-0.177	11775	11504	2759	203	209	71	52	322	13282	13237	2878	195	228	466	52	322
G000006-3	21	6	1	-0.232	13643	12854	3789	216	215	70	52	306	15960	15262	3658	195	199	51	52	306
G000007-1	13	4	1	-0.211	10798	10496	2738	199	204	70	52	328	12444	11670	3735	172	180	59	52	328
G000007-2	13	5	1	-0.292	9136	8835	2810	193	201	72	52	322	11126	10624	3160	177	183	55	52	322
!sample_table_end
