^SAMPLE = GSM587383
!Sample_title = MDA231-BrM-831
!Sample_geo_accession = GSM587383
!Sample_status = Public on Dec 12 2010
!Sample_submission_date = Aug 26 2010
!Sample_last_update_date = Dec 12 2010
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Brain metastastatic derivatives of MDA231
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: MDA231 breast cancer cell line
!Sample_characteristics_ch1 = cell type: Brain metastastatic derivatives
!Sample_treatment_protocol_ch1 = NA
!Sample_growth_protocol_ch1 = DME 10% FCS
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was extracted with Qiagen DNAeasy Blood and Tissue Kit following the manufacturer's protocol
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = Five micrograms of digested and purified tumour and reference DNA was labelled with Cy5-dUTP and Cy3-dUTP, respectively, in a random priming reaction using BioPrime DNA Labelling System.
!Sample_source_name_ch2 = reference DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = reference: Human female genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = Purchased reference.
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = Five micrograms of digested and purified tumour and reference DNA was labelled with Cy5-dUTP and Cy3-dUTP, respectively, in a random priming reaction using BioPrime DNA Labelling System.
!Sample_hyb_protocol = Five micrograms of labelled tumor and reference samples were combined and hybridized onto the arrays according to Agilent's instructions.
!Sample_scan_protocol = Arrays were scanned using G2565 scanners from Agilent following the manufacturer's instruction.
!Sample_description = Agilent Feature Extraction file (original name):
!Sample_description = XZ_831_slide367_S01_CGH-v4_91.txt
!Sample_data_processing = Agilent feature extraction software (v 7.5.1) was used for spot quality filtering and normalization. The extracted intensity values were converted to log2 ratios with medians centered to 0.
!Sample_platform_id = GPL4091
!Sample_contact_name = Xiang,,Zhang
!Sample_contact_email = xiangz@bcm.edu
!Sample_contact_laboratory = Zhang
!Sample_contact_department = Lester and Sue Smith Breast Center
!Sample_contact_institute = Baylor College of Medicine
!Sample_contact_address = One Baylor Plaza, BCM600
!Sample_contact_city = Houston
!Sample_contact_state = TX
!Sample_contact_zip/postal_code = 77030
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM587nnn/GSM587383/suppl/GSM587383.txt.gz
!Sample_series_id = GSE23823
!Sample_data_row_count = 243430
#ID_REF = 
#VALUE = normalized log2 ratio Cy5/Cy3
!sample_table_begin
ID_REF	VALUE
1	9.213570486e-003
2	0.000000000e+000
3	0.000000000e+000
4	2.017502083e-002
5	4.685334414e-001
6	9.793001219e-002
7	2.950488690e-001
8	6.348065851e-002
9	9.667993889e-003
10	-5.723914802e-001
11	1.236853011e-001
12	-4.950626309e-001
13	1.259004265e-001
14	-5.497242848e-002
15	6.325247215e-002
16	-1.362162011e-001
17	-4.352907564e-001
18	0.000000000e+000
19	3.942998366e-002
20	4.503716007e-002
!sample_table_end
