^SAMPLE = GSM1621495
!Sample_title = sample_08-EM-014 [copy number]
!Sample_geo_accession = GSM1621495
!Sample_status = Public on Oct 06 2015
!Sample_submission_date = Feb 27 2015
!Sample_last_update_date = Oct 06 2015
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Breast cancer, CHER-LOB Arm C, pre-treated
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = disease state: HER2-positive breast cancer
!Sample_characteristics_ch1 = tissue: breast cancer
!Sample_characteristics_ch1 = cher-lob arm: C
!Sample_characteristics_ch1 = arm description: chemotherapy+trastuzumab+lapatinib
!Sample_characteristics_ch1 = pcr (1=yes): 0
!Sample_treatment_protocol_ch1 = CHER-LOB is a phase II, randomized, multicenter, trial in which 121 patients with primary HER2-positive breast cancer were randomized to receive preoperative chemotherapy with weekly paclitaxel times 12 followed by 4 courses of 3-weekly FEC (fluorouracil, epirubicin and cyclophosphamide) plus either trastuzumab (Arm A), lapatinib (Arm B) or the combination of trastuzumab and lapatinib (Arm C). The trial design, eligibility criteria, statistical analysis, and clinical results including response, surgery outcomes and treatment safety are described in details elsewhere.
!Sample_growth_protocol_ch1 = NA
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Qiagen DNeasy Blood & Tissue Kit (manufacturer's protocol).
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = Affymetrix (manufacturer's protocol).
!Sample_hyb_protocol = AffymetrixÂ® Genome-Wide Human SNP Nsp/Sty 6.0 (manufacturer's protocol).
!Sample_scan_protocol = Affymetrix GeneChip Scanner 3000 7G (manufacturer's protocol).
!Sample_data_processing = AffymetrixÂ® Genotyping Console.
!Sample_platform_id = GPL6801
!Sample_contact_name = Enrico,,Tagliafico
!Sample_contact_email = enrico.tagliafico@unimore.it
!Sample_contact_department = Center for Genome Research
!Sample_contact_institute = University of Modena and Reggio Emilia
!Sample_contact_address = Via Campi 287
!Sample_contact_city = Modena
!Sample_contact_state = MO
!Sample_contact_zip/postal_code = 41126
!Sample_contact_country = Italy
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1621nnn/GSM1621495/suppl/GSM1621495_08-EM-014.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1621nnn/GSM1621495/suppl/GSM1621495_08-EM-014.CN5.CNCHP.gz
!Sample_series_id = GSE66398
!Sample_series_id = GSE66399
!Sample_data_row_count = 1813281
#ID_REF = 
#VALUE = CN STATE
#CHROMOSOME = 
#POSITION = 
#LOG2 RATIO = 
#SMOOTH SIGNAL = 
#LOH = 
#ALLELE DIFFERENCE = 
!sample_table_begin
ID_REF	VALUE	CHROMOSOME	POSITION	LOG2 RATIO	SMOOTH SIGNAL	LOH	ALLELE DIFFERENCE
CN_473963	3.000000	1	61723	0.338761	2.535029	nan	nan
CN_473964	3.000000	1	61796	0.142128	2.534988	nan	nan
CN_473965	3.000000	1	61811	0.272272	2.534979	nan	nan
CN_473981	3.000000	1	62908	0.311469	2.534359	nan	nan
CN_473982	3.000000	1	62925	0.204671	2.534350	nan	nan
CN_497981	3.000000	1	72764	-0.162798	2.528784	nan	nan
CN_502615	3.000000	1	85924	1.361708	2.521326	nan	nan
CN_502613	3.000000	1	85986	-0.214142	2.521291	nan	nan
CN_502614	3.000000	1	86312	0.094943	2.521106	nan	nan
CN_502616	3.000000	1	86329	-0.337742	2.521096	nan	nan
CN_502843	3.000000	1	98590	0.051976	2.514140	nan	nan
CN_466171	3.000000	1	228694	1.126449	3.562971	nan	nan
CN_468414	3.000000	1	229063	0.180767	3.562455	nan	nan
CN_468412	3.000000	1	229146	0.891773	3.562339	nan	nan
CN_468413	3.000000	1	229161	0.696973	3.562318	nan	nan
CN_470565	3.000000	1	229607	0.198217	3.561694	nan	nan
CN_468424	3.000000	1	235658	0.153837	3.553209	nan	nan
CN_468425	3.000000	1	235716	-0.014408	3.553128	nan	nan
CN_460512	3.000000	1	356431	0.379490	3.380349	nan	nan
CN_460513	3.000000	1	356530	0.462213	3.380349	nan	nan
!sample_table_end
