^SAMPLE = GSM180548
!Sample_title = ACC 21
!Sample_geo_accession = GSM180548
!Sample_status = Public on Apr 10 2007
!Sample_submission_date = Apr 04 2007
!Sample_last_update_date = Apr 09 2007
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = ACC Tumor Sample 21
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Female with Cushings, Localized disease, 6.5cm, unknown weight, grade 4, 36.88 yrs at operation, survival >8.09yrs
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Qiagen DNeasy Blook and Tissue Kit
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = Agilent Protocol
!Sample_source_name_ch2 = Control DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Male Genomic DNA - Promega G1471
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = None
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = Agilent Protocol
!Sample_hyb_protocol = Agilent Protocol
!Sample_scan_protocol = Agilent Protocol
!Sample_description = None
!Sample_data_processing = Raw Data
!Sample_platform_id = GPL2879
!Sample_contact_name = Elizabeth,A,Stephan
!Sample_contact_email = estephan@tgen.org
!Sample_contact_phone = 602-343-8817
!Sample_contact_fax = 602-343-8840
!Sample_contact_department = Genetic Basis of Human Disease
!Sample_contact_institute = Translational Genomics Research Institute
!Sample_contact_address = 445 North 5th Street
!Sample_contact_city = Phoenix
!Sample_contact_state = AZ
!Sample_contact_zip/postal_code = 85004
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM180nnn/GSM180548/suppl/GSM180548.txt.gz
!Sample_series_id = GSE7482
!Sample_data_row_count = 43890
#ID_REF = 
#VALUE = log10 transformed tumor/control ratio
!sample_table_begin
ID_REF	VALUE
1	-4.847542925e-002
2	-2.719571097e-001
3	2.987978288e-002
4	2.335329094e-002
5	1.209510517e-001
6	-6.130216290e-002
7	2.413301525e-001
8	-6.551163091e-002
9	-1.579403602e-001
10	-1.221641452e-001
11	8.955509577e-002
12	-1.772238859e-001
13	1.188553147e-001
14	1.300888827e-001
15	-2.983915979e-002
16	-2.325537592e-001
17	-4.562997635e-002
18	-7.059880991e-002
19	4.946630721e-002
20	5.212825479e-002
!sample_table_end
