^SAMPLE = GSM400875
!Sample_title = ccRCC tumor and normal blood DNA pair 43
!Sample_geo_accession = GSM400875
!Sample_status = Public on May 09 2009
!Sample_submission_date = May 07 2009
!Sample_last_update_date = May 08 2009
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = ccRCC tumor and blood
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = gender: female
!Sample_characteristics_ch1 = tissue: ccRCC tumor and blood
!Sample_characteristics_ch1 = disease state: carcinoma
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Extraction of genomic DNA from fresh frozen tissue was performed using QIAamp DNeasy Blood and Tissue kit (QIAGEN, Valencia, CA).
!Sample_label_ch1 = C-Bio and A-DNP
!Sample_label_protocol_ch1 = 750ng of genomic DNA was whole-genome amplified in an overnight reaction at 37Â¡C using amplification master mix (WG-AMM) and primer/neutralization mix (WG-MP1). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FRG), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).
!Sample_hyb_protocol = RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48Â¡C, single-base extension and allele-specific staining was performed on a Teflow chamber.
!Sample_scan_protocol = After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).
!Sample_description = Genomic DNA from ccRCC tumor and reference DNA from blood sample of the corresponding ccRCC patient were genotyped using Infinium HumanHap300 Genotyping BeadChips (Illumina).
!Sample_data_processing = Genomic DNA extracted from ccRCC tumor and normal blood DNA pairs was genotyped using Infinium HumanHap300 Genotyping BeadChips (Illumina).
!Sample_platform_id = GPL6979
!Sample_contact_name = Xifeng,,Wu
!Sample_contact_email = xwu@mdanderson.org
!Sample_contact_phone = 7137452485
!Sample_contact_fax = 7137924657
!Sample_contact_department = Epidemiology
!Sample_contact_institute = UT M.D Anderson Cancer Center
!Sample_contact_address = 1155 pressler blvd.
!Sample_contact_city = Houston
!Sample_contact_state = TX
!Sample_contact_zip/postal_code = 77030
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE16019
!Sample_data_row_count = 317497
#ID_REF = 
#VALUE = Log_R_Ratio
#AlleleFreq Ref. = 
#AlleleFreq Sub. = 
#|dAlleleFreq sub-ref| = 
!sample_table_begin
ID_REF	VALUE	AlleleFreq Ref.	AlleleFreq Sub.	|dAlleleFreq sub-ref|
rs3934834-124_T_R_1135975865	-0.1732168	0.4971978	0.4842391	0.01295877
rs3737728-124_T_R_1135790679	-0.01298764	0.996467	0.996088	
rs6687776-124_T_R_1135347468	0.0448716	1	0.9931098	
rs9651273-124_T_F_1136827223	0.1344998	0.01206639	0.03040308	
rs4970405-124_T_F_1136522326	0.1030029	0.000435552	0	
rs12726255-124_B_R_1135572792	-0.1711403	0.007986994	0.01508288	
rs2298217-124_T_R_1135807872	0.08614617	0.9905546	0.997787	
rs4970357-124_T_F_1135327694	0.08054705	0	0	
rs4970362-124_T_F_1135713090	0.08889416	0.5177649	0.5125142	0.005250692
rs9660710-124_B_R_1135732876	-0.07724998	0.9987993	1	
rs4970420-124_B_R_1136441302	-0.03469048	0.9965163	1	
rs1320565-124_B_F_1137428853	-0.02984497	0.9999909	0.9957976	
rs11260549-124_B_R_1135739417	-0.01936063	0.9908001	0.9888701	
rs9729550-124_B_R_1135710069	-0.2051	0	0.003418902	
rs11721-124_T_R_1136433517	0.003949441	1	1	
rs2887286-124_B_R_1135111632	-0.2906117	0	0.001255734	
rs3813199-124_T_R_1136807858	-0.1164832	0.9958757	1	
rs3766186-124_T_R_1136764966	-0.1082883	0.9985869	0.9984775	
rs7515488-124_B_F_1136819717	-0.006776021	1	1	
rs715643-124_T_R_1137448467	-0.1096421	0.9588667	0.955425	
!sample_table_end
