^SAMPLE = GSM2514611
!Sample_title = AML Patient A048_T Diagnostic
!Sample_geo_accession = GSM2514611
!Sample_status = Public on Apr 10 2017
!Sample_submission_date = Feb 27 2017
!Sample_last_update_date = Apr 10 2017
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = AML Patient A048 Diagnostic
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = disease state: AML
!Sample_characteristics_ch1 = individual: Patient A048
!Sample_characteristics_ch1 = tissue: Bone Marrow
!Sample_characteristics_ch1 = patient status: Diagnostic
!Sample_treatment_protocol_ch1 = None
!Sample_growth_protocol_ch1 = None
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was isolated with phenol extraction according to the standard protocol (Sambrook, J., Fritsch, E. F. & Maniatis, T. Molecular cloning; a laboratory manual. Cold Spring Harbor Laboratory Press, Cold Spring Harbor, New York, 1989).
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = Samples were end labeled using terminal deoxynucleotidyl transferase according to the Affymetrix protocol.
!Sample_hyb_protocol = Samples were hybridized for 16-18 hr and washed and stained on the GeneChip fluidics station 450 using the appropriate fluidics protocol.
!Sample_scan_protocol = The arrays were inserted into the Affymetrix autoloader carousel and scanned using the GeneChip Scanner 3000 7G.
!Sample_description = hybridized to Genome-Wide Human SNP 6.0 Array
!Sample_data_processing = Genotyping Console 3.02 was used for data processing and GeneChip quality control. Data quality control and data analysis was performed using Partek GS 6.4.  SNP calls were made using Birdseed V-2.  Copy number calls of SNP 6.0  data were determined using R package ASCAT (van Loo et al, PNAS 2010).
!Sample_platform_id = GPL6801
!Sample_contact_name = Richard,,Aplenc
!Sample_contact_email = aplenc@email.chop.edu
!Sample_contact_phone = (215) 590-3025
!Sample_contact_department = Division of Oncology
!Sample_contact_institute = Children's Hospital of Philadelphia
!Sample_contact_address = 3501 Civic Center Blvd
!Sample_contact_city = Philadelphia, PA
!Sample_contact_state = PA
!Sample_contact_zip/postal_code = 19104
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2514nnn/GSM2514611/suppl/GSM2514611_A048_T.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2514nnn/GSM2514611/suppl/GSM2514611_A048_T.birdseed.chp.gz
!Sample_series_id = GSE95496
!Sample_series_id = GSE95691
!Sample_data_row_count = 909622
#ID_REF = PROBE SET NAME
#VALUE = CALL
#CONFIDENCE = 
#FORCED CALL = 
#SIGNAL A = 
#SIGNAL B = 
!sample_table_begin
ID_REF	VALUE	CONFIDENCE	FORCED CALL	SIGNAL A	SIGNAL B
SNP_A-2131660	AA	0.003512	AA	3433.637695	683.634094
SNP_A-1967418	BB	0.003002	BB	204.738998	511.318970
SNP_A-1969580	AB	0.031640	AB	1150.624512	449.665436
SNP_A-4263484	AB	0.003407	AB	1732.357666	1301.730347
SNP_A-1978185	AA	0.006570	AA	1216.058716	245.878906
SNP_A-4264431	AA	0.000925	AA	1887.862305	284.152618
SNP_A-1980898	BB	0.002680	BB	194.670425	1048.328613
SNP_A-1983139	AA	0.001380	AA	2202.486816	486.812073
SNP_A-4265735	AA	0.003475	AA	1752.845947	456.471283
SNP_A-1995832	BB	0.000747	BB	459.991364	1518.927856
SNP_A-1995893	BB	0.007245	BB	180.015503	1651.911011
SNP_A-1997689	BB	0.007751	BB	618.709961	3273.216064
SNP_A-1997709	AA	0.002013	AA	1263.606567	202.493820
SNP_A-1997896	AA	0.003326	AA	1468.306519	496.157562
SNP_A-1997922	BB	0.004955	BB	400.554871	1223.203735
SNP_A-2000230	AA	0.010000	AA	2555.305420	1216.896362
SNP_A-2000332	BB	0.003784	BB	1096.510742	2597.901367
SNP_A-2000337	AA	0.006241	AA	979.539917	173.206802
SNP_A-2000342	AA	0.003152	AA	3173.731934	837.875305
SNP_A-4268173	AB	0.001889	AB	719.959717	677.364929
!sample_table_end
